s1,s2,Re(r_ex.11),Im(r_ex.11),Abs(r_ex.11),Arg(r_ex.11),Re(r_ex.21),Im(r_ex.21),Abs(r_ex.21),Arg(r_ex.21),Re(r_ex.12),Im(r_ex.12),Abs(r_ex.12),Arg(r_ex.12),Re(r_ex.22),Im(r_ex.22),Abs(r_ex.22),Arg(r_ex.22)
+0.00000000E+00,+0.00000000E+00,+7.66460462E-01,-6.42291491E-01,+1.00000000E+00,+1.40037097E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.66460462E-01,-6.42291491E-01,+1.00000000E+00,+1.40037097E+02
+1.00000000E-02,+0.00000000E+00,+7.66451807E-01,-6.42301819E-01,+1.00000000E+00,+1.40036325E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.66482749E-01,-6.42264895E-01,+1.00000000E+00,+1.40039085E+02
+2.00000000E-02,+0.00000000E+00,+7.66425830E-01,-6.42332816E-01,+1.00000000E+00,+1.40034008E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.66549610E-01,-6.42185094E-01,+1.00000000E+00,+1.40045050E+02
+3.00000000E-02,+0.00000000E+00,+7.66382494E-01,-6.42384522E-01,+1.00000000E+00,+1.40030142E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.66661050E-01,-6.42052049E-01,+1.00000000E+00,+1.40054994E+02
+4.00000000E-02,+0.00000000E+00,+7.66321734E-01,-6.42457003E-01,+1.00000000E+00,+1.40024723E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.66817075E-01,-6.41865698E-01,+1.00000000E+00,+1.40068919E+02
+5.00000000E-02,+0.00000000E+00,+7.66243463E-01,-6.42550353E-01,+1.00000000E+00,+1.40017743E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.67017692E-01,-6.41625950E-01,+1.00000000E+00,+1.40086830E+02
+6.00000000E-02,+0.00000000E+00,+7.66147566E-01,-6.42664692E-01,+1.00000000E+00,+1.40009193E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.67262915E-01,-6.41332690E-01,+1.00000000E+00,+1.40108733E+02
+7.00000000E-02,+0.00000000E+00,+7.66033904E-01,-6.42800169E-01,+1.00000000E+00,+1.39999061E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.67552756E-01,-6.40985778E-01,+1.00000000E+00,+1.40134634E+02
+8.00000000E-02,+0.00000000E+00,+7.65902310E-01,-6.42956959E-01,+1.00000000E+00,+1.39987332E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.67887231E-01,-6.40585045E-01,+1.00000000E+00,+1.40164541E+02
+9.00000000E-02,+0.00000000E+00,+7.65752591E-01,-6.43135265E-01,+1.00000000E+00,+1.39973992E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.68266360E-01,-6.40130300E-01,+1.00000000E+00,+1.40198464E+02
