s1,s2,Re(z_ex.tm),Im(z_ex.tm),Abs(z_ex.tm),Arg(z_ex.tm),Re(z_ex.te),Im(z_ex.te),Abs(z_ex.te),Arg(z_ex.te)
+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-1.36980567E+02,+1.36980567E+02,-1.57079633E+00,+0.00000000E+00,+1.36980567E+02,+1.36980567E+02,+1.57079633E+00
+1.00000000E-03,+0.00000000E+00,-0.00000000E+00,-1.36980527E+02,+1.36980527E+02,-1.57079633E+00,+0.00000000E+00,+1.36980561E+02,+1.36980561E+02,+1.57079633E+00
+2.00000000E-03,+0.00000000E+00,-0.00000000E+00,-1.36980408E+02,+1.36980408E+02,-1.57079633E+00,+0.00000000E+00,+1.36980545E+02,+1.36980545E+02,+1.57079633E+00
+3.00000000E-03,+0.00000000E+00,-0.00000000E+00,-1.36980209E+02,+1.36980209E+02,-1.57079633E+00,+0.00000000E+00,+1.36980517E+02,+1.36980517E+02,+1.57079633E+00
+4.00000000E-03,+0.00000000E+00,-0.00000000E+00,-1.36979930E+02,+1.36979930E+02,-1.57079633E+00,+0.00000000E+00,+1.36980478E+02,+1.36980478E+02,+1.57079633E+00
+5.00000000E-03,+0.00000000E+00,-0.00000000E+00,-1.36979573E+02,+1.36979573E+02,-1.57079633E+00,+0.00000000E+00,+1.36980429E+02,+1.36980429E+02,+1.57079633E+00
+6.00000000E-03,+0.00000000E+00,-0.00000000E+00,-1.36979135E+02,+1.36979135E+02,-1.57079633E+00,+0.00000000E+00,+1.36980368E+02,+1.36980368E+02,+1.57079633E+00
+7.00000000E-03,+0.00000000E+00,-0.00000000E+00,-1.36978619E+02,+1.36978619E+02,-1.57079633E+00,+0.00000000E+00,+1.36980297E+02,+1.36980297E+02,+1.57079633E+00
+8.00000000E-03,+0.00000000E+00,-0.00000000E+00,-1.36978022E+02,+1.36978022E+02,-1.57079633E+00,+0.00000000E+00,+1.36980214E+02,+1.36980214E+02,+1.57079633E+00
+9.00000000E-03,+0.00000000E+00,-0.00000000E+00,-1.36977346E+02,+1.36977346E+02,-1.57079633E+00,+0.00000000E+00,+1.36980120E+02,+1.36980120E+02,+1.57079633E+00
+1.00000000E-02,+0.00000000E+00,-0.00000000E+00,-1.36976591E+02,+1.36976591E+02,-1.57079633E+00,+0.00000000E+00,+1.36980015E+02,+1.36980015E+02,+1.57079633E+00
+1.10000000E-02,+0.00000000E+00,-0.00000000E+00,-1.36975756E+02,+1.36975756E+02,-1.57079633E+00,+0.00000000E+00,+1.36979900E+02,+1.36979900E+02,+1.57079633E+00
+1.20000000E-02,+0.00000000E+00,-0.00000000E+00,-1.36974842E+02,+1.36974842E+02,-1.57079633E+00,+0.00000000E+00,+1.36979773E+02,+1.36979773E+02,+1.57079633E+00
+1.30000000E-02,+0.00000000E+00,-0.00000000E+00,-1.36973848E+02,+1.36973848E+02,-1.57079633E+00,+0.00000000E+00,+1.36979635E+02,+1.36979635E+02,+1.57079633E+00
