s1,s2,Re(z_ibc3.tm),Im(z_ibc3.tm),Abs(z_ibc3.tm),Arg(z_ibc3.tm),Re(z_ibc3.te),Im(z_ibc3.te),Abs(z_ibc3.te),Arg(z_ibc3.te)
+0.00000000E+00,+0.00000000E+00,-1.29764262E-16,-1.36974599E+02,+1.36974599E+02,-1.57079633E+00,+1.29764262E-16,+1.36974599E+02,+1.36974599E+02,+1.57079633E+00
+1.00000000E-03,+0.00000000E+00,-1.29763846E-16,-1.36974559E+02,+1.36974559E+02,-1.57079633E+00,+1.29763983E-16,+1.36974593E+02,+1.36974593E+02,+1.57079633E+00
+2.00000000E-03,+0.00000000E+00,-1.29762595E-16,-1.36974440E+02,+1.36974440E+02,-1.57079633E+00,+1.29763144E-16,+1.36974577E+02,+1.36974577E+02,+1.57079633E+00
+3.00000000E-03,+0.00000000E+00,-1.29760511E-16,-1.36974241E+02,+1.36974241E+02,-1.57079633E+00,+1.29761746E-16,+1.36974549E+02,+1.36974549E+02,+1.57079633E+00
+4.00000000E-03,+0.00000000E+00,-1.29757593E-16,-1.36973963E+02,+1.36973963E+02,-1.57079633E+00,+1.29759789E-16,+1.36974510E+02,+1.36974510E+02,+1.57079633E+00
+5.00000000E-03,+0.00000000E+00,-1.29753841E-16,-1.36973606E+02,+1.36973606E+02,-1.57079633E+00,+1.29757273E-16,+1.36974461E+02,+1.36974461E+02,+1.57079633E+00
+6.00000000E-03,+0.00000000E+00,-1.29749255E-16,-1.36973169E+02,+1.36973169E+02,-1.57079633E+00,+1.29754197E-16,+1.36974400E+02,+1.36974400E+02,+1.57079633E+00
+7.00000000E-03,+0.00000000E+00,-1.29743836E-16,-1.36972653E+02,+1.36972653E+02,-1.57079633E+00,+1.29750563E-16,+1.36974329E+02,+1.36974329E+02,+1.57079633E+00
+8.00000000E-03,+0.00000000E+00,-1.29737583E-16,-1.36972058E+02,+1.36972058E+02,-1.57079633E+00,+1.29746369E-16,+1.36974246E+02,+1.36974246E+02,+1.57079633E+00
+9.00000000E-03,+0.00000000E+00,-1.29730497E-16,-1.36971383E+02,+1.36971383E+02,-1.57079633E+00,+1.29741616E-16,+1.36974153E+02,+1.36974153E+02,+1.57079633E+00
+1.00000000E-02,+0.00000000E+00,-1.29722577E-16,-1.36970629E+02,+1.36970629E+02,-1.57079633E+00,+1.29736305E-16,+1.36974048E+02,+1.36974048E+02,+1.57079633E+00
+1.10000000E-02,+0.00000000E+00,-1.29713824E-16,-1.36969795E+02,+1.36969795E+02,-1.57079633E+00,+1.29730434E-16,+1.36973933E+02,+1.36973933E+02,+1.57079633E+00
+1.20000000E-02,+0.00000000E+00,-1.29704236E-16,-1.36968882E+02,+1.36968882E+02,-1.57079633E+00,+1.29724004E-16,+1.36973806E+02,+1.36973806E+02,+1.57079633E+00
+1.30000000E-02,+0.00000000E+00,-1.29693816E-16,-1.36967890E+02,+1.36967890E+02,-1.57079633E+00,+1.29717015E-16,+1.36973669E+02,+1.36973669E+02,+1.57079633E+00
+1.40000000E-02,+0.00000000E+00,-1.29682562E-16,-1.36966818E+02,+1.36966818E+02,-1.57079633E+00,+1.29709467E-16,+1.36973520E+02,+1.36973520E+02,+1.57079633E+00
+1.50000000E-02,+0.00000000E+00,-1.29670475E-16,-1.36965667E+02,+1.36965667E+02,-1.57079633E+00,+1.29701360E-16,+1.36973360E+02,+1.36973360E+02,+1.57079633E+00
+1.60000000E-02,+0.00000000E+00,-1.29657554E-16,-1.36964436E+02,+1.36964436E+02,-1.57079633E+00,+1.29692694E-16,+1.36973190E+02,+1.36973190E+02,+1.57079633E+00
+1.70000000E-02,+0.00000000E+00,-1.29643800E-16,-1.36963126E+02,+1.36963126E+02,-1.57079633E+00,+1.29683470E-16,+1.36973008E+02,+1.36973008E+02,+1.57079633E+00
+1.80000000E-02,+0.00000000E+00,-1.29629213E-16,-1.36961737E+02,+1.36961737E+02,-1.57079633E+00,+1.29673686E-16,+1.36972816E+02,+1.36972816E+02,+1.57079633E+00
+1.90000000E-02,+0.00000000E+00,-1.29613793E-16,-1.36960268E+02,+1.36960268E+02,-1.57079633E+00,+1.29663344E-16,+1.36972612E+02,+1.36972612E+02,+1.57079633E+00
+2.00000000E-02,+0.00000000E+00,-1.29597540E-16,-1.36958720E+02,+1.36958720E+02,-1.57079633E+00,+1.29652443E-16,+1.36972398E+02,+1.36972398E+02,+1.57079633E+00
+2.10000000E-02,+0.00000000E+00,-1.29580454E-16,-1.36957092E+02,+1.36957092E+02,-1.57079633E+00,+1.29640984E-16,+1.36972172E+02,+1.36972172E+02,+1.57079633E+00
+2.20000000E-02,+0.00000000E+00,-1.29562535E-16,-1.36955385E+02,+1.36955385E+02,-1.57079633E+00,+1.29628965E-16,+1.36971935E+02,+1.36971935E+02,+1.57079633E+00
+2.30000000E-02,+0.00000000E+00,-1.29543783E-16,-1.36953599E+02,+1.36953599E+02,-1.57079633E+00,+1.29616389E-16,+1.36971688E+02,+1.36971688E+02,+1.57079633E+00
+2.40000000E-02,+0.00000000E+00,-1.29524198E-16,-1.36951733E+02,+1.36951733E+02,-1.57079633E+00,+1.29603253E-16,+1.36971429E+02,+1.36971429E+02,+1.57079633E+00
+2.50000000E-02,+0.00000000E+00,-1.29503781E-16,-1.36949788E+02,+1.36949788E+02,-1.57079633E+00,+1.29589559E-16,+1.36971160E+02,+1.36971160E+02,+1.57079633E+00
+2.60000000E-02,+0.00000000E+00,-1.29482531E-16,-1.36947764E+02,+1.36947764E+02,-1.57079633E+00,+1.29575307E-16,+1.36970879E+02,+1.36970879E+02,+1.57079633E+00
+2.70000000E-02,+0.00000000E+00,-1.29460448E-16,-1.36945660E+02,+1.36945660E+02,-1.57079633E+00,+1.29560496E-16,+1.36970587E+02,+1.36970587E+02,+1.57079633E+00
+2.80000000E-02,+0.00000000E+00,-1.29437534E-16,-1.36943477E+02,+1.36943477E+02,-1.57079633E+00,+1.29545127E-16,+1.36970285E+02,+1.36970285E+02,+1.57079633E+00
