s1,s2,Re(z_ibc3.tm),Im(z_ibc3.tm),Abs(z_ibc3.tm),Arg(z_ibc3.tm),Re(z_ibc3.te),Im(z_ibc3.te),Abs(z_ibc3.te),Arg(z_ibc3.te)
+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.64207731E-01,+3.64207731E-01,+1.57079633E+00,+0.00000000E+00,+3.64207731E-01,+3.64207731E-01,+1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+0.00000000E+00,+3.64197117E-01,+3.64197117E-01,+1.57079633E+00,+0.00000000E+00,+3.64205983E-01,+3.64205983E-01,+1.57079633E+00
+2.00000000E-02,+0.00000000E+00,+0.00000000E+00,+3.64165273E-01,+3.64165273E-01,+1.57079633E+00,+0.00000000E+00,+3.64200739E-01,+3.64200739E-01,+1.57079633E+00
+3.00000000E-02,+0.00000000E+00,+0.00000000E+00,+3.64112203E-01,+3.64112203E-01,+1.57079633E+00,+0.00000000E+00,+3.64192000E-01,+3.64192000E-01,+1.57079633E+00
+4.00000000E-02,+0.00000000E+00,+0.00000000E+00,+3.64037909E-01,+3.64037909E-01,+1.57079633E+00,+0.00000000E+00,+3.64179766E-01,+3.64179766E-01,+1.57079633E+00
+5.00000000E-02,+0.00000000E+00,+0.00000000E+00,+3.63942394E-01,+3.63942394E-01,+1.57079633E+00,+0.00000000E+00,+3.64164041E-01,+3.64164041E-01,+1.57079633E+00
+6.00000000E-02,+0.00000000E+00,+0.00000000E+00,+3.63825663E-01,+3.63825663E-01,+1.57079633E+00,+0.00000000E+00,+3.64144826E-01,+3.64144826E-01,+1.57079633E+00
+7.00000000E-02,+0.00000000E+00,+0.00000000E+00,+3.63687722E-01,+3.63687722E-01,+1.57079633E+00,+0.00000000E+00,+3.64122123E-01,+3.64122123E-01,+1.57079633E+00
+8.00000000E-02,+0.00000000E+00,+0.00000000E+00,+3.63528578E-01,+3.63528578E-01,+1.57079633E+00,+0.00000000E+00,+3.64095937E-01,+3.64095937E-01,+1.57079633E+00
+9.00000000E-02,+0.00000000E+00,+0.00000000E+00,+3.63348238E-01,+3.63348238E-01,+1.57079633E+00,+0.00000000E+00,+3.64066270E-01,+3.64066270E-01,+1.57079633E+00
