s1,s2,Re(r_ap.tm),Im(r_ap.tm),Abs(r_ap.tm),Arg(r_ap.tm),Re(r_ap.te),Im(r_ap.te),Abs(r_ap.te),Arg(r_ap.te)
+0.00000000E+00,+0.00000000E+00,-4.07520579E-01,-9.13196024E-01,+1.00000000E+00,-1.99053364E+00,-4.07520579E-01,-9.13196024E-01,+1.00000000E+00,-1.99053364E+00
+1.00000000E-03,+0.00000000E+00,-4.07520459E-01,-9.13196077E-01,+1.00000000E+00,-1.99053350E+00,-4.07519822E-01,-9.13196361E-01,+1.00000000E+00,-1.99053281E+00
+2.00000000E-03,+0.00000000E+00,-4.07520099E-01,-9.13196238E-01,+1.00000000E+00,-1.99053311E+00,-4.07517551E-01,-9.13197375E-01,+1.00000000E+00,-1.99053032E+00
+3.00000000E-03,+0.00000000E+00,-4.07519498E-01,-9.13196506E-01,+1.00000000E+00,-1.99053245E+00,-4.07513766E-01,-9.13199064E-01,+1.00000000E+00,-1.99052618E+00
+4.00000000E-03,+0.00000000E+00,-4.07518656E-01,-9.13196882E-01,+1.00000000E+00,-1.99053153E+00,-4.07508466E-01,-9.13201429E-01,+1.00000000E+00,-1.99052037E+00
+5.00000000E-03,+0.00000000E+00,-4.07517575E-01,-9.13197364E-01,+1.00000000E+00,-1.99053035E+00,-4.07501653E-01,-9.13204469E-01,+1.00000000E+00,-1.99051291E+00
+6.00000000E-03,+0.00000000E+00,-4.07516253E-01,-9.13197954E-01,+1.00000000E+00,-1.99052890E+00,-4.07493325E-01,-9.13208186E-01,+1.00000000E+00,-1.99050379E+00
+7.00000000E-03,+0.00000000E+00,-4.07514691E-01,-9.13198651E-01,+1.00000000E+00,-1.99052719E+00,-4.07483483E-01,-9.13212577E-01,+1.00000000E+00,-1.99049301E+00
+8.00000000E-03,+0.00000000E+00,-4.07512889E-01,-9.13199455E-01,+1.00000000E+00,-1.99052522E+00,-4.07472126E-01,-9.13217644E-01,+1.00000000E+00,-1.99048058E+00
+9.00000000E-03,+0.00000000E+00,-4.07510847E-01,-9.13200367E-01,+1.00000000E+00,-1.99052298E+00,-4.07459256E-01,-9.13223387E-01,+1.00000000E+00,-1.99046648E+00
+1.00000000E-02,+0.00000000E+00,-4.07508564E-01,-9.13201385E-01,+1.00000000E+00,-1.99052048E+00,-4.07444870E-01,-9.13229806E-01,+1.00000000E+00,-1.99045073E+00
+1.10000000E-02,+0.00000000E+00,-4.07506042E-01,-9.13202511E-01,+1.00000000E+00,-1.99051772E+00,-4.07428970E-01,-9.13236899E-01,+1.00000000E+00,-1.99043332E+00
+1.20000000E-02,+0.00000000E+00,-4.07503279E-01,-9.13203744E-01,+1.00000000E+00,-1.99051469E+00,-4.07411556E-01,-9.13244668E-01,+1.00000000E+00,-1.99041425E+00
+1.30000000E-02,+0.00000000E+00,-4.07500277E-01,-9.13205084E-01,+1.00000000E+00,-1.99051140E+00,-4.07392626E-01,-9.13253113E-01,+1.00000000E+00,-1.99039353E+00
+1.40000000E-02,+0.00000000E+00,-4.07497034E-01,-9.13206530E-01,+1.00000000E+00,-1.99050785E+00,-4.07372182E-01,-9.13262233E-01,+1.00000000E+00,-1.99037114E+00
+1.50000000E-02,+0.00000000E+00,-4.07493552E-01,-9.13208084E-01,+1.00000000E+00,-1.99050404E+00,-4.07350223E-01,-9.13272027E-01,+1.00000000E+00,-1.99034709E+00
