s1,s2,Re(z_ibc3.11),Im(z_ibc3.11),Abs(z_ibc3.11),Arg(z_ibc3.11),Re(z_ibc3.21),Im(z_ibc3.21),Abs(z_ibc3.21),Arg(z_ibc3.21),Re(z_ibc3.12),Im(z_ibc3.12),Abs(z_ibc3.12),Arg(z_ibc3.12),Re(z_ibc3.22),Im(z_ibc3.22),Abs(z_ibc3.22),Arg(z_ibc3.22)
+0.00000000E+00,+0.00000000E+00,+2.76528329E-15,-5.80658204E+02,+5.80658204E+02,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.76528329E-15,+5.80658204E+02,+5.80658204E+02,+1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+2.76365587E-15,-5.80620811E+02,+5.80620811E+02,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.76475530E-15,+5.80634525E+02,+5.80634525E+02,+1.57079633E+00
+2.00000000E-02,+0.00000000E+00,+2.75877566E-15,-5.80508650E+02,+5.80508650E+02,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.76317189E-15,+5.80563501E+02,+5.80563501E+02,+1.57079633E+00
+3.00000000E-02,+0.00000000E+00,+2.75064887E-15,-5.80321776E+02,+5.80321776E+02,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.76053473E-15,+5.80445169E+02,+5.80445169E+02,+1.57079633E+00
+4.00000000E-02,+0.00000000E+00,+2.73928580E-15,-5.80060275E+02,+5.80060275E+02,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.75684665E-15,+5.80279592E+02,+5.80279592E+02,+1.57079633E+00
+5.00000000E-02,+0.00000000E+00,+2.72470086E-15,-5.79724273E+02,+5.79724273E+02,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.75211154E-15,+5.80066857E+02,+5.80066857E+02,+1.57079633E+00
+6.00000000E-02,+0.00000000E+00,+2.70691252E-15,-5.79313928E+02,+5.79313928E+02,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.74633443E-15,+5.79807074E+02,+5.79807074E+02,+1.57079633E+00
+7.00000000E-02,+0.00000000E+00,+2.68594329E-15,-5.78829435E+02,+5.78829435E+02,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.73952143E-15,+5.79500381E+02,+5.79500381E+02,+1.57079633E+00
+8.00000000E-02,+0.00000000E+00,+2.66181967E-15,-5.78271024E+02,+5.78271024E+02,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.73167974E-15,+5.79146938E+02,+5.79146938E+02,+1.57079633E+00
+9.00000000E-02,+0.00000000E+00,+2.63457209E-15,-5.77638956E+02,+5.77638956E+02,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.72281763E-15,+5.78746930E+02,+5.78746930E+02,+1.57079633E+00
+1.00000000E-01,+0.00000000E+00,+2.60423487E-15,-5.76933532E+02,+5.76933532E+02,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.71294442E-15,+5.78300565E+02,+5.78300565E+02,+1.57079633E+00
+1.10000000E-01,+0.00000000E+00,+2.57084613E-15,-5.76155081E+02,+5.76155081E+02,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.70207047E-15,+5.77808075E+02,+5.77808075E+02,+1.57079633E+00
+1.20000000E-01,+0.00000000E+00,+2.53444776E-15,-5.75303969E+02,+5.75303969E+02,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.69020714E-15,+5.77269716E+02,+5.77269716E+02,+1.57079633E+00
+1.30000000E-01,+0.00000000E+00,+2.49508529E-15,-5.74380594E+02,+5.74380594E+02,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.67736680E-15,+5.76685766E+02,+5.76685766E+02,+1.57079633E+00
+1.40000000E-01,+0.00000000E+00,+2.45280784E-15,-5.73385387E+02,+5.73385387E+02,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.66356278E-15,+5.76056528E+02,+5.76056528E+02,+1.57079633E+00
+1.50000000E-01,+0.00000000E+00,+2.40766801E-15,-5.72318810E+02,+5.72318810E+02,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.64880935E-15,+5.75382322E+02,+5.75382322E+02,+1.57079633E+00
+1.60000000E-01,+0.00000000E+00,+2.35972178E-15,-5.71181359E+02,+5.71181359E+02,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.63312170E-15,+5.74663497E+02,+5.74663497E+02,+1.57079633E+00
+1.70000000E-01,+0.00000000E+00,+2.30902845E-15,-5.69973557E+02,+5.69973557E+02,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.61651593E-15,+5.73900416E+02,+5.73900416E+02,+1.57079633E+00
+1.80000000E-01,+0.00000000E+00,+2.25565045E-15,-5.68695962E+02,+5.68695962E+02,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.59900895E-15,+5.73093470E+02,+5.73093470E+02,+1.57079633E+00
+1.90000000E-01,+0.00000000E+00,+2.19965329E-15,-5.67349158E+02,+5.67349158E+02,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.58061854E-15,+5.72243064E+02,+5.72243064E+02,+1.57079633E+00
