s,n,Re(f_ex.11),Im(f_ex.11),Abs(f_ex.11),Arg(f_ex.11),Re(f_ex.21),Im(f_ex.21),Abs(f_ex.21),Arg(f_ex.21),Re(f_ex.12),Im(f_ex.12),Abs(f_ex.12),Arg(f_ex.12),Re(f_ex.22),Im(f_ex.22),Abs(f_ex.22),Arg(f_ex.22)
+0.00000000E+00,+0.00000000E+00,-2.75073770E-01,+4.46551443E-01,+5.24474756E-01,+2.12289442E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.17773406E-01,-4.50083041E-01,+8.47215088E-01,-2.58151731E+00
+0.00000000E+00,+1.00000000E+00,-7.17773406E-01,-4.50083041E-01,+8.47215088E-01,-2.58151731E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.89341644E-01,+4.53456786E-01,+5.37904865E-01,+2.13874614E+00
+0.00000000E+00,+2.00000000E+00,-3.04012187E-01,+4.59987801E-01,+5.51373002E-01,+2.15480545E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.89005107E-01,-4.62900713E-01,+8.30063315E-01,-2.55001754E+00
+0.00000000E+00,+3.00000000E+00,-6.58699403E-01,-4.74146074E-01,+8.11602983E-01,-2.51768709E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.48002848E-01,+4.76336925E-01,+5.89917662E-01,+2.20175319E+00
+0.00000000E+00,+4.00000000E+00,-3.95160592E-01,+4.88885159E-01,+6.28618002E-01,+2.25057126E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.98642361E-01,-4.90173117E-01,+7.73719821E-01,-2.45548821E+00
+0.00000000E+00,+5.00000000E+00,-5.33740910E-01,-4.98860252E-01,+7.30575739E-01,-2.38996106E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.71648083E-01,+4.99195522E-01,+6.86766396E-01,+2.32782736E+00
+0.00000000E+00,+6.00000000E+00,-5.53990450E-01,+4.97076484E-01,+7.44305347E-01,+2.41029041E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.41776960E-01,-4.96598507E-01,+6.64663043E-01,-2.29783906E+00
+0.00000000E+00,+7.00000000E+00,-3.44628795E-01,-4.75247082E-01,+5.87050931E-01,-2.19820749E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.58132401E-01,+4.74335476E-01,+8.11253598E-01,+2.51708929E+00
+0.00000000E+00,+8.00000000E+00,-7.63840136E-01,+4.24721535E-01,+8.73979483E-01,+2.63412817E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.35020862E-01,-4.24011859E-01,+4.84789502E-01,-2.07691881E+00
+0.00000000E+00,+9.00000000E+00,-1.31732055E-01,-3.38199232E-01,+3.62949107E-01,-1.94222720E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.67969823E-01,+3.38523573E-01,+9.31648980E-01,+2.76972124E+00
+0.00000000E+00,+1.00000000E+01,-9.52684328E-01,+2.12313210E-01,+9.76055494E-01,+2.92231804E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.83583888E-02,-2.14522388E-01,+2.19905409E-01,-1.79251383E+00
+0.00000000E+00,+1.10000000E+01,-2.59421257E-03,-5.08673041E-02,+5.09334131E-02,-1.62175179E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.96909161E-01,+5.55093343E-02,+9.98453384E-01,+3.08596866E+00
+0.00000000E+00,+1.20000000E+01,-9.82264541E-01,-1.31988303E-01,+9.91092600E-01,-3.00802128E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.59045643E-02,+1.25106391E-01,+1.26113300E-01,+1.69724634E+00
+0.00000000E+00,+1.30000000E+01,-1.07689190E-01,+3.09987464E-01,+3.28160311E-01,+1.90515170E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.98314262E-01,-3.02234593E-01,+9.47794419E-01,-2.81704297E+00
+0.00000000E+00,+1.40000000E+01,-7.25504084E-01,-4.46259911E-01,+8.51765275E-01,-2.59014179E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.63211689E-01,+4.40376312E-01,+5.13041606E-01,+2.10952087E+00
+0.00000000E+00,+1.50000000E+01,-4.99518949E-01,+4.99999769E-01,+7.06766545E-01,+2.35571344E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.16366656E-01,-4.99732061E-01,+7.18586568E-01,-2.37256407E+00
+0.00000000E+00,+1.60000000E+01,-2.60796105E-01,-4.39068898E-01,+5.10682000E-01,-2.10677417E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.22083566E-01,+4.47971974E-01,+8.49755004E-01,+2.58631671E+00
+0.00000000E+00,+1.70000000E+01,-9.29074398E-01,+2.56700529E-01,+9.63885054E-01,+2.87202097E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.31622000E-02,-2.76127232E-01,+2.88378571E-01,-1.86332936E+00
+0.00000000E+00,+1.80000000E+01,-1.79934885E-04,+1.34127741E-02,+1.34139809E-02,+1.58421071E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.99818548E-01,+1.34691767E-02,+9.99909270E-01,+3.12812185E+00
