s,n,Re(f_ex.11),Im(f_ex.11),Abs(f_ex.11),Arg(f_ex.11),Re(f_ex.21),Im(f_ex.21),Abs(f_ex.21),Arg(f_ex.21),Re(f_ex.12),Im(f_ex.12),Abs(f_ex.12),Arg(f_ex.12),Re(f_ex.22),Im(f_ex.22),Abs(f_ex.22),Arg(f_ex.22)
+0.00000000E+00,+0.00000000E+00,-2.25362712E-01,+4.17820966E-01,+4.74723827E-01,+2.06544655E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.03374869E-01,-4.56769814E-01,+8.38674471E-01,-2.56564117E+00
+0.00000000E+00,+1.00000000E+00,-7.03374869E-01,-4.56769814E-01,+8.38674471E-01,-2.56564117E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.65487692E-01,+4.81566651E-01,+6.04555781E-01,+2.22000441E+00
+0.00000000E+00,+2.00000000E+00,-5.36442471E-01,+4.98670178E-01,+7.32422331E-01,+2.39266930E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.15701977E-01,-4.92842615E-01,+6.44749546E-01,-2.27149191E+00
+0.00000000E+00,+3.00000000E+00,-1.06268085E-01,-3.08180433E-01,+3.25987860E-01,-1.90285281E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.95839085E-01,+3.05469179E-01,+9.46487762E-01,+2.81296999E+00
+0.00000000E+00,+4.00000000E+00,-9.30320892E-01,-2.54605439E-01,+9.64531437E-01,-2.87445883E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.99482252E-02,+1.95837597E-01,+1.99870521E-01,+1.77202210E+00
+0.00000000E+00,+5.00000000E+00,-7.65824446E-01,+4.23482425E-01,+8.75113961E-01,+2.63646759E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.86282470E-01,-4.86896625E-01,+6.21516267E-01,-2.24147304E+00
+0.00000000E+00,+6.00000000E+00,-2.40597057E-01,+4.27446035E-01,+4.90506939E-01,+2.08346771E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.53004150E-01,-2.11629961E-01,+9.76219314E-01,-2.92307244E+00
+0.00000000E+00,+7.00000000E+00,-3.41684263E-02,+1.81661622E-01,+1.84847035E-01,+1.75671254E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.55313748E-01,+2.06614111E-01,+9.77401529E-01,+2.92859452E+00
+0.00000000E+00,+8.00000000E+00,-2.13349405E-03,+4.61404622E-02,+4.61897613E-02,+1.61700253E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.99405516E-01,-2.43747960E-02,+9.99702714E-01,-3.11720819E+00
+0.00000000E+00,+9.00000000E+00,-5.82698790E-05,+7.63324856E-03,+7.63347097E-03,+1.57842987E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.44988782E-02,-1.82506728E-01,+1.85738736E-01,-1.75761995E+00
+0.00000000E+00,+1.00000000E+01,-7.49643849E-07,+8.65819431E-04,+8.65819756E-04,+1.57166215E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.28026595E-04,-1.81085337E-02,+1.81115045E-02,-1.58890882E+00
+0.00000000E+00,+1.10000000E+01,-4.75163948E-09,+6.89321366E-05,+6.89321368E-05,+1.57086526E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.25805810E-06,-1.80500623E-03,+1.80500917E-03,-1.57260134E+00
