s,n,Re(f_ibc0.11),Im(f_ibc0.11),Abs(f_ibc0.11),Arg(f_ibc0.11),Re(f_ibc0.21),Im(f_ibc0.21),Abs(f_ibc0.21),Arg(f_ibc0.21),Re(f_ibc0.12),Im(f_ibc0.12),Abs(f_ibc0.12),Arg(f_ibc0.12),Re(f_ibc0.22),Im(f_ibc0.22),Abs(f_ibc0.22),Arg(f_ibc0.22)
+0.00000000E+00,+0.00000000E+00,-2.78302810E-01,+4.48163314E-01,+5.27544131E-01,+2.12650342E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.21089992E-01,-4.48463171E-01,+8.49170179E-01,-2.58520835E+00
+0.00000000E+00,+1.00000000E+00,-7.14539067E-01,-4.51633689E-01,+8.45304127E-01,-2.57793046E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.85960814E-01,+4.51870808E-01,+5.34753040E-01,+2.13501179E+00
+0.00000000E+00,+2.00000000E+00,-3.07255719E-01,+4.61356307E-01,+5.54306521E-01,+2.15832587E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.92576995E-01,-4.61426160E-01,+8.32212110E-01,-2.55388183E+00
+0.00000000E+00,+3.00000000E+00,-6.55462314E-01,-4.75217286E-01,+8.09606271E-01,-2.51427735E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.44120214E-01,+4.75080511E-01,+5.86617604E-01,+2.19767232E+00
+0.00000000E+00,+4.00000000E+00,-3.98345281E-01,+4.89557268E-01,+6.31146006E-01,+2.25382610E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.02936452E-01,-4.89289369E-01,+7.76489827E-01,-2.45987231E+00
+0.00000000E+00,+5.00000000E+00,-5.30691439E-01,-4.99057147E-01,+7.28485716E-01,-2.38690524E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.66883124E-01,+4.98902067E-01,+6.83288463E-01,+2.32305335E+00
+0.00000000E+00,+6.00000000E+00,-5.56785907E-01,+4.96764895E-01,+7.46180881E-01,+2.41310319E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.46994963E-01,-4.97182528E-01,+6.68576819E-01,-2.30308967E+00
+0.00000000E+00,+7.00000000E+00,-3.42230027E-01,-4.74456147E-01,+5.85004296E-01,-2.19568168E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.52606314E-01,+4.76142114E-01,+8.07840525E-01,+2.51127534E+00
+0.00000000E+00,+8.00000000E+00,-7.65702165E-01,+4.23559157E-01,+8.75044093E-01,+2.63632323E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.40524523E-01,-4.27402008E-01,+4.90432995E-01,-2.08338286E+00
+0.00000000E+00,+9.00000000E+00,-1.30502977E-01,-3.36855978E-01,+3.61251958E-01,-1.94040650E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.63056430E-01,+3.43787767E-01,+9.29008305E-01,+2.76252026E+00
