s,n,Re(f_ibc0.11),Im(f_ibc0.11),Abs(f_ibc0.11),Arg(f_ibc0.11),Re(f_ibc0.21),Im(f_ibc0.21),Abs(f_ibc0.21),Arg(f_ibc0.21),Re(f_ibc0.12),Im(f_ibc0.12),Abs(f_ibc0.12),Arg(f_ibc0.12),Re(f_ibc0.22),Im(f_ibc0.22),Abs(f_ibc0.22),Arg(f_ibc0.22)
+0.00000000E+00,+0.00000000E+00,-2.52273669E-01,+4.34317470E-01,+5.02268522E-01,+2.09701655E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.38315307E-01,-4.39551834E-01,+8.59252761E-01,-2.60460347E+00
+0.00000000E+00,+1.00000000E+00,-6.76106443E-01,-4.67959956E-01,+8.22256920E-01,-2.53616172E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.24311767E-01,+4.68117127E-01,+5.69483773E-01,+2.17667403E+00
+0.00000000E+00,+2.00000000E+00,-5.59630189E-01,+4.96431506E-01,+7.48084346E-01,+2.41596695E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.71924545E-01,-4.99211147E-01,+6.86967644E-01,-2.32810426E+00
+0.00000000E+00,+3.00000000E+00,-9.81692947E-02,-2.97543416E-01,+3.13319796E-01,-1.88948317E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.42515002E-01,+3.64257427E-01,+9.17886160E-01,+2.73351693E+00
+0.00000000E+00,+4.00000000E+00,-9.30025128E-01,-2.55104664E-01,+9.64378104E-01,-2.87387857E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.69075928E-03,+8.73590951E-02,+8.76969742E-02,+1.65860610E+00
+0.00000000E+00,+5.00000000E+00,-7.54748184E-01,+4.30236403E-01,+8.68762444E-01,+2.62349419E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.47597390E-01,-4.97729333E-01,+7.39998237E-01,-2.40386406E+00
+0.00000000E+00,+6.00000000E+00,-2.21299326E-01,+4.15121590E-01,+4.70424623E-01,+2.06056823E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.99623316E-01,+1.94046840E-02,+9.99811640E-01,+3.12218310E+00
+0.00000000E+00,+7.00000000E+00,-2.62591675E-02,+1.59905046E-01,+1.62046806E-01,+1.73356085E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.79546069E-01,+4.66651057E-01,+8.24345843E-01,+2.53984198E+00
+0.00000000E+00,+8.00000000E+00,-1.04952165E-03,+3.23793168E-02,+3.23963216E-02,+1.60319832E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.92860666E-01,+4.55075045E-01,+5.41166024E-01,+2.14261943E+00
+0.00000000E+00,+9.00000000E+00,-7.84976539E-06,+2.80173228E-03,+2.80174328E-03,+1.57359807E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.44878996E-01,+3.51978795E-01,+3.80629736E-01,+1.96127352E+00
+0.00000000E+00,+1.00000000E+01,-5.08621607E-08,-2.25526402E-04,+2.25526408E-04,-1.57102185E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.60608822E-02,-2.09616978E-01,+2.14617991E-01,-1.78709702E+00
+0.00000000E+00,+1.10000000E+01,-1.15494902E-08,-1.07468554E-04,+1.07468554E-04,-1.57090380E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.92294303E-05,-7.69583798E-03,+7.69606590E-03,-1.57849247E+00
