s,n,Re(f_ibc0.tm),Im(f_ibc0.tm),Abs(f_ibc0.tm),Arg(f_ibc0.tm),Re(f_ibc0.te),Im(f_ibc0.te),Abs(f_ibc0.te),Arg(f_ibc0.te)
+0.00000000E+00,+0.00000000E+00,-9.40737450E-01,+2.36115438E-01,+9.69916208E-01,+2.89568270E+00,-3.24501021E-03,+5.68724900E-02,+5.69649910E-02,+1.62779217E+00
+0.00000000E+00,+1.00000000E+00,-6.12169926E-02,+2.39727913E-01,+2.47420679E-01,+1.82081358E+00,-6.88219635E-01,-4.63220648E-01,+8.29590040E-01,-2.54916941E+00
+0.00000000E+00,+2.00000000E+00,-3.67937030E-06,+1.91816495E-03,+1.91816848E-03,+1.57271450E+00,-7.62457546E-02,-2.65390918E-01,+2.76126338E-01,-1.85055773E+00
+0.00000000E+00,+3.00000000E+00,-1.56027083E-06,-1.24910704E-03,+1.24910801E-03,-1.57204544E+00,-9.97429426E-05,-9.98664077E-03,+9.98713886E-03,-1.58078363E+00
+0.00000000E+00,+4.00000000E+00,-3.08192933E-09,-5.55151270E-05,+5.55151271E-05,-1.57085184E+00,-5.03405002E-08,-2.24366882E-04,+2.24366888E-04,-1.57102069E+00
+0.00000000E+00,+5.00000000E+00,-1.22291302E-12,-1.10585398E-06,+1.10585398E-06,-1.57079743E+00,-1.04244420E-11,-3.22869044E-06,+3.22869044E-06,-1.57079956E+00
+0.00000000E+00,+6.00000000E+00,-1.74130044E-16,-1.31958348E-08,+1.31958348E-08,-1.57079634E+00,-1.00082617E-15,-3.16358371E-08,+3.16358371E-08,-1.57079636E+00
+0.00000000E+00,+7.00000000E+00,-1.13694462E-20,-1.06627897E-10,+1.06627897E-10,-1.57079633E+00,-4.99919243E-20,-2.23588847E-10,+2.23588847E-10,-1.57079633E+00
+0.00000000E+00,+8.00000000E+00,-3.92019117E-25,-6.26500816E-13,+6.26500816E-13,-1.57079633E+00,-1.41944959E-24,-1.19167046E-12,+1.19167046E-12,-1.57079633E+00
+0.00000000E+00,+9.00000000E+00,-6.25297447E-30,-2.80716224E-15,+2.80716224E-15,-1.57079633E+00,-2.30555203E-29,-4.95674087E-15,+4.95674087E-15,-1.57079633E+00
