s,n,Re(f_ibc6.tm),Im(f_ibc6.tm),Abs(f_ibc6.tm),Arg(f_ibc6.tm),Re(f_ibc6.te),Im(f_ibc6.te),Abs(f_ibc6.te),Arg(f_ibc6.te)
+0.00000000E+00,+0.00000000E+00,-2.75073968E-01,+4.46551543E-01,+5.24474945E-01,+2.12289465E+00,-7.17757105E-01,-4.50090928E-01,+8.47205468E-01,-2.58149920E+00
+0.00000000E+00,+1.00000000E+00,-7.17773207E-01,-4.50083137E-01,+8.47214971E-01,-2.58151709E+00,-2.89358005E-01,+4.53464386E-01,+5.37920073E-01,+2.13876418E+00
+0.00000000E+00,+2.00000000E+00,-3.04012387E-01,+4.59987886E-01,+5.51373183E-01,+2.15480566E+00,-6.88988594E-01,-4.62907454E-01,+8.30053368E-01,-2.54999970E+00
+0.00000000E+00,+3.00000000E+00,-6.58699203E-01,-4.74146141E-01,+8.11602860E-01,-2.51768688E+00,-3.48019516E-01,+4.76342243E-01,+5.89931790E-01,+2.20177069E+00
+0.00000000E+00,+4.00000000E+00,-3.95160790E-01,+4.88885201E-01,+6.28618159E-01,+2.25057146E+00,-5.98625671E-01,-4.90176475E-01,+7.73709035E-01,-2.45547118E+00
+0.00000000E+00,+5.00000000E+00,-5.33740719E-01,-4.98860265E-01,+7.30575608E-01,-2.38996087E+00,-4.71664480E-01,+4.99196453E-01,+6.86778334E-01,+2.32784378E+00
+0.00000000E+00,+6.00000000E+00,-5.53990628E-01,+4.97076465E-01,+7.44305467E-01,+2.41029059E+00,-4.41761371E-01,-4.96596680E-01,+6.64651315E-01,-2.29782336E+00
+0.00000000E+00,+7.00000000E+00,-3.44628639E-01,-4.75247031E-01,+5.87050798E-01,-2.19820732E+00,-6.58146486E-01,+4.74330780E-01,+8.11262279E-01,+2.51710413E+00
+0.00000000E+00,+8.00000000E+00,-7.63840262E-01,+4.24721457E-01,+8.73979555E-01,+2.63412832E+00,-2.35009088E-01,-4.24004501E-01,+4.84777359E-01,-2.07690492E+00
+0.00000000E+00,+9.00000000E+00,-1.31731967E-01,-3.38199137E-01,+3.62948987E-01,-1.94222707E+00,-8.67978496E-01,+3.38514146E-01,+9.31653635E-01,+2.76973405E+00
+0.00000000E+00,+1.00000000E+01,-9.52684374E-01,+2.12313111E-01,+9.76055518E-01,+2.92231815E+00,-4.83533970E-02,-2.14511878E-01,+2.19894059E-01,-1.79250220E+00
+0.00000000E+00,+1.10000000E+01,-2.59420361E-03,-5.08672165E-02,+5.09333252E-02,-1.62175170E+00,-9.96910311E-01,+5.54990334E-02,+9.98453960E-01,+3.08597902E+00
+0.00000000E+00,+1.20000000E+01,-9.82264524E-01,-1.31988366E-01,+9.91092591E-01,-3.00802122E+00,-1.59068185E-02,+1.25115114E-01,+1.26122237E-01,+1.69725535E+00
+0.00000000E+00,+1.30000000E+01,-1.07689216E-01,+3.09987498E-01,+3.28160351E-01,+1.90515174E+00,-8.98309682E-01,-3.02240628E-01,+9.47792004E-01,-2.81703539E+00
+0.00000000E+00,+1.40000000E+01,-7.25504068E-01,-4.46259919E-01,+8.51765266E-01,-2.59014177E+00,-2.63217041E-01,+4.40379189E-01,+5.13046821E-01,+2.10952695E+00
+0.00000000E+00,+1.50000000E+01,-4.99518944E-01,+4.99999769E-01,+7.06766541E-01,+2.35571343E+00,-5.16362140E-01,-4.99732209E-01,+7.18583426E-01,-2.37255955E+00
+0.00000000E+00,+1.60000000E+01,-2.60796132E-01,-4.39068912E-01,+5.10682026E-01,-2.10677420E+00,-7.22086178E-01,+4.47970679E-01,+8.49756541E-01,+2.58631963E+00
+0.00000000E+00,+1.70000000E+01,-9.29074370E-01,+2.56700575E-01,+9.63885040E-01,+2.87202092E+00,-8.31614945E-02,-2.76126167E-01,+2.88377347E-01,-1.86332808E+00
+0.00000000E+00,+1.80000000E+01,-1.79932797E-04,+1.34126963E-02,+1.34139031E-02,+1.58421063E+00,-9.99818538E-01,+1.34695599E-02,+9.99909265E-01,+3.12812146E+00
+0.00000000E+00,+1.90000000E+01,-9.05153037E-01,-2.93003442E-01,+9.51395310E-01,-2.82853161E+00,-7.74285723E-02,+2.67270254E-01,+2.78259901E-01,+1.85277831E+00
+0.00000000E+00,+2.00000000E+01,-3.46572931E-01,+4.75878277E-01,+5.88704451E-01,+2.20025152E+00,-6.86844832E-01,-4.63776895E-01,+8.28761022E-01,-2.54768634E+00
+0.00000000E+00,+2.10000000E+01,-3.26400400E-01,-4.68895701E-01,+5.71314624E-01,-2.17890306E+00,-6.35280306E-01,+4.81351471E-01,+7.97044733E-01,+2.49318215E+00
+0.00000000E+00,+2.20000000E+01,-9.34933028E-01,+2.46643997E-01,+9.66919349E-01,+2.88365985E+00,-8.91965861E-02,-2.85027288E-01,+2.98657975E-01,-1.87408247E+00
+0.00000000E+00,+2.30000000E+01,-1.18961047E-02,+1.08418575E-01,+1.09069266E-01,+1.68008301E+00,-9.96572459E-01,-5.84447882E-02,+9.98284758E-01,-3.08301395E+00
+0.00000000E+00,+2.40000000E+01,-7.75460213E-01,-4.17278889E-01,+8.80602188E-01,-2.64792785E+00,-1.79337219E-01,+3.83634437E-01,+4.23482254E-01,+2.00808216E+00
+0.00000000E+00,+2.50000000E+01,-6.09040552E-01,+4.87965325E-01,+7.80410502E-01,+2.46611840E+00,-4.52526233E-01,-4.97741139E-01,+6.72700701E-01,-2.30864910E+00
+0.00000000E+00,+2.60000000E+01,-6.43175504E-02,-2.45317759E-01,+2.53609050E-01,-1.82720580E+00,-8.97963593E-01,+3.02696182E-01,+9.47609409E-01,+2.81646328E+00
+0.00000000E+00,+2.70000000E+01,-9.67878103E-01,-1.76323794E-01,+9.83807961E-01,-2.96139317E+00,-1.09391437E-02,+1.04016724E-01,+1.04590361E-01,+1.67557832E+00
+0.00000000E+00,+2.80000000E+01,-3.51380201E-01,+4.77401462E-01,+5.92773314E-01,+2.20529435E+00,-7.25003894E-01,-4.46512315E-01,+8.51471605E-01,-2.58958152E+00
+0.00000000E+00,+2.90000000E+01,-2.00406385E-01,-4.00304467E-01,+4.47667718E-01,-2.03495172E+00,-7.23136091E-01,+4.47448640E-01,+8.50374089E-01,+2.58749217E+00
+0.00000000E+00,+3.00000000E+01,-9.99324331E-01,-2.59848519E-02,+9.99662108E-01,-3.11559609E+00,-5.14838828E-03,-7.15673276E-02,+7.17522702E-02,-1.64261031E+00
+0.00000000E+00,+3.10000000E+01,-2.59352905E-01,+4.38279563E-01,+5.09267027E-01,+2.10512921E+00,-8.27558436E-01,-3.77763777E-01,+9.09702389E-01,-2.71336314E+00
+0.00000000E+00,+3.20000000E+01,-2.38109226E-01,-4.25926311E-01,+4.87964370E-01,-2.08055243E+00,-6.58039195E-01,+4.74366538E-01,+8.11196151E-01,+2.51699104E+00
+0.00000000E+00,+3.30000000E+01,-9.98738781E-01,-3.54912429E-02,+9.99369192E-01,-3.10607154E+00,-7.81883930E-03,-8.80778352E-02,+8.84242008E-02,-1.65933616E+00
+0.00000000E+00,+3.40000000E+01,-3.18429893E-01,+4.65867252E-01,+5.64295926E-01,+2.17037650E+00,-7.98271918E-01,-4.01290248E-01,+8.93460642E-01,-2.67578842E+00
+0.00000000E+00,+3.50000000E+01,-1.43243973E-01,-3.50321477E-01,+3.78475856E-01,-1.95894543E+00,-7.42542134E-01,+4.37233706E-01,+8.61708845E-01,+2.60942426E+00
+0.00000000E+00,+3.60000000E+01,-9.54829324E-01,-2.07678323E-01,+9.77153685E-01,-2.92742524E+00,-3.51766689E-03,+5.92055142E-02,+5.93099223E-02,+1.63014108E+00
+0.00000000E+00,+3.70000000E+01,-5.50507120E-01,+4.97442490E-01,+7.41961670E-01,+2.40678790E+00,-6.14599706E-01,-4.86689745E-01,+7.83964097E-01,-2.47182205E+00
+0.00000000E+00,+3.80000000E+01,-8.66049271E-03,-9.26579116E-02,+9.30617683E-02,-1.66399295E+00,-9.28107352E-01,+2.58310076E-01,+9.63383284E-01,+2.87014325E+00
+0.00000000E+00,+3.90000000E+01,-7.10166792E-01,-4.53684824E-01,+8.42713944E-01,-2.57310095E+00,-1.35885382E-01,+3.42666814E-01,+3.68626345E-01,+1.94832719E+00
+0.00000000E+00,+4.00000000E+01,-9.00917615E-01,+2.98772599E-01,+9.49166800E-01,+2.82137459E+00,-2.50876878E-01,-4.33517785E-01,+5.00876110E-01,-2.09540704E+00
+0.00000000E+00,+4.10000000E+01,-1.39384218E-01,+3.46347020E-01,+3.73341959E-01,+1.95340519E+00,-9.73341814E-01,-1.61082360E-01,+9.86580871E-01,-2.97758504E+00
+0.00000000E+00,+4.20000000E+01,-2.00483286E-01,-4.00362009E-01,+4.47753600E-01,-2.03504777E+00,-5.87054861E-01,+4.92363129E-01,+7.66195054E-01,+2.44369529E+00
