n,Re(m_ex.11),Im(m_ex.11),Abs(m_ex.11),Arg(m_ex.11),Re(m_ex.21),Im(m_ex.21),Abs(m_ex.21),Arg(m_ex.21),Re(m_ex.12),Im(m_ex.12),Abs(m_ex.12),Arg(m_ex.12),Re(m_ex.22),Im(m_ex.22),Abs(m_ex.22),Arg(m_ex.22)
+0.00000000E+00,-7.13790557E-02,-2.57456960E-01,+2.67168590E-01,-1.84124994E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.28620944E-01,+2.57456960E-01,+9.63649804E-01,+2.87113904E+00
+1.00000000E+00,-9.88519972E-01,+1.06528103E-01,+9.94243417E-01,+3.03424169E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.54027453E-02,-1.23148288E-01,+1.24107797E-01,-1.69522495E+00
+2.00000000E+00,-4.88921237E-02,+2.15642491E-01,+2.21115634E-01,+1.79375460E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.71473176E-01,-1.66472352E-01,+9.85633388E-01,-2.97188029E+00
+3.00000000E+00,-5.56066613E-01,-4.96846591E-01,+7.45698742E-01,-2.41237927E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.34219189E-01,+4.71716782E-01,+5.78116934E-01,+2.18721532E+00
+4.00000000E+00,-9.79071227E-01,+1.43145936E-01,+9.89480281E-01,+2.99641542E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.16069247E-01,-3.20307941E-01,+3.40689370E-01,-1.91844636E+00
+5.00000000E+00,-4.75297715E-01,+4.99389424E-01,+6.89418389E-01,+2.33148215E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.25380849E-01,-3.79641019E-01,+9.08504733E-01,-2.71048808E+00
+6.00000000E+00,-1.00141900E-01,+3.00189107E-01,+3.16452050E-01,+1.89278331E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.72455044E-01,+1.63664999E-01,+9.86131352E-01,+2.97485439E+00
+7.00000000E+00,-9.48716431E-03,+9.69389397E-02,+9.74020755E-02,+1.66835308E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.71588551E-01,+4.19809074E-01,+8.78401134E-01,+2.64330273E+00
+8.00000000E+00,-3.89523646E-04,+1.97325091E-02,+1.97363534E-02,+1.59053396E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.05127064E-01,-2.93039352E-01,+9.51381661E-01,-2.82848729E+00
+9.00000000E+00,-7.22556225E-06,+2.68803089E-03,+2.68804060E-03,+1.57348437E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.84062240E-03,-7.62004562E-02,+7.64239648E-02,-1.64729488E+00
+1.00000000E+01,-6.53024443E-08,+2.55543421E-04,+2.55543429E-04,+1.57105187E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.81380101E-05,-6.93798911E-03,+6.93815610E-03,-1.57773454E+00
