n,Re(m_ex.11),Im(m_ex.11),Abs(m_ex.11),Arg(m_ex.11),Re(m_ex.21),Im(m_ex.21),Abs(m_ex.21),Arg(m_ex.21),Re(m_ex.12),Im(m_ex.12),Abs(m_ex.12),Arg(m_ex.12),Re(m_ex.22),Im(m_ex.22),Abs(m_ex.22),Arg(m_ex.22)
+0.00000000E+00,-5.25549802E-02,-2.23143349E-01,+2.29248730E-01,-1.80210211E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.47445020E-01,+2.23143349E-01,+9.73367875E-01,+2.91028687E+00
+1.00000000E+00,-9.54336530E-01,+2.08754204E-01,+9.76901494E-01,+2.92624187E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.57495500E-02,-2.08941448E-01,+2.13891444E-01,-1.78635320E+00
+2.00000000E+00,-3.32732926E-02,-1.79349326E-01,+1.82409684E-01,-1.75423303E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.66504462E-01,+1.79926615E-01,+9.83109588E-01,+2.95753736E+00
+3.00000000E+00,-9.81737027E-01,+1.33900847E-01,+9.90826436E-01,+3.00603732E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.85960460E-02,-1.35093424E-01,+1.36367320E-01,-1.70758987E+00
+4.00000000E+00,-5.13128244E-03,-7.14489495E-02,+7.16329703E-02,-1.64249070E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.94569268E-01,+7.34931231E-02,+9.97280937E-01,+3.06783229E+00
+5.00000000E+00,-9.99933373E-01,-8.16226176E-03,+9.99966686E-01,-3.13343003E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.55964541E-05,+5.05922908E-03,+5.05929383E-03,+1.57585564E+00
+6.00000000E+00,-1.07845591E-02,+1.03287232E-01,+1.03848732E-01,+1.67483263E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.90095894E-01,-9.90253259E-02,+9.95035624E-01,-3.04190826E+00
+7.00000000E+00,-9.54085384E-01,-2.09299938E-01,+9.76772944E-01,-2.92564112E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.35116608E-02,+2.04005873E-01,+2.08594489E-01,+1.78093394E+00
+8.00000000E+00,-1.13701535E-01,+3.17448415E-01,+3.37196582E-01,+1.91473381E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.91011458E-01,-3.11624838E-01,+9.43934033E-01,-2.80514699E+00
+9.00000000E+00,-7.80147109E-01,-4.14146831E-01,+8.83259367E-01,-2.65356497E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.12126308E-01,+4.08813818E-01,+4.60571719E-01,+2.04943552E+00
+1.00000000E+01,-3.64574882E-01,+4.81310749E-01,+6.03800366E-01,+2.21905640E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.46465348E-01,-4.78066838E-01,+8.04030689E-01,-2.50483977E+00
+1.10000000E+01,-4.60761376E-01,-4.98457953E-01,+6.78794060E-01,-2.31691548E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.25416429E-01,+4.99353587E-01,+7.24856144E-01,+2.38162188E+00
+1.20000000E+01,-7.23699939E-01,+4.47167013E-01,+8.50705554E-01,+2.58812244E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.91108364E-01,-4.54273359E-01,+5.39544590E-01,-2.14069245E+00
+1.30000000E+01,-1.14082800E-01,-3.17911804E-01,+3.37761454E-01,-1.91533389E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.73404886E-01,+3.32518858E-01,+9.34561334E-01,+2.77782049E+00
+1.40000000E+01,-9.85843311E-01,+1.18136688E-01,+9.92896425E-01,+3.02232823E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.99021478E-02,-1.39664070E-01,+1.41074972E-01,-1.71234349E+00
+1.50000000E+01,-1.49097620E-02,+1.21191836E-01,+1.22105536E-01,+1.69320734E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.90652230E-01,-9.62309162E-02,+9.95315141E-01,-3.04475752E+00
+1.60000000E+01,-8.62034920E-01,-3.44863330E-01,+9.28458357E-01,-2.76103691E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.18505359E-01,+3.23205567E-01,+3.44246073E-01,+1.92223199E+00
+1.70000000E+01,-3.71308924E-01,+4.83154848E-01,+6.09351232E-01,+2.22603844E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.60202031E-01,-4.73640485E-01,+8.12528172E-01,-2.51927249E+00
+1.80000000E+01,-3.41625610E-01,-4.74254734E-01,+5.84487476E-01,-2.19504459E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.22889078E-01,+4.84663052E-01,+7.89233222E-01,+2.48035569E+00
+1.90000000E+01,-9.03282557E-01,+2.95572629E-01,+9.50411783E-01,+2.82535364E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.22497435E-01,-3.27859442E-01,+3.49996336E-01,-1.92836352E+00
+2.00000000E+01,-7.33279551E-05,+8.56286039E-03,+8.56317436E-03,+1.57935961E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.98602967E-01,+3.73507865E-02,+9.99301239E-01,+3.10420704E+00
+2.10000000E+01,-8.82257000E-01,-3.22303562E-01,+9.39285367E-01,-2.79133801E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.69906415E-02,+2.81821344E-01,+2.94941760E-01,+1.87019089E+00
+2.20000000E+01,-4.23837173E-01,+4.94165179E-01,+6.51027782E-01,+2.27973401E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.30985736E-01,-4.82537809E-01,+7.94346106E-01,-2.48872672E+00
+2.30000000E+01,-2.18237159E-01,-4.13049272E-01,+4.67158601E-01,-2.05687075E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.28872834E-01,+4.44541591E-01,+8.53740495E-01,+2.59392347E+00
+2.40000000E+01,-9.91362539E-01,+9.25356961E-02,+9.95671903E-01,+3.04852040E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.55439580E-02,-1.57770289E-01,+1.59824773E-01,-1.73130947E+00
+2.50000000E+01,-9.73290875E-02,+2.96405358E-01,+3.11976101E-01,+1.88806856E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.41800468E-01,-2.34120367E-01,+9.70464048E-01,-2.89794330E+00
+2.60000000E+01,-5.40263030E-01,-4.98376252E-01,+7.35025870E-01,-2.39650116E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.80700712E-01,+4.85559141E-01,+6.17009491E-01,+2.23573324E+00
+2.70000000E+01,-8.62232061E-01,+3.44656255E-01,+9.28564516E-01,+2.76132282E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.02946631E-01,-4.02193108E-01,+4.50495984E-01,-2.03811714E+00
