n,Re(m_ibc0.11),Im(m_ibc0.11),Abs(m_ibc0.11),Arg(m_ibc0.11),Re(m_ibc0.21),Im(m_ibc0.21),Abs(m_ibc0.21),Arg(m_ibc0.21),Re(m_ibc0.12),Im(m_ibc0.12),Abs(m_ibc0.12),Arg(m_ibc0.12),Re(m_ibc0.22),Im(m_ibc0.22),Abs(m_ibc0.22),Arg(m_ibc0.22)
+0.00000000E+00,-5.25549802E-02,-2.23143349E-01,+2.29248730E-01,-1.80210211E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.47445020E-01,+2.23143349E-01,+9.73367875E-01,+2.91028687E+00
+1.00000000E+00,-9.54318072E-01,+2.08794371E-01,+9.76892047E-01,+2.92619766E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.57855893E-02,-2.09019782E-01,+2.13975675E-01,-1.78643942E+00
+2.00000000E+00,-3.33208704E-02,-1.79473090E-01,+1.82540052E-01,-1.75436562E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.66411311E-01,+1.80167946E-01,+9.83062211E-01,+2.95727868E+00
+3.00000000E+00,-9.81665959E-01,+1.34156268E-01,+9.90790573E-01,+3.00577220E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.87360937E-02,-1.35591491E-01,+1.36879851E-01,-1.70810725E+00
+4.00000000E+00,-5.19459787E-03,-7.18861184E-02,+7.20735587E-02,-1.64293243E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.94441781E-01,+7.43459824E-02,+9.97217018E-01,+3.06696995E+00
+5.00000000E+00,-9.99943747E-01,-7.50001803E-03,+9.99971873E-01,-3.13409235E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.41808412E-05,+3.76571906E-03,+3.76574576E-03,+1.57456208E+00
+6.00000000E+00,-1.05939468E-02,+1.02380247E-01,+1.02926900E-01,+1.67390583E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.90451364E-01,-9.72494727E-02,+9.95214230E-01,-3.04371935E+00
+7.00000000E+00,-9.54600975E-01,-2.08177696E-01,+9.77036834E-01,-2.92687613E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.25316710E-02,+2.01798731E-01,+2.06232081E-01,+1.77851902E+00
+8.00000000E+00,-1.12696018E-01,+3.16220850E-01,+3.35702276E-01,+1.91314700E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.92939172E-01,-3.09190568E-01,+9.44954587E-01,-2.80825211E+00
+9.00000000E+00,-7.81786593E-01,-4.13033069E-01,+8.84186967E-01,-2.65554699E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.08961224E-01,+4.06566638E-01,+4.57122767E-01,+2.04555381E+00
+1.00000000E+01,-3.62246555E-01,+4.80649548E-01,+6.01869218E-01,+2.21663601E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.50995270E-01,-4.76655461E-01,+8.06842779E-01,-2.50958449E+00
+1.10000000E+01,-4.63654782E-01,-4.98677276E-01,+6.80922009E-01,-2.31981719E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.19728069E-01,+4.99610652E-01,+7.20921681E-01,+2.37592768E+00
+1.20000000E+01,-7.20631004E-01,+4.48689158E-01,+8.48899878E-01,+2.58469675E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.97241789E-01,-4.57043880E-01,+5.45198853E-01,-2.14742263E+00
+1.30000000E+01,-1.16633289E-01,-3.20982811E-01,+3.41516163E-01,-1.91932590E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.68136691E-01,+3.38342100E-01,+9.31738531E-01,+2.76996777E+00
+1.40000000E+01,-9.84735826E-01,+1.22601711E-01,+9.92338564E-01,+3.01772790E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.25120906E-02,-1.48341823E-01,+1.50040297E-01,-1.72140536E+00
+1.50000000E+01,-1.36639486E-02,+1.16091538E-01,+1.16892894E-01,+1.68795707E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.92540269E-01,-8.60469829E-02,+9.96263153E-01,-3.05511518E+00
