n,Re(m_ibc0.11),Im(m_ibc0.11),Abs(m_ibc0.11),Arg(m_ibc0.11),Re(m_ibc0.21),Im(m_ibc0.21),Abs(m_ibc0.21),Arg(m_ibc0.21),Re(m_ibc0.12),Im(m_ibc0.12),Abs(m_ibc0.12),Arg(m_ibc0.12),Re(m_ibc0.22),Im(m_ibc0.22),Abs(m_ibc0.22),Arg(m_ibc0.22)
+0.00000000E+00,-7.13790557E-02,-2.57456960E-01,+2.67168590E-01,-1.84124994E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.28620944E-01,+2.57456960E-01,+9.63649804E-01,+2.87113904E+00
+1.00000000E+00,-9.87656490E-01,+1.10413530E-01,+9.93809081E-01,+3.03026146E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.74953534E-02,-1.31107841E-01,+1.32270002E-01,-1.70345508E+00
+2.00000000E+00,-4.39889660E-02,+2.05070566E-01,+2.09735467E-01,+1.78210073E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.79170004E-01,-1.42814941E-01,+9.89530193E-01,-2.99676084E+00
+3.00000000E+00,-5.78100959E-01,-4.93862572E-01,+7.60329507E-01,-2.43461659E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.87524568E-01,+4.52608209E-01,+5.36213174E-01,+2.13674069E+00
+4.00000000E+00,-9.68274838E-01,+1.75267442E-01,+9.84009572E-01,+2.96252157E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.76789493E-01,-3.81490456E-01,+4.20463426E-01,-2.00475236E+00
+5.00000000E+00,-4.32821046E-01,+4.95466435E-01,+6.57891364E-01,+2.28881176E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.15333793E-01,-2.78384339E-01,+9.56730784E-01,-2.84634732E+00
+6.00000000E+00,-7.63703319E-02,+2.65589729E-01,+2.76351826E-01,+1.85079235E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.64003957E-01,+3.42784363E-01,+9.29518131E-01,+2.76390034E+00
+7.00000000E+00,-4.78031710E-03,+6.89743841E-02,+6.91398373E-02,+1.63999137E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.13450431E-01,+4.92452203E-01,+6.43001113E-01,+2.26920677E+00
+8.00000000E+00,-6.37796313E-05,+7.98596040E-03,+7.98621508E-03,+1.57878263E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.41465149E-01,+3.48500733E-01,+3.76118531E-01,+1.95639998E+00
+9.00000000E+00,-1.39594405E-07,-3.73623319E-04,+3.73623345E-04,-1.57116995E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.89738006E-02,+2.69697867E-01,+2.81022776E-01,+1.85565599E+00
+1.00000000E+01,-8.93946512E-08,-2.98989370E-04,+2.98989383E-04,-1.57109532E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.94376634E-03,-5.41765686E-02,+5.42564866E-02,-1.62507947E+00
