s1,s2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+0.00000000E+00,+0.00000000E+00,+7.79800706E-02,-9.96954918E-01,+1.00000000E+00,-1.49273701E+00,+7.79800706E-02,-9.96954918E-01,+1.00000000E+00,-1.49273701E+00
+1.00000000E-02,+0.00000000E+00,+7.79645514E-02,-9.96956132E-01,+1.00000000E+00,-1.49275257E+00,+7.80473825E-02,-9.96949651E-01,+1.00000000E+00,-1.49266949E+00
+2.00000000E-02,+0.00000000E+00,+7.79179632E-02,-9.96959774E-01,+1.00000000E+00,-1.49279930E+00,+7.82493415E-02,-9.96933820E-01,+1.00000000E+00,-1.49246691E+00
+3.00000000E-02,+0.00000000E+00,+7.78402140E-02,-9.96965848E-01,+1.00000000E+00,-1.49287729E+00,+7.85860175E-02,-9.96907337E-01,+1.00000000E+00,-1.49212920E+00
+4.00000000E-02,+0.00000000E+00,+7.77311501E-02,-9.96974357E-01,+1.00000000E+00,-1.49298669E+00,+7.90575271E-02,-9.96870055E-01,+1.00000000E+00,-1.49165621E+00
+5.00000000E-02,+0.00000000E+00,+7.75905561E-02,-9.96985309E-01,+1.00000000E+00,-1.49312771E+00,+7.96640335E-02,-9.96821770E-01,+1.00000000E+00,-1.49104779E+00
+6.00000000E-02,+0.00000000E+00,+7.74181542E-02,-9.96998711E-01,+1.00000000E+00,-1.49330063E+00,+8.04057468E-02,-9.96762216E-01,+1.00000000E+00,-1.49030369E+00
+7.00000000E-02,+0.00000000E+00,+7.72136040E-02,-9.97014573E-01,+1.00000000E+00,-1.49350579E+00,+8.12829241E-02,-9.96691069E-01,+1.00000000E+00,-1.48942363E+00
+8.00000000E-02,+0.00000000E+00,+7.69765012E-02,-9.97032907E-01,+1.00000000E+00,-1.49374360E+00,+8.22958697E-02,-9.96607942E-01,+1.00000000E+00,-1.48840728E+00
+9.00000000E-02,+0.00000000E+00,+7.67063776E-02,-9.97053726E-01,+1.00000000E+00,-1.49401453E+00,+8.34449350E-02,-9.96512390E-01,+1.00000000E+00,-1.48725425E+00
