s1,s2,Re(r_ibc0.11),Im(r_ibc0.11),Abs(r_ibc0.11),Arg(r_ibc0.11),Re(r_ibc0.21),Im(r_ibc0.21),Abs(r_ibc0.21),Arg(r_ibc0.21),Re(r_ibc0.12),Im(r_ibc0.12),Abs(r_ibc0.12),Arg(r_ibc0.12),Re(r_ibc0.22),Im(r_ibc0.22),Abs(r_ibc0.22),Arg(r_ibc0.22)
+0.00000000E+00,+0.00000000E+00,+7.79800706E-02,-9.96954918E-01,+1.00000000E+00,-1.49273701E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+7.79800706E-02,-9.96954918E-01,+1.00000000E+00,-1.49273701E+00
+1.00000000E-02,+0.00000000E+00,+7.79303719E-02,-9.96958804E-01,+1.00000000E+00,-1.49278686E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+7.80297688E-02,-9.96951029E-01,+1.00000000E+00,-1.49268716E+00
+2.00000000E-02,+0.00000000E+00,+7.77812439E-02,-9.96970450E-01,+1.00000000E+00,-1.49293644E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+7.81788911E-02,-9.96939347E-01,+1.00000000E+00,-1.49253758E+00
+3.00000000E-02,+0.00000000E+00,+7.75325899E-02,-9.96989818E-01,+1.00000000E+00,-1.49318585E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+7.84275198E-02,-9.96919818E-01,+1.00000000E+00,-1.49228818E+00
+4.00000000E-02,+0.00000000E+00,+7.71842490E-02,-9.97016846E-01,+1.00000000E+00,-1.49353524E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+7.87757928E-02,-9.96892359E-01,+1.00000000E+00,-1.49193883E+00
+5.00000000E-02,+0.00000000E+00,+7.67359953E-02,-9.97051447E-01,+1.00000000E+00,-1.49398482E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+7.92239030E-02,-9.96856847E-01,+1.00000000E+00,-1.49148932E+00
+6.00000000E-02,+0.00000000E+00,+7.61875380E-02,-9.97093506E-01,+1.00000000E+00,-1.49453489E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+7.97720991E-02,-9.96813128E-01,+1.00000000E+00,-1.49093938E+00
+7.00000000E-02,+0.00000000E+00,+7.55385205E-02,-9.97142884E-01,+1.00000000E+00,-1.49518578E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+8.04206856E-02,-9.96761011E-01,+1.00000000E+00,-1.49028870E+00
+8.00000000E-02,+0.00000000E+00,+7.47885201E-02,-9.97199417E-01,+1.00000000E+00,-1.49593791E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+8.11700236E-02,-9.96700270E-01,+1.00000000E+00,-1.48953691E+00
+9.00000000E-02,+0.00000000E+00,+7.39370471E-02,-9.97262911E-01,+1.00000000E+00,-1.49679175E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+8.20205308E-02,-9.96630640E-01,+1.00000000E+00,-1.48868355E+00
+1.00000000E-01,+0.00000000E+00,+7.29835442E-02,-9.97333145E-01,+1.00000000E+00,-1.49774783E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+8.29726826E-02,-9.96551822E-01,+1.00000000E+00,-1.48772814E+00
+1.10000000E-01,+0.00000000E+00,+7.19273857E-02,-9.97409871E-01,+1.00000000E+00,-1.49880678E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+8.40270124E-02,-9.96463477E-01,+1.00000000E+00,-1.48667012E+00
+1.20000000E-01,+0.00000000E+00,+7.07678759E-02,-9.97492811E-01,+1.00000000E+00,-1.49996925E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+8.51841125E-02,-9.96365228E-01,+1.00000000E+00,-1.48550886E+00
+1.30000000E-01,+0.00000000E+00,+6.95042484E-02,-9.97581656E-01,+1.00000000E+00,-1.50123600E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+8.64446350E-02,-9.96256656E-01,+1.00000000E+00,-1.48424367E+00
+1.40000000E-01,+0.00000000E+00,+6.81356650E-02,-9.97676065E-01,+1.00000000E+00,-1.50260783E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+8.78092927E-02,-9.96137304E-01,+1.00000000E+00,-1.48287380E+00
+1.50000000E-01,+0.00000000E+00,+6.66612137E-02,-9.97775667E-01,+1.00000000E+00,-1.50408564E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+8.92788598E-02,-9.96006669E-01,+1.00000000E+00,-1.48139844E+00
+1.60000000E-01,+0.00000000E+00,+6.50799077E-02,-9.97880056E-01,+1.00000000E+00,-1.50567039E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08541735E-02,-9.95864207E-01,+1.00000000E+00,-1.47981669E+00
+1.70000000E-01,+0.00000000E+00,+6.33906833E-02,-9.97988788E-01,+1.00000000E+00,-1.50736311E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.25361349E-02,-9.95709327E-01,+1.00000000E+00,-1.47812762E+00
