s1,s2,Re(r_ibc3.tm),Im(r_ibc3.tm),Abs(r_ibc3.tm),Arg(r_ibc3.tm),Re(r_ibc3.te),Im(r_ibc3.te),Abs(r_ibc3.te),Arg(r_ibc3.te)
+0.00000000E+00,+0.00000000E+00,+7.80399657E-02,-9.96950231E-01,+1.00000000E+00,-1.49267693E+00,+7.80399657E-02,-9.96950231E-01,+1.00000000E+00,-1.49267693E+00
+0.00000000E+00,+1.00000000E-02,+7.81072590E-02,-9.96944961E-01,+1.00000000E+00,-1.49260943E+00,+7.80243393E-02,-9.96951454E-01,+1.00000000E+00,-1.49269260E+00
+0.00000000E+00,+2.00000000E-02,+7.83091620E-02,-9.96929122E-01,+1.00000000E+00,-1.49240691E+00,+7.79774293E-02,-9.96955125E-01,+1.00000000E+00,-1.49273966E+00
+0.00000000E+00,+3.00000000E-02,+7.86457447E-02,-9.96902627E-01,+1.00000000E+00,-1.49206928E+00,+7.78991446E-02,-9.96961245E-01,+1.00000000E+00,-1.49281818E+00
+0.00000000E+00,+4.00000000E-02,+7.91171237E-02,-9.96865327E-01,+1.00000000E+00,-1.49159643E+00,+7.77893323E-02,-9.96969819E-01,+1.00000000E+00,-1.49292833E+00
+0.00000000E+00,+5.00000000E-02,+7.97234625E-02,-9.96817019E-01,+1.00000000E+00,-1.49098817E+00,+7.76477785E-02,-9.96980854E-01,+1.00000000E+00,-1.49307031E+00
+0.00000000E+00,+6.00000000E-02,+8.04649712E-02,-9.96757437E-01,+1.00000000E+00,-1.49024427E+00,+7.74742071E-02,-9.96994357E-01,+1.00000000E+00,-1.49324441E+00
+0.00000000E+00,+7.00000000E-02,+8.13419072E-02,-9.96686257E-01,+1.00000000E+00,-1.48936445E+00,+7.72682798E-02,-9.97010337E-01,+1.00000000E+00,-1.49345095E+00
+0.00000000E+00,+8.00000000E-02,+8.23545749E-02,-9.96603093E-01,+1.00000000E+00,-1.48834837E+00,+7.70295950E-02,-9.97028807E-01,+1.00000000E+00,-1.49369035E+00
+0.00000000E+00,+9.00000000E-02,+8.35033261E-02,-9.96507498E-01,+1.00000000E+00,-1.48719565E+00,+7.67576873E-02,-9.97049777E-01,+1.00000000E+00,-1.49396307E+00
+0.00000000E+00,+1.00000000E-01,+8.47885603E-02,-9.96398966E-01,+1.00000000E+00,-1.48590584E+00,+7.64520263E-02,-9.97073261E-01,+1.00000000E+00,-1.49426963E+00
+0.00000000E+00,+1.10000000E-01,+8.62107246E-02,-9.96276925E-01,+1.00000000E+00,-1.48447845E+00,+7.61120158E-02,-9.97099273E-01,+1.00000000E+00,-1.49461063E+00
+0.00000000E+00,+1.20000000E-01,+8.77703148E-02,-9.96140739E-01,+1.00000000E+00,-1.48291293E+00,+7.57369923E-02,-9.97127829E-01,+1.00000000E+00,-1.49498674E+00
+0.00000000E+00,+1.30000000E-01,+8.94678747E-02,-9.95989708E-01,+1.00000000E+00,-1.48120866E+00,+7.53262238E-02,-9.97158944E-01,+1.00000000E+00,-1.49539869E+00
+0.00000000E+00,+1.40000000E-01,+9.13039973E-02,-9.95823067E-01,+1.00000000E+00,-1.47936499E+00,+7.48789084E-02,-9.97192634E-01,+1.00000000E+00,-1.49584727E+00
+0.00000000E+00,+1.50000000E-01,+9.32793246E-02,-9.95639979E-01,+1.00000000E+00,-1.47738120E+00,+7.43941722E-02,-9.97228914E-01,+1.00000000E+00,-1.49633336E+00
+0.00000000E+00,+1.60000000E-01,+9.53945486E-02,-9.95439541E-01,+1.00000000E+00,-1.47525650E+00,+7.38710680E-02,-9.97267800E-01,+1.00000000E+00,-1.49685791E+00
+0.00000000E+00,+1.70000000E-01,+9.76504114E-02,-9.95220778E-01,+1.00000000E+00,-1.47299005E+00,+7.33085726E-02,-9.97309307E-01,+1.00000000E+00,-1.49742193E+00
+0.00000000E+00,+1.80000000E-01,+1.00047706E-01,-9.94982641E-01,+1.00000000E+00,-1.47058096E+00,+7.27055854E-02,-9.97353447E-01,+1.00000000E+00,-1.49802653E+00
+0.00000000E+00,+1.90000000E-01,+1.02587275E-01,-9.94724007E-01,+1.00000000E+00,-1.46802825E+00,+7.20609253E-02,-9.97400232E-01,+1.00000000E+00,-1.49867289E+00
+0.00000000E+00,+2.00000000E-01,+1.05270016E-01,-9.94443676E-01,+1.00000000E+00,-1.46533091E+00,+7.13733284E-02,-9.97449672E-01,+1.00000000E+00,-1.49936226E+00
+0.00000000E+00,+2.10000000E-01,+1.08096876E-01,-9.94140365E-01,+1.00000000E+00,-1.46248782E+00,+7.06414452E-02,-9.97501773E-01,+1.00000000E+00,-1.50009600E+00
+0.00000000E+00,+2.20000000E-01,+1.11068856E-01,-9.93812713E-01,+1.00000000E+00,-1.45949783E+00,+6.98638371E-02,-9.97556537E-01,+1.00000000E+00,-1.50087553E+00
+0.00000000E+00,+2.30000000E-01,+1.14187012E-01,-9.93459273E-01,+1.00000000E+00,-1.45635971E+00,+6.90389739E-02,-9.97613963E-01,+1.00000000E+00,-1.50170239E+00
+0.00000000E+00,+2.40000000E-01,+1.17452452E-01,-9.93078507E-01,+1.00000000E+00,-1.45307214E+00,+6.81652294E-02,-9.97674046E-01,+1.00000000E+00,-1.50257820E+00
+0.00000000E+00,+2.50000000E-01,+1.20866342E-01,-9.92668790E-01,+1.00000000E+00,-1.44963375E+00,+6.72408778E-02,-9.97736771E-01,+1.00000000E+00,-1.50350468E+00
+0.00000000E+00,+2.60000000E-01,+1.24429901E-01,-9.92228401E-01,+1.00000000E+00,-1.44604308E+00,+6.62640899E-02,-9.97802120E-01,+1.00000000E+00,-1.50448365E+00
+0.00000000E+00,+2.70000000E-01,+1.28144409E-01,-9.91755520E-01,+1.00000000E+00,-1.44229859E+00,+6.52329279E-02,-9.97870064E-01,+1.00000000E+00,-1.50551705E+00
+0.00000000E+00,+2.80000000E-01,+1.32011199E-01,-9.91248225E-01,+1.00000000E+00,-1.43839866E+00,+6.41453411E-02,-9.97940567E-01,+1.00000000E+00,-1.50660692E+00
+0.00000000E+00,+2.90000000E-01,+1.36031667E-01,-9.90704490E-01,+1.00000000E+00,-1.43434159E+00,+6.29991604E-02,-9.98013580E-01,+1.00000000E+00,-1.50775542E+00
+0.00000000E+00,+3.00000000E-01,+1.40207266E-01,-9.90122176E-01,+1.00000000E+00,-1.43012558E+00,+6.17920929E-02,-9.98089043E-01,+1.00000000E+00,-1.50896484E+00
+0.00000000E+00,+3.10000000E-01,+1.44539510E-01,-9.89499030E-01,+1.00000000E+00,-1.42574875E+00,+6.05217155E-02,-9.98166881E-01,+1.00000000E+00,-1.51023760E+00
+0.00000000E+00,+3.20000000E-01,+1.49029977E-01,-9.88832678E-01,+1.00000000E+00,-1.42120910E+00,+5.91854686E-02,-9.98247004E-01,+1.00000000E+00,-1.51157625E+00
+0.00000000E+00,+3.30000000E-01,+1.53680306E-01,-9.88120622E-01,+1.00000000E+00,-1.41650457E+00,+5.77806488E-02,-9.98329303E-01,+1.00000000E+00,-1.51298348E+00
+0.00000000E+00,+3.40000000E-01,+1.58492201E-01,-9.87360229E-01,+1.00000000E+00,-1.41163296E+00,+5.63044017E-02,-9.98413649E-01,+1.00000000E+00,-1.51446213E+00
+0.00000000E+00,+3.50000000E-01,+1.63467430E-01,-9.86548731E-01,+1.00000000E+00,-1.40659198E+00,+5.47537132E-02,-9.98499890E-01,+1.00000000E+00,-1.51601522E+00
+0.00000000E+00,+3.60000000E-01,+1.68607830E-01,-9.85683215E-01,+1.00000000E+00,-1.40137922E+00,+5.31254009E-02,-9.98587849E-01,+1.00000000E+00,-1.51764590E+00
+0.00000000E+00,+3.70000000E-01,+1.73915305E-01,-9.84760614E-01,+1.00000000E+00,-1.39599215E+00,+5.14161046E-02,-9.98677317E-01,+1.00000000E+00,-1.51935754E+00
+0.00000000E+00,+3.80000000E-01,+1.79391828E-01,-9.83777705E-01,+1.00000000E+00,-1.39042811E+00,+4.96222758E-02,-9.98768056E-01,+1.00000000E+00,-1.52115366E+00
+0.00000000E+00,+3.90000000E-01,+1.85039443E-01,-9.82731095E-01,+1.00000000E+00,-1.38468433E+00,+4.77401663E-02,-9.98859788E-01,+1.00000000E+00,-1.52303801E+00
+0.00000000E+00,+4.00000000E-01,+1.90860269E-01,-9.81617216E-01,+1.00000000E+00,-1.37875788E+00,+4.57658168E-02,-9.98952196E-01,+1.00000000E+00,-1.52501452E+00
+0.00000000E+00,+4.10000000E-01,+1.96856495E-01,-9.80432313E-01,+1.00000000E+00,-1.37264569E+00,+4.36950429E-02,-9.99044916E-01,+1.00000000E+00,-1.52708737E+00
+0.00000000E+00,+4.20000000E-01,+2.03030388E-01,-9.79172437E-01,+1.00000000E+00,-1.36634455E+00,+4.15234215E-02,-9.99137531E-01,+1.00000000E+00,-1.52926096E+00
+0.00000000E+00,+4.30000000E-01,+2.09384294E-01,-9.77833430E-01,+1.00000000E+00,-1.35985107E+00,+3.92462753E-02,-9.99229568E-01,+1.00000000E+00,-1.53153997E+00
+0.00000000E+00,+4.40000000E-01,+2.15920636E-01,-9.76410917E-01,+1.00000000E+00,-1.35316172E+00,+3.68586559E-02,-9.99320489E-01,+1.00000000E+00,-1.53392932E+00
+0.00000000E+00,+4.50000000E-01,+2.22641919E-01,-9.74900290E-01,+1.00000000E+00,-1.34627275E+00,+3.43553258E-02,-9.99409682E-01,+1.00000000E+00,-1.53643424E+00
+0.00000000E+00,+4.60000000E-01,+2.29550731E-01,-9.73296698E-01,+1.00000000E+00,-1.33918026E+00,+3.17307385E-02,-9.99496453E-01,+1.00000000E+00,-1.53906026E+00
+0.00000000E+00,+4.70000000E-01,+2.36649746E-01,-9.71595028E-01,+1.00000000E+00,-1.33188013E+00,+2.89790172E-02,-9.99580020E-01,+1.00000000E+00,-1.54181325E+00
+0.00000000E+00,+4.80000000E-01,+2.43941724E-01,-9.69789892E-01,+1.00000000E+00,-1.32436803E+00,+2.60939311E-02,-9.99659495E-01,+1.00000000E+00,-1.54469943E+00
+0.00000000E+00,+4.90000000E-01,+2.51429518E-01,-9.67875611E-01,+1.00000000E+00,-1.31663939E+00,+2.30688700E-02,-9.99733878E-01,+1.00000000E+00,-1.54772541E+00
+0.00000000E+00,+5.00000000E-01,+2.59116067E-01,-9.65846190E-01,+1.00000000E+00,-1.30868943E+00,+1.98968164E-02,-9.99802039E-01,+1.00000000E+00,-1.55089820E+00
+0.00000000E+00,+5.10000000E-01,+2.67004411E-01,-9.63695307E-01,+1.00000000E+00,-1.30051308E+00,+1.65703148E-02,-9.99862703E-01,+1.00000000E+00,-1.55422525E+00
+0.00000000E+00,+5.20000000E-01,+2.75097682E-01,-9.61416281E-01,+1.00000000E+00,-1.29210502E+00,+1.30814383E-02,-9.99914434E-01,+1.00000000E+00,-1.55771452E+00
+0.00000000E+00,+5.30000000E-01,+2.83399114E-01,-9.59002055E-01,+1.00000000E+00,-1.28345964E+00,+9.42175205E-03,-9.99955614E-01,+1.00000000E+00,-1.56137444E+00
+0.00000000E+00,+5.40000000E-01,+2.91912041E-01,-9.56445168E-01,+1.00000000E+00,-1.27457098E+00,+5.58227271E-03,-9.99984419E-01,+1.00000000E+00,-1.56521403E+00
