s1,s2,Re(z_ibc6.tm),Im(z_ibc6.tm),Abs(z_ibc6.tm),Arg(z_ibc6.tm),Re(z_ibc6.te),Im(z_ibc6.te),Abs(z_ibc6.te),Arg(z_ibc6.te)
+0.00000000E+00,+0.00000000E+00,+2.44021049E-16,+3.27460895E-03,+3.27460895E-03,+1.57079633E+00,+2.60657179E-15,+5.43139525E-04,+5.43139525E-04,+1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+3.58707493E-16,+3.27299243E-03,+3.27299243E-03,+1.57079633E+00,+2.61221735E-15,+5.42795432E-04,+5.42795432E-04,+1.57079633E+00
+2.00000000E-02,+0.00000000E+00,+1.32578125E-15,+3.26814477E-03,+3.26814477E-03,+1.57079633E+00,+1.68550458E-16,+5.41763748E-04,+5.41763748E-04,+1.57079633E+00
+3.00000000E-02,+0.00000000E+00,-1.92116659E-15,+3.26007166E-03,+3.26007166E-03,+1.57079633E+00,+6.03361015E-15,+5.40046267E-04,+5.40046267E-04,+1.57079633E+00
+4.00000000E-02,+0.00000000E+00,-7.36912113E-16,+3.24878258E-03,+3.24878258E-03,+1.57079633E+00,+1.61263137E-15,+5.37645966E-04,+5.37645966E-04,+1.57079633E+00
+5.00000000E-02,+0.00000000E+00,+9.76266626E-16,+3.23429077E-03,+3.23429077E-03,+1.57079633E+00,+5.20722116E-15,+5.34567008E-04,+5.34567008E-04,+1.57079633E+00
+6.00000000E-02,+0.00000000E+00,-7.00399511E-16,+3.21661323E-03,+3.21661323E-03,+1.57079633E+00,+6.87789183E-15,+5.30814725E-04,+5.30814725E-04,+1.57079633E+00
+7.00000000E-02,+0.00000000E+00,-4.26791701E-16,+3.19577070E-03,+3.19577070E-03,+1.57079633E+00,-1.86120806E-15,+5.26395606E-04,+5.26395606E-04,+1.57079633E+00
+8.00000000E-02,+0.00000000E+00,+1.24332342E-15,+3.17178759E-03,+3.17178759E-03,+1.57079633E+00,-5.35715231E-16,+5.21317280E-04,+5.21317280E-04,+1.57079633E+00
+9.00000000E-02,+0.00000000E+00,+1.19051907E-16,+3.14469197E-03,+3.14469197E-03,+1.57079633E+00,+1.38199786E-14,+5.15588499E-04,+5.15588499E-04,+1.57079633E+00
+1.00000000E-01,+0.00000000E+00,-4.74005656E-16,+3.11451557E-03,+3.11451557E-03,+1.57079633E+00,-1.62158395E-14,+5.09219113E-04,+5.09219113E-04,+1.57079633E+00
+1.10000000E-01,+0.00000000E+00,-1.34009328E-16,+3.08129363E-03,+3.08129363E-03,+1.57079633E+00,-8.93604156E-15,+5.02220047E-04,+5.02220047E-04,+1.57079633E+00
+1.20000000E-01,+0.00000000E+00,-4.07994790E-16,+3.04506495E-03,+3.04506495E-03,+1.57079633E+00,+1.62167451E-15,+4.94603274E-04,+4.94603274E-04,+1.57079633E+00
+1.30000000E-01,+0.00000000E+00,+7.17936326E-16,+3.00587179E-03,+3.00587179E-03,+1.57079633E+00,+1.15148307E-14,+4.86381782E-04,+4.86381782E-04,+1.57079633E+00
+1.40000000E-01,+0.00000000E+00,+7.55068568E-16,+2.96375980E-03,+2.96375980E-03,+1.57079633E+00,+2.67991004E-16,+4.77569547E-04,+4.77569547E-04,+1.57079633E+00
