s1,s2,Re(z_ibc6.tm),Im(z_ibc6.tm),Abs(z_ibc6.tm),Arg(z_ibc6.tm),Re(z_ibc6.te),Im(z_ibc6.te),Abs(z_ibc6.te),Arg(z_ibc6.te)
+0.00000000E+00,+0.00000000E+00,+7.07036517E-18,+1.65784491E-03,+1.65784491E-03,+1.57079633E+00,-2.24620890E-19,+6.09721296E-05,+6.09721296E-05,+1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+7.06881703E-18,+1.65708232E-03,+1.65708232E-03,+1.57079633E+00,-2.24569953E-19,+6.09434147E-05,+6.09434147E-05,+1.57079633E+00
+2.00000000E-02,+0.00000000E+00,+7.06417351E-18,+1.65479534E-03,+1.65479534E-03,+1.57079633E+00,-2.24417177E-19,+6.08573009E-05,+6.08573009E-05,+1.57079633E+00
+3.00000000E-02,+0.00000000E+00,+7.05643736E-18,+1.65098632E-03,+1.65098632E-03,+1.57079633E+00,-2.24162658E-19,+6.07138801E-05,+6.07138801E-05,+1.57079633E+00
+4.00000000E-02,+0.00000000E+00,+7.04561316E-18,+1.64565921E-03,+1.64565921E-03,+1.57079633E+00,-2.23806561E-19,+6.05133055E-05,+6.05133055E-05,+1.57079633E+00
+5.00000000E-02,+0.00000000E+00,+7.03170732E-18,+1.63881950E-03,+1.63881950E-03,+1.57079633E+00,-2.23349115E-19,+6.02557912E-05,+6.02557912E-05,+1.57079633E+00
+6.00000000E-02,+0.00000000E+00,+7.01472807E-18,+1.63047426E-03,+1.63047426E-03,+1.57079633E+00,-2.22790614E-19,+5.99416123E-05,+5.99416123E-05,+1.57079633E+00
+7.00000000E-02,+0.00000000E+00,+6.99468543E-18,+1.62063209E-03,+1.62063209E-03,+1.57079633E+00,-2.22131416E-19,+5.95711040E-05,+5.95711040E-05,+1.57079633E+00
+8.00000000E-02,+0.00000000E+00,+6.97159126E-18,+1.60930315E-03,+1.60930315E-03,+1.57079633E+00,-2.21371945E-19,+5.91446616E-05,+5.91446616E-05,+1.57079633E+00
+9.00000000E-02,+0.00000000E+00,+6.94545920E-18,+1.59649913E-03,+1.59649913E-03,+1.57079633E+00,-2.20512688E-19,+5.86627398E-05,+5.86627398E-05,+1.57079633E+00
+1.00000000E-01,+0.00000000E+00,+6.91630466E-18,+1.58223322E-03,+1.58223322E-03,+1.57079633E+00,-2.19554195E-19,+5.81258522E-05,+5.81258522E-05,+1.57079633E+00
+1.10000000E-01,+0.00000000E+00,+6.88414484E-18,+1.56652012E-03,+1.56652012E-03,+1.57079633E+00,-2.18497080E-19,+5.75345706E-05,+5.75345706E-05,+1.57079633E+00
+1.20000000E-01,+0.00000000E+00,+6.84899870E-18,+1.54937601E-03,+1.54937601E-03,+1.57079633E+00,-2.17342020E-19,+5.68895244E-05,+5.68895244E-05,+1.57079633E+00
+1.30000000E-01,+0.00000000E+00,+6.81088692E-18,+1.53081853E-03,+1.53081853E-03,+1.57079633E+00,-2.16089752E-19,+5.61913996E-05,+5.61913996E-05,+1.57079633E+00
+1.40000000E-01,+0.00000000E+00,+6.76983192E-18,+1.51086676E-03,+1.51086676E-03,+1.57079633E+00,-2.14741076E-19,+5.54409381E-05,+5.54409381E-05,+1.57079633E+00
+1.50000000E-01,+0.00000000E+00,+6.72585781E-18,+1.48954120E-03,+1.48954120E-03,+1.57079633E+00,-2.13296851E-19,+5.46389367E-05,+5.46389367E-05,+1.57079633E+00
+1.60000000E-01,+0.00000000E+00,+6.67899040E-18,+1.46686374E-03,+1.46686374E-03,+1.57079633E+00,-2.11757996E-19,+5.37862461E-05,+5.37862461E-05,+1.57079633E+00
+1.70000000E-01,+0.00000000E+00,+6.62925716E-18,+1.44285765E-03,+1.44285765E-03,+1.57079633E+00,-2.10125489E-19,+5.28837699E-05,+5.28837699E-05,+1.57079633E+00
+1.80000000E-01,+0.00000000E+00,+6.57668720E-18,+1.41754751E-03,+1.41754751E-03,+1.57079633E+00,-2.08400365E-19,+5.19324634E-05,+5.19324634E-05,+1.57079633E+00
+1.90000000E-01,+0.00000000E+00,+6.52131122E-18,+1.39095925E-03,+1.39095925E-03,+1.57079633E+00,-2.06583718E-19,+5.09333323E-05,+5.09333323E-05,+1.57079633E+00
+2.00000000E-01,+0.00000000E+00,+6.46316156E-18,+1.36312004E-03,+1.36312004E-03,+1.57079633E+00,-2.04676694E-19,+4.98874317E-05,+4.98874317E-05,+1.57079633E+00
+2.10000000E-01,+0.00000000E+00,+6.40227208E-18,+1.33405833E-03,+1.33405833E-03,+1.57079633E+00,-2.02680496E-19,+4.87958647E-05,+4.87958647E-05,+1.57079633E+00
+2.20000000E-01,+0.00000000E+00,+6.33867821E-18,+1.30380376E-03,+1.30380376E-03,+1.57079633E+00,-2.00596382E-19,+4.76597808E-05,+4.76597808E-05,+1.57079633E+00
+2.30000000E-01,+0.00000000E+00,+6.27241686E-18,+1.27238716E-03,+1.27238716E-03,+1.57079633E+00,-1.98425660E-19,+4.64803750E-05,+4.64803750E-05,+1.57079633E+00
+2.40000000E-01,+0.00000000E+00,+6.20352644E-18,+1.23984051E-03,+1.23984051E-03,+1.57079633E+00,-1.96169691E-19,+4.52588856E-05,+4.52588856E-05,+1.57079633E+00
+2.50000000E-01,+0.00000000E+00,+6.13204678E-18,+1.20619687E-03,+1.20619687E-03,+1.57079633E+00,-1.93829884E-19,+4.39965933E-05,+4.39965933E-05,+1.57079633E+00
+2.60000000E-01,+0.00000000E+00,+6.05801916E-18,+1.17149040E-03,+1.17149040E-03,+1.57079633E+00,-1.91407699E-19,+4.26948195E-05,+4.26948195E-05,+1.57079633E+00
+2.70000000E-01,+0.00000000E+00,+5.98148621E-18,+1.13575626E-03,+1.13575626E-03,+1.57079633E+00,-1.88904643E-19,+4.13549245E-05,+4.13549245E-05,+1.57079633E+00
+2.80000000E-01,+0.00000000E+00,+5.90249193E-18,+1.09903060E-03,+1.09903060E-03,+1.57079633E+00,-1.86322267E-19,+3.99783059E-05,+3.99783059E-05,+1.57079633E+00
+2.90000000E-01,+0.00000000E+00,+5.82108161E-18,+1.06135053E-03,+1.06135053E-03,+1.57079633E+00,-1.83662170E-19,+3.85663971E-05,+3.85663971E-05,+1.57079633E+00
+3.00000000E-01,+0.00000000E+00,+5.73730183E-18,+1.02275404E-03,+1.02275404E-03,+1.57079633E+00,-1.80925992E-19,+3.71206653E-05,+3.71206653E-05,+1.57079633E+00
+3.10000000E-01,+0.00000000E+00,+5.65120040E-18,+9.83279986E-04,+9.83279986E-04,+1.57079633E+00,-1.78115415E-19,+3.56426099E-05,+3.56426099E-05,+1.57079633E+00
+3.20000000E-01,+0.00000000E+00,+5.56282636E-18,+9.42968047E-04,+9.42968047E-04,+1.57079633E+00,-1.75232163E-19,+3.41337608E-05,+3.41337608E-05,+1.57079633E+00
+3.30000000E-01,+0.00000000E+00,+5.47222987E-18,+9.01858657E-04,+9.01858657E-04,+1.57079633E+00,-1.72277996E-19,+3.25956764E-05,+3.25956764E-05,+1.57079633E+00
+3.40000000E-01,+0.00000000E+00,+5.37946224E-18,+8.59992977E-04,+8.59992977E-04,+1.57079633E+00,-1.69254715E-19,+3.10299417E-05,+3.10299417E-05,+1.57079633E+00
+3.50000000E-01,+0.00000000E+00,+5.28457587E-18,+8.17412844E-04,+8.17412844E-04,+1.57079633E+00,-1.66164153E-19,+2.94381666E-05,+2.94381666E-05,+1.57079633E+00
+3.60000000E-01,+0.00000000E+00,+5.18762418E-18,+7.74160722E-04,+7.74160722E-04,+1.57079633E+00,-1.63008181E-19,+2.78219842E-05,+2.78219842E-05,+1.57079633E+00
+3.70000000E-01,+0.00000000E+00,+5.08866162E-18,+7.30279656E-04,+7.30279656E-04,+1.57079633E+00,-1.59788698E-19,+2.61830483E-05,+2.61830483E-05,+1.57079633E+00
+3.80000000E-01,+0.00000000E+00,+4.98774358E-18,+6.85813226E-04,+6.85813226E-04,+1.57079633E+00,-1.56507639E-19,+2.45230320E-05,+2.45230320E-05,+1.57079633E+00
+3.90000000E-01,+0.00000000E+00,+4.88492639E-18,+6.40805494E-04,+6.40805494E-04,+1.57079633E+00,-1.53166964E-19,+2.28436256E-05,+2.28436256E-05,+1.57079633E+00
+4.00000000E-01,+0.00000000E+00,+4.78026724E-18,+5.95300960E-04,+5.95300960E-04,+1.57079633E+00,-1.49768665E-19,+2.11465347E-05,+2.11465347E-05,+1.57079633E+00
+4.10000000E-01,+0.00000000E+00,+4.67382416E-18,+5.49344511E-04,+5.49344511E-04,+1.57079633E+00,-1.46314756E-19,+1.94334781E-05,+1.94334781E-05,+1.57079633E+00
+4.20000000E-01,+0.00000000E+00,+4.56565599E-18,+5.02981372E-04,+5.02981372E-04,+1.57079633E+00,-1.42807278E-19,+1.77061860E-05,+1.77061860E-05,+1.57079633E+00
