s1,s2,Re(z_ex.tm),Im(z_ex.tm),Abs(z_ex.tm),Arg(z_ex.tm),Re(z_ex.te),Im(z_ex.te),Abs(z_ex.te),Arg(z_ex.te)
+0.00000000E+00,+0.00000000E+00,+6.14137214E-17,+5.91777733E-01,+5.91777733E-01,+1.57079633E+00,+2.78617801E-15,+1.74264638E+00,+1.74264638E+00,+1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+1.76125906E-16,+5.91747460E-01,+5.91747460E-01,+1.57079633E+00,+2.79162350E-15,+1.74256821E+00,+1.74256821E+00,+1.57079633E+00
+2.00000000E-02,+0.00000000E+00,+1.14327687E-15,+5.91656649E-01,+5.91656649E-01,+1.57079633E+00,+3.47356666E-16,+1.74233375E+00,+1.74233375E+00,+1.57079633E+00
+3.00000000E-02,+0.00000000E+00,-2.10354234E-15,+5.91505329E-01,+5.91505329E-01,+1.57079633E+00,+6.21141732E-15,+1.74194313E+00,+1.74194313E+00,+1.57079633E+00
+4.00000000E-02,+0.00000000E+00,-9.19107889E-16,+5.91293545E-01,+5.91293545E-01,+1.57079633E+00,+1.78904173E-15,+1.74139657E+00,+1.74139657E+00,+1.57079633E+00
+5.00000000E-02,+0.00000000E+00,+7.94302064E-16,+5.91021362E-01,+5.91021362E-01,+1.57079633E+00,+5.38183876E-15,+1.74069440E+00,+1.74069440E+00,+1.57079633E+00
+6.00000000E-02,+0.00000000E+00,-8.82081755E-16,+5.90688862E-01,+5.90688862E-01,+1.57079633E+00,+7.05032304E-15,+1.73983702E+00,+1.73983702E+00,+1.57079633E+00
+7.00000000E-02,+0.00000000E+00,-6.08140689E-16,+5.90296145E-01,+5.90296145E-01,+1.57079633E+00,-1.69135399E-15,+1.73882491E+00,+1.73882491E+00,+1.57079633E+00
+8.00000000E-02,+0.00000000E+00,+1.06235843E-15,+5.89843331E-01,+5.89843331E-01,+1.57079633E+00,-3.68825709E-16,+1.73765865E+00,+1.73765865E+00,+1.57079633E+00
+9.00000000E-02,+0.00000000E+00,-6.14785656E-17,+5.89330555E-01,+5.89330555E-01,+1.57079633E+00,+1.39835200E-14,+1.73633892E+00,+1.73633892E+00,+1.57079633E+00
+1.00000000E-01,+0.00000000E+00,-6.54051349E-16,+5.88757974E-01,+5.88757974E-01,+1.57079633E+00,-1.60560254E-14,+1.73486647E+00,+1.73486647E+00,+1.57079633E+00
