s1,s2,Re(z_ex.11),Im(z_ex.11),Abs(z_ex.11),Arg(z_ex.11),Re(z_ex.21),Im(z_ex.21),Abs(z_ex.21),Arg(z_ex.21),Re(z_ex.12),Im(z_ex.12),Abs(z_ex.12),Arg(z_ex.12),Re(z_ex.22),Im(z_ex.22),Abs(z_ex.22),Arg(z_ex.22)
+0.00000000E+00,+0.00000000E+00,-3.45683236E-17,+9.24836131E-01,+9.24836131E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.47321264E-15,+9.24836131E-01,+9.24836131E-01,+1.57079633E+00
+0.00000000E+00,+1.57860882E-02,-6.59120140E-16,+9.24754118E-01,+9.24754118E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+4.20851561E-17,+9.24676170E-01,+9.24676170E-01,+1.57079633E+00
+0.00000000E+00,+3.15721764E-02,+4.65675384E-17,+9.24590139E-01,+9.24590139E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.16326510E-15,+9.24356337E-01,+9.24356337E-01,+1.57079633E+00
+0.00000000E+00,+4.73582646E-02,-1.32877462E-15,+9.24344291E-01,+9.24344291E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.41436442E-16,+9.23876813E-01,+9.23876813E-01,+1.57079633E+00
+0.00000000E+00,+6.31443528E-02,+1.04609404E-16,+9.24016719E-01,+9.24016719E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-3.45051748E-16,+9.23237869E-01,+9.23237869E-01,+1.57079633E+00
+0.00000000E+00,+7.89304410E-02,-1.03792607E-15,+9.23607614E-01,+9.23607614E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-6.06815312E-17,+9.22439863E-01,+9.22439863E-01,+1.57079633E+00
+0.00000000E+00,+9.47165292E-02,-1.49330615E-17,+9.23117215E-01,+9.23117215E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.41163089E-15,+9.21483245E-01,+9.21483245E-01,+1.57079633E+00
+0.00000000E+00,+1.10502617E-01,-6.96809349E-16,+9.22545809E-01,+9.22545809E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.30411134E-17,+9.20368552E-01,+9.20368552E-01,+1.57079633E+00
+0.00000000E+00,+1.26288706E-01,-3.07619667E-17,+9.21893730E-01,+9.21893730E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.06685699E-16,+9.19096406E-01,+9.19096406E-01,+1.57079633E+00
+0.00000000E+00,+1.42074794E-01,-4.21575590E-16,+9.21161357E-01,+9.21161357E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.20484073E-16,+9.17667520E-01,+9.17667520E-01,+1.57079633E+00
