s1,s2,Re(z_ex.11),Im(z_ex.11),Abs(z_ex.11),Arg(z_ex.11),Re(z_ex.21),Im(z_ex.21),Abs(z_ex.21),Arg(z_ex.21),Re(z_ex.12),Im(z_ex.12),Abs(z_ex.12),Arg(z_ex.12),Re(z_ex.22),Im(z_ex.22),Abs(z_ex.22),Arg(z_ex.22)
+0.00000000E+00,+0.00000000E+00,+8.70321753E-15,+9.24836131E-01,+9.24836131E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.73272829E-14,+9.24836131E-01,+9.24836131E-01,+1.57079633E+00
+0.00000000E+00,+1.47948687E-01,+9.78975177E-14,+9.17440145E-01,+9.17440145E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+5.13031588E-15,+9.09754575E-01,+9.09754575E-01,+1.57079633E+00
+0.00000000E+00,+2.95897374E-01,+1.06347721E-15,+9.03034235E-01,+9.03034235E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.63038785E-14,+8.80388738E-01,+8.80388738E-01,+1.57079633E+00
+0.00000000E+00,+4.43846061E-01,+9.41749433E-14,+8.82341267E-01,+8.82341267E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.75483092E-16,+8.38225780E-01,+8.38225780E-01,+1.57079633E+00
+0.00000000E+00,+5.91794748E-01,+1.03930712E-14,+8.56333745E-01,+8.56333745E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.16850410E-14,+7.85254071E-01,+7.85254071E-01,+1.57079633E+00
+0.00000000E+00,+7.39743436E-01,+5.01524039E-14,+8.26127388E-01,+8.26127388E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.88754825E-14,+7.23735653E-01,+7.23735653E-01,+1.57079633E+00
+0.00000000E+00,+8.87692123E-01,+5.99133942E-14,+7.92875376E-01,+7.92875376E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.34514407E-14,+6.55984174E-01,+6.55984174E-01,+1.57079633E+00
+0.00000000E+00,+1.03564081E+00,-5.65610145E-17,+7.57679030E-01,+7.57679030E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+5.37493294E-14,+5.84182149E-01,+5.84182149E-01,+1.57079633E+00
+0.00000000E+00,+1.18358950E+00,+4.97758162E-14,+7.21523753E-01,+7.21523753E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.17747625E-14,+5.10254964E-01,+5.10254964E-01,+1.57079633E+00
+0.00000000E+00,+1.33153818E+00,+5.08090316E-14,+6.85242041E-01,+6.85242041E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+5.74919715E-15,+4.35803374E-01,+4.35803374E-01,+1.57079633E+00
+0.00000000E+00,+1.47948687E+00,+4.07152793E-15,+6.49500263E-01,+6.49500263E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.67737994E-14,+3.62085437E-01,+3.62085437E-01,+1.57079633E+00
