s1,s2,Re(z_ex.11),Im(z_ex.11),Abs(z_ex.11),Arg(z_ex.11),Re(z_ex.21),Im(z_ex.21),Abs(z_ex.21),Arg(z_ex.21),Re(z_ex.12),Im(z_ex.12),Abs(z_ex.12),Arg(z_ex.12),Re(z_ex.22),Im(z_ex.22),Abs(z_ex.22),Arg(z_ex.22)
+0.00000000E+00,+0.00000000E+00,-4.16541736E-17,+9.18103650E-01,+9.18103650E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-7.97419281E-16,+9.31647272E-01,+9.31647272E-01,+1.57079633E+00
+1.57860882E-02,+0.00000000E+00,-2.74436932E-16,+9.18024546E-01,+9.18024546E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+5.28965445E-17,+9.31605657E-01,+9.31605657E-01,+1.57079633E+00
+3.15721764E-02,+0.00000000E+00,-2.50185710E-16,+9.17787281E-01,+9.17787281E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-3.65027627E-16,+9.31480837E-01,+9.31480837E-01,+1.57079633E+00
+4.73582646E-02,+0.00000000E+00,+2.78955340E-16,+9.17391986E-01,+9.17391986E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-8.42329621E-17,+9.31272884E-01,+9.31272884E-01,+1.57079633E+00
+6.31443528E-02,+0.00000000E+00,-2.12619266E-16,+9.16838883E-01,+9.16838883E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.70000084E-16,+9.30981923E-01,+9.30981923E-01,+1.57079633E+00
+7.89304410E-02,+0.00000000E+00,-1.17313685E-16,+9.16128282E-01,+9.16128282E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-3.05031388E-16,+9.30608125E-01,+9.30608125E-01,+1.57079633E+00
+9.47165292E-02,+0.00000000E+00,-2.64202258E-16,+9.15260579E-01,+9.15260579E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+5.44303411E-16,+9.30151710E-01,+9.30151710E-01,+1.57079633E+00
+1.10502617E-01,+0.00000000E+00,+1.97931936E-16,+9.14236257E-01,+9.14236257E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.58842213E-16,+9.29612947E-01,+9.29612947E-01,+1.57079633E+00
+1.26288706E-01,+0.00000000E+00,-2.64166617E-16,+9.13055888E-01,+9.13055888E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-4.44640538E-16,+9.28992152E-01,+9.28992152E-01,+1.57079633E+00
+1.42074794E-01,+0.00000000E+00,-2.36762504E-16,+9.11720126E-01,+9.11720126E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-3.40375175E-16,+9.28289690E-01,+9.28289690E-01,+1.57079633E+00
+1.57860882E-01,+0.00000000E+00,+5.32237987E-17,+9.10229713E-01,+9.10229713E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+6.77174543E-16,+9.27505971E-01,+9.27505971E-01,+1.57079633E+00
+1.73646970E-01,+0.00000000E+00,-1.41216367E-17,+9.08585471E-01,+9.08585471E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.88429284E-16,+9.26641453E-01,+9.26641453E-01,+1.57079633E+00
+1.89433058E-01,+0.00000000E+00,-1.92394998E-16,+9.06788307E-01,+9.06788307E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-4.99306652E-16,+9.25696639E-01,+9.25696639E-01,+1.57079633E+00
