s1,s2,Re(z_ex.tm),Im(z_ex.tm),Abs(z_ex.tm),Arg(z_ex.tm),Re(z_ex.te),Im(z_ex.te),Abs(z_ex.te),Arg(z_ex.te)
+0.00000000E+00,+0.00000000E+00,+3.30024907E-16,+8.63172101E-01,+8.63172101E-01,+1.57079633E+00,+1.93777773E-16,+9.93830658E-01,+9.93830658E-01,+1.57079633E+00
+1.47948687E-01,+0.00000000E+00,+3.31373198E-16,+8.56352564E-01,+8.56352564E-01,+1.57079633E+00,-1.67672178E-16,+9.89541701E-01,+9.89541701E-01,+1.57079633E+00
+2.95897374E-01,+0.00000000E+00,-7.16349999E-17,+8.36234396E-01,+8.36234396E-01,+1.57079633E+00,+3.17736970E-16,+9.76915667E-01,+9.76915667E-01,+1.57079633E+00
+4.43846061E-01,+0.00000000E+00,+4.79124449E-16,+8.03795171E-01,+8.03795171E-01,+1.57079633E+00,-4.88148558E-17,+9.56641939E-01,+9.56641939E-01,+1.57079633E+00
+5.91794748E-01,+0.00000000E+00,+2.32750610E-17,+7.60528533E-01,+7.60528533E-01,+1.57079633E+00,+5.23125028E-16,+9.29767299E-01,+9.29767299E-01,+1.57079633E+00
+7.39743436E-01,+0.00000000E+00,+3.34203060E-16,+7.08272781E-01,+7.08272781E-01,+1.57079633E+00,-1.86591056E-16,+8.97568323E-01,+8.97568323E-01,+1.57079633E+00
+8.87692123E-01,+0.00000000E+00,+4.05428945E-17,+6.49023538E-01,+6.49023538E-01,+1.57079633E+00,-2.71519620E-17,+8.61414400E-01,+8.61414400E-01,+1.57079633E+00
+1.03564081E+00,+0.00000000E+00,-1.99049660E-16,+5.84762200E-01,+5.84762200E-01,+1.57079633E+00,+1.70177121E-16,+8.22645449E-01,+8.22645449E-01,+1.57079633E+00
+1.18358950E+00,+0.00000000E+00,+4.97869423E-17,+5.17321709E-01,+5.17321709E-01,+1.57079633E+00,-1.18840256E-16,+7.82479751E-01,+7.82479751E-01,+1.57079633E+00
+1.33153818E+00,+0.00000000E+00,-2.32555353E-17,+4.48298703E-01,+4.48298703E-01,+1.57079633E+00,-2.47582339E-16,+7.41957243E-01,+7.41957243E-01,+1.57079633E+00
+1.47948687E+00,+0.00000000E+00,-1.24255793E-16,+3.79010410E-01,+3.79010410E-01,+1.57079633E+00,+3.67675419E-17,+7.01915544E-01,+7.01915544E-01,+1.57079633E+00
+1.62743556E+00,+0.00000000E+00,-2.74367638E-17,+3.10487893E-01,+3.10487893E-01,+1.57079633E+00,-6.09364803E-17,+6.62991351E-01,+6.62991351E-01,+1.57079633E+00
