s1,s2,Re(z_ex.11),Im(z_ex.11),Abs(z_ex.11),Arg(z_ex.11),Re(z_ex.21),Im(z_ex.21),Abs(z_ex.21),Arg(z_ex.21),Re(z_ex.12),Im(z_ex.12),Abs(z_ex.12),Arg(z_ex.12),Re(z_ex.22),Im(z_ex.22),Abs(z_ex.22),Arg(z_ex.22)
+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.24836131E-01,+9.24836131E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.24836131E-01,+9.24836131E-01,+1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+0.00000000E+00,+9.24804328E-01,+9.24804328E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.24819742E-01,+9.24819742E-01,+1.57079633E+00
+2.00000000E-02,+0.00000000E+00,+0.00000000E+00,+9.24708926E-01,+9.24708926E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.24770577E-01,+9.24770577E-01,+1.57079633E+00
+3.00000000E-02,+0.00000000E+00,+0.00000000E+00,+9.24549946E-01,+9.24549946E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.24688650E-01,+9.24688650E-01,+1.57079633E+00
+4.00000000E-02,+0.00000000E+00,+0.00000000E+00,+9.24327424E-01,+9.24327424E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.24573977E-01,+9.24573977E-01,+1.57079633E+00
+5.00000000E-02,+0.00000000E+00,+0.00000000E+00,+9.24041410E-01,+9.24041410E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.24426588E-01,+9.24426588E-01,+1.57079633E+00
+6.00000000E-02,+0.00000000E+00,+0.00000000E+00,+9.23691968E-01,+9.23691968E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.24246516E-01,+9.24246516E-01,+1.57079633E+00
+7.00000000E-02,+0.00000000E+00,+0.00000000E+00,+9.23279175E-01,+9.23279175E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.24033803E-01,+9.24033803E-01,+1.57079633E+00
+8.00000000E-02,+0.00000000E+00,+0.00000000E+00,+9.22803125E-01,+9.22803125E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.23788499E-01,+9.23788499E-01,+1.57079633E+00
+9.00000000E-02,+0.00000000E+00,+0.00000000E+00,+9.22263923E-01,+9.22263923E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.23510662E-01,+9.23510662E-01,+1.57079633E+00
+1.00000000E-01,+0.00000000E+00,+0.00000000E+00,+9.21661690E-01,+9.21661690E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.23200357E-01,+9.23200357E-01,+1.57079633E+00
