s1,s2,Re(z_ex.tm),Im(z_ex.tm),Abs(z_ex.tm),Arg(z_ex.tm),Re(z_ex.te),Im(z_ex.te),Abs(z_ex.te),Arg(z_ex.te)
+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.25049867E-01,+9.25049867E-01,+1.57079633E+00,+0.00000000E+00,+9.25049867E-01,+9.25049867E-01,+1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+0.00000000E+00,+9.25018051E-01,+9.25018051E-01,+1.57079633E+00,+0.00000000E+00,+9.25033468E-01,+9.25033468E-01,+1.57079633E+00
+2.00000000E-02,+0.00000000E+00,+0.00000000E+00,+9.24922610E-01,+9.24922610E-01,+1.57079633E+00,+0.00000000E+00,+9.24984276E-01,+9.24984276E-01,+1.57079633E+00
+3.00000000E-02,+0.00000000E+00,+0.00000000E+00,+9.24763566E-01,+9.24763566E-01,+1.57079633E+00,+0.00000000E+00,+9.24902302E-01,+9.24902302E-01,+1.57079633E+00
+4.00000000E-02,+0.00000000E+00,+0.00000000E+00,+9.24540954E-01,+9.24540954E-01,+1.57079633E+00,+0.00000000E+00,+9.24787564E-01,+9.24787564E-01,+1.57079633E+00
+5.00000000E-02,+0.00000000E+00,+0.00000000E+00,+9.24254824E-01,+9.24254824E-01,+1.57079633E+00,+0.00000000E+00,+9.24640091E-01,+9.24640091E-01,+1.57079633E+00
+6.00000000E-02,+0.00000000E+00,+0.00000000E+00,+9.23905240E-01,+9.23905240E-01,+1.57079633E+00,+0.00000000E+00,+9.24459916E-01,+9.24459916E-01,+1.57079633E+00
+7.00000000E-02,+0.00000000E+00,+0.00000000E+00,+9.23492281E-01,+9.23492281E-01,+1.57079633E+00,+0.00000000E+00,+9.24247083E-01,+9.24247083E-01,+1.57079633E+00
+8.00000000E-02,+0.00000000E+00,+0.00000000E+00,+9.23016038E-01,+9.23016038E-01,+1.57079633E+00,+0.00000000E+00,+9.24001640E-01,+9.24001640E-01,+1.57079633E+00
+9.00000000E-02,+0.00000000E+00,+0.00000000E+00,+9.22476618E-01,+9.22476618E-01,+1.57079633E+00,+0.00000000E+00,+9.23723645E-01,+9.23723645E-01,+1.57079633E+00
+1.00000000E-01,+0.00000000E+00,+0.00000000E+00,+9.21874141E-01,+9.21874141E-01,+1.57079633E+00,+0.00000000E+00,+9.23413163E-01,+9.23413163E-01,+1.57079633E+00
+1.10000000E-01,+0.00000000E+00,+0.00000000E+00,+9.21208742E-01,+9.21208742E-01,+1.57079633E+00,+0.00000000E+00,+9.23070267E-01,+9.23070267E-01,+1.57079633E+00
+1.20000000E-01,+0.00000000E+00,+0.00000000E+00,+9.20480569E-01,+9.20480569E-01,+1.57079633E+00,+0.00000000E+00,+9.22695037E-01,+9.22695037E-01,+1.57079633E+00
+1.30000000E-01,+0.00000000E+00,+0.00000000E+00,+9.19689783E-01,+9.19689783E-01,+1.57079633E+00,+0.00000000E+00,+9.22287559E-01,+9.22287559E-01,+1.57079633E+00
+1.40000000E-01,+0.00000000E+00,+0.00000000E+00,+9.18836560E-01,+9.18836560E-01,+1.57079633E+00,+0.00000000E+00,+9.21847930E-01,+9.21847930E-01,+1.57079633E+00
+1.50000000E-01,+0.00000000E+00,+0.00000000E+00,+9.17921089E-01,+9.17921089E-01,+1.57079633E+00,+0.00000000E+00,+9.21376250E-01,+9.21376250E-01,+1.57079633E+00
+1.60000000E-01,+0.00000000E+00,+0.00000000E+00,+9.16943574E-01,+9.16943574E-01,+1.57079633E+00,+0.00000000E+00,+9.20872630E-01,+9.20872630E-01,+1.57079633E+00
+1.70000000E-01,+0.00000000E+00,+0.00000000E+00,+9.15904228E-01,+9.15904228E-01,+1.57079633E+00,+0.00000000E+00,+9.20337186E-01,+9.20337186E-01,+1.57079633E+00
+1.80000000E-01,+0.00000000E+00,+0.00000000E+00,+9.14803283E-01,+9.14803283E-01,+1.57079633E+00,+0.00000000E+00,+9.19770041E-01,+9.19770041E-01,+1.57079633E+00
+1.90000000E-01,+0.00000000E+00,+0.00000000E+00,+9.13640979E-01,+9.13640979E-01,+1.57079633E+00,+0.00000000E+00,+9.19171327E-01,+9.19171327E-01,+1.57079633E+00
+2.00000000E-01,+0.00000000E+00,+0.00000000E+00,+9.12417573E-01,+9.12417573E-01,+1.57079633E+00,+0.00000000E+00,+9.18541181E-01,+9.18541181E-01,+1.57079633E+00
+2.10000000E-01,+0.00000000E+00,+0.00000000E+00,+9.11133331E-01,+9.11133331E-01,+1.57079633E+00,+0.00000000E+00,+9.17879747E-01,+9.17879747E-01,+1.57079633E+00
