s1,s2,Re(z_ibc0.11),Im(z_ibc0.11),Abs(z_ibc0.11),Arg(z_ibc0.11),Re(z_ibc0.21),Im(z_ibc0.21),Abs(z_ibc0.21),Arg(z_ibc0.21),Re(z_ibc0.12),Im(z_ibc0.12),Abs(z_ibc0.12),Arg(z_ibc0.12),Re(z_ibc0.22),Im(z_ibc0.22),Abs(z_ibc0.22),Arg(z_ibc0.22)
+0.00000000E+00,+0.00000000E+00,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00
+0.00000000E+00,+1.57860882E-02,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00
+0.00000000E+00,+3.15721764E-02,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00
+0.00000000E+00,+4.73582646E-02,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00
+0.00000000E+00,+6.31443528E-02,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00
+0.00000000E+00,+7.89304410E-02,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00
+0.00000000E+00,+9.47165292E-02,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00
+0.00000000E+00,+1.10502617E-01,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00
+0.00000000E+00,+1.26288706E-01,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00
+0.00000000E+00,+1.42074794E-01,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00
+0.00000000E+00,+1.57860882E-01,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00
+0.00000000E+00,+1.73646970E-01,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00
+0.00000000E+00,+1.89433058E-01,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00
+0.00000000E+00,+2.05219147E-01,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00
+0.00000000E+00,+2.21005235E-01,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00
+0.00000000E+00,+2.36791323E-01,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00
+0.00000000E+00,+2.52577411E-01,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.92942766E-15,-7.50182408E+00,+7.50182408E+00,-1.57079633E+00
