s1,s2,Re(z_ibc6.tm),Im(z_ibc6.tm),Abs(z_ibc6.tm),Arg(z_ibc6.tm),Re(z_ibc6.te),Im(z_ibc6.te),Abs(z_ibc6.te),Arg(z_ibc6.te)
+0.00000000E+00,+0.00000000E+00,+1.87075422E-14,+9.15978789E-01,+9.15978789E-01,+1.57079633E+00,+1.95369997E-14,+9.31567324E-01,+9.31567324E-01,+1.57079633E+00
+0.00000000E+00,+1.57860882E-02,+1.87045674E-14,+9.15901957E-01,+9.15901957E-01,+1.57079633E+00,+1.95340450E-14,+9.31525797E-01,+9.31525797E-01,+1.57079633E+00
+0.00000000E+00,+3.15721764E-02,+1.86956455E-14,+9.15671499E-01,+9.15671499E-01,+1.57079633E+00,+1.95251838E-14,+9.31401240E-01,+9.31401240E-01,+1.57079633E+00
+0.00000000E+00,+4.73582646E-02,+1.86807852E-14,+9.15287531E-01,+9.15287531E-01,+1.57079633E+00,+1.95104246E-14,+9.31193726E-01,+9.31193726E-01,+1.57079633E+00
+0.00000000E+00,+6.31443528E-02,+1.86600006E-14,+9.14750247E-01,+9.14750247E-01,+1.57079633E+00,+1.94897819E-14,+9.30903378E-01,+9.30903378E-01,+1.57079633E+00
+0.00000000E+00,+7.89304410E-02,+1.86333114E-14,+9.14059918E-01,+9.14059918E-01,+1.57079633E+00,+1.94632756E-14,+9.30530364E-01,+9.30530364E-01,+1.57079633E+00
+0.00000000E+00,+9.47165292E-02,+1.86007429E-14,+9.13216891E-01,+9.13216891E-01,+1.57079633E+00,+1.94309314E-14,+9.30074905E-01,+9.30074905E-01,+1.57079633E+00
+0.00000000E+00,+1.10502617E-01,+1.85623260E-14,+9.12221590E-01,+9.12221590E-01,+1.57079633E+00,+1.93927805E-14,+9.29537265E-01,+9.29537265E-01,+1.57079633E+00
+0.00000000E+00,+1.26288706E-01,+1.85180969E-14,+9.11074516E-01,+9.11074516E-01,+1.57079633E+00,+1.93488598E-14,+9.28917758E-01,+9.28917758E-01,+1.57079633E+00
+0.00000000E+00,+1.42074794E-01,+1.84680974E-14,+9.09776242E-01,+9.09776242E-01,+1.57079633E+00,+1.92992115E-14,+9.28216747E-01,+9.28216747E-01,+1.57079633E+00
+0.00000000E+00,+1.57860882E-01,+1.84123745E-14,+9.08327418E-01,+9.08327418E-01,+1.57079633E+00,+1.92438833E-14,+9.27434636E-01,+9.27434636E-01,+1.57079633E+00
+0.00000000E+00,+1.73646970E-01,+1.83509805E-14,+9.06728767E-01,+9.06728767E-01,+1.57079633E+00,+1.91829281E-14,+9.26571881E-01,+9.26571881E-01,+1.57079633E+00
+0.00000000E+00,+1.89433058E-01,+1.82839729E-14,+9.04981084E-01,+9.04981084E-01,+1.57079633E+00,+1.91164038E-14,+9.25628979E-01,+9.25628979E-01,+1.57079633E+00
+0.00000000E+00,+2.05219147E-01,+1.82114141E-14,+9.03085238E-01,+9.03085238E-01,+1.57079633E+00,+1.90443738E-14,+9.24606474E-01,+9.24606474E-01,+1.57079633E+00
+0.00000000E+00,+2.21005235E-01,+1.81333716E-14,+9.01042166E-01,+9.01042166E-01,+1.57079633E+00,+1.89669060E-14,+9.23504952E-01,+9.23504952E-01,+1.57079633E+00
+0.00000000E+00,+2.36791323E-01,+1.80499175E-14,+8.98852877E-01,+8.98852877E-01,+1.57079633E+00,+1.88840734E-14,+9.22325043E-01,+9.22325043E-01,+1.57079633E+00
+0.00000000E+00,+2.52577411E-01,+1.79611288E-14,+8.96518445E-01,+8.96518445E-01,+1.57079633E+00,+1.87959534E-14,+9.21067419E-01,+9.21067419E-01,+1.57079633E+00
+0.00000000E+00,+2.68363499E-01,+1.78670870E-14,+8.94040015E-01,+8.94040015E-01,+1.57079633E+00,+1.87026280E-14,+9.19732793E-01,+9.19732793E-01,+1.57079633E+00
+0.00000000E+00,+2.84149588E-01,+1.77678778E-14,+8.91418795E-01,+8.91418795E-01,+1.57079633E+00,+1.86041837E-14,+9.18321917E-01,+9.18321917E-01,+1.57079633E+00
+0.00000000E+00,+2.99935676E-01,+1.76635914E-14,+8.88656058E-01,+8.88656058E-01,+1.57079633E+00,+1.85007110E-14,+9.16835585E-01,+9.16835585E-01,+1.57079633E+00
+0.00000000E+00,+3.15721764E-01,+1.75543220E-14,+8.85753140E-01,+8.85753140E-01,+1.57079633E+00,+1.83923044E-14,+9.15274626E-01,+9.15274626E-01,+1.57079633E+00
+0.00000000E+00,+3.31507852E-01,+1.74401677E-14,+8.82711437E-01,+8.82711437E-01,+1.57079633E+00,+1.82790623E-14,+9.13639907E-01,+9.13639907E-01,+1.57079633E+00
+0.00000000E+00,+3.47293940E-01,+1.73212305E-14,+8.79532405E-01,+8.79532405E-01,+1.57079633E+00,+1.81610868E-14,+9.11932331E-01,+9.11932331E-01,+1.57079633E+00
+0.00000000E+00,+3.63080029E-01,+1.71976157E-14,+8.76217559E-01,+8.76217559E-01,+1.57079633E+00,+1.80384833E-14,+9.10152835E-01,+9.10152835E-01,+1.57079633E+00
+0.00000000E+00,+3.78866117E-01,+1.70694324E-14,+8.72768467E-01,+8.72768467E-01,+1.57079633E+00,+1.79113606E-14,+9.08302389E-01,+9.08302389E-01,+1.57079633E+00
+0.00000000E+00,+3.94652205E-01,+1.69367926E-14,+8.69186755E-01,+8.69186755E-01,+1.57079633E+00,+1.77798306E-14,+9.06381996E-01,+9.06381996E-01,+1.57079633E+00
+0.00000000E+00,+4.10438293E-01,+1.67998116E-14,+8.65474099E-01,+8.65474099E-01,+1.57079633E+00,+1.76440079E-14,+9.04392689E-01,+9.04392689E-01,+1.57079633E+00
+0.00000000E+00,+4.26224381E-01,+1.66586074E-14,+8.61632225E-01,+8.61632225E-01,+1.57079633E+00,+1.75040099E-14,+9.02335529E-01,+9.02335529E-01,+1.57079633E+00
+0.00000000E+00,+4.42010470E-01,+1.65133007E-14,+8.57662908E-01,+8.57662908E-01,+1.57079633E+00,+1.73599564E-14,+9.00211608E-01,+9.00211608E-01,+1.57079633E+00
+0.00000000E+00,+4.57796558E-01,+1.63640147E-14,+8.53567972E-01,+8.53567972E-01,+1.57079633E+00,+1.72119696E-14,+8.98022042E-01,+8.98022042E-01,+1.57079633E+00
+0.00000000E+00,+4.73582646E-01,+1.62108750E-14,+8.49349281E-01,+8.49349281E-01,+1.57079633E+00,+1.70601736E-14,+8.95767973E-01,+8.95767973E-01,+1.57079633E+00
