s1,s2,Re(z_ibc6.tm),Im(z_ibc6.tm),Abs(z_ibc6.tm),Arg(z_ibc6.tm),Re(z_ibc6.te),Im(z_ibc6.te),Abs(z_ibc6.te),Arg(z_ibc6.te)
+0.00000000E+00,+0.00000000E+00,-1.45607130E-16,+3.67440353E-01,+3.67440353E-01,+1.57079633E+00,-1.07380581E-16,+1.67578412E+00,+1.67578412E+00,+1.57079633E+00
+0.00000000E+00,+9.08827649E-01,-1.26185772E-16,+3.03875229E-01,+3.03875229E-01,+1.57079633E+00,-1.31584996E-16,+1.28772889E+00,+1.28772889E+00,+1.57079633E+00
+0.00000000E+00,+1.81765530E+00,-7.95544360E-17,+1.31294921E-01,+1.31294921E-01,+1.57079633E+00,-1.11488432E-16,+7.75275226E-01,+7.75275226E-01,+1.57079633E+00
+0.00000000E+00,+2.72648295E+00,-2.97319042E-17,-1.07491777E-01,+1.07491777E-01,-1.57079633E+00,-7.36174388E-17,+4.83767915E-01,+4.83767915E-01,+1.57079633E+00
+0.00000000E+00,+3.63531060E+00,+5.12749473E-18,-3.67651663E-01,+3.67651663E-01,-1.57079633E+00,-4.62037533E-17,+3.31455647E-01,+3.31455647E-01,+1.57079633E+00
+0.00000000E+00,+4.54413825E+00,+1.95355976E-17,-6.17337589E-01,+6.17337589E-01,-1.57079633E+00,-2.87366413E-17,+2.46950873E-01,+2.46950873E-01,+1.57079633E+00
+0.00000000E+00,+5.45296590E+00,+1.66403280E-17,-8.40150171E-01,+8.40150171E-01,-1.57079633E+00,-1.75259314E-17,+1.96436648E-01,+1.96436648E-01,+1.57079633E+00
+0.00000000E+00,+6.36179355E+00,+2.35562198E-18,-1.03092275E+00,+1.03092275E+00,-1.57079633E+00,-1.00740510E-17,+1.64214469E-01,+1.64214469E-01,+1.57079633E+00
+0.00000000E+00,+7.27062120E+00,-1.79862843E-17,-1.19068292E+00,+1.19068292E+00,-1.57079633E+00,-4.92948724E-18,+1.42539089E-01,+1.42539089E-01,+1.57079633E+00
+0.00000000E+00,+8.17944884E+00,-4.06355846E-17,-1.32309960E+00,+1.32309960E+00,-1.57079633E+00,-1.25292181E-18,+1.27315761E-01,+1.27315761E-01,+1.57079633E+00
+0.00000000E+00,+9.08827649E+00,-6.33103295E-17,-1.43251737E+00,+1.43251737E+00,-1.57079633E+00,+1.45487384E-18,+1.16239825E-01,+1.16239825E-01,+1.57079633E+00
