s1,s2,Re(z_ibc6.tm),Im(z_ibc6.tm),Abs(z_ibc6.tm),Arg(z_ibc6.tm),Re(z_ibc6.te),Im(z_ibc6.te),Abs(z_ibc6.te),Arg(z_ibc6.te)
+0.00000000E+00,+0.00000000E+00,+3.52340407E-14,+8.61555253E-01,+8.61555253E-01,+1.57079633E+00,+2.93160160E-14,+9.93991148E-01,+9.93991148E-01,+1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+3.52321228E-14,+8.61524792E-01,+8.61524792E-01,+1.57079633E+00,+2.93176055E-14,+9.93971489E-01,+9.93971489E-01,+1.57079633E+00
+2.00000000E-02,+0.00000000E+00,+3.52263700E-14,+8.61433416E-01,+8.61433416E-01,+1.57079633E+00,+2.93223723E-14,+9.93912514E-01,+9.93912514E-01,+1.57079633E+00
+3.00000000E-02,+0.00000000E+00,+3.52167842E-14,+8.61281144E-01,+8.61281144E-01,+1.57079633E+00,+2.93303118E-14,+9.93814241E-01,+9.93814241E-01,+1.57079633E+00
+4.00000000E-02,+0.00000000E+00,+3.52033690E-14,+8.61068008E-01,+8.61068008E-01,+1.57079633E+00,+2.93414165E-14,+9.93676694E-01,+9.93676694E-01,+1.57079633E+00
+5.00000000E-02,+0.00000000E+00,+3.51861291E-14,+8.60794053E-01,+8.60794053E-01,+1.57079633E+00,+2.93556758E-14,+9.93499909E-01,+9.93499909E-01,+1.57079633E+00
+6.00000000E-02,+0.00000000E+00,+3.51650707E-14,+8.60459335E-01,+8.60459335E-01,+1.57079633E+00,+2.93730760E-14,+9.93283932E-01,+9.93283932E-01,+1.57079633E+00
+7.00000000E-02,+0.00000000E+00,+3.51402014E-14,+8.60063926E-01,+8.60063926E-01,+1.57079633E+00,+2.93936004E-14,+9.93028819E-01,+9.93028819E-01,+1.57079633E+00
+8.00000000E-02,+0.00000000E+00,+3.51115301E-14,+8.59607907E-01,+8.59607907E-01,+1.57079633E+00,+2.94172293E-14,+9.92734637E-01,+9.92734637E-01,+1.57079633E+00
+9.00000000E-02,+0.00000000E+00,+3.50790670E-14,+8.59091375E-01,+8.59091375E-01,+1.57079633E+00,+2.94439403E-14,+9.92401460E-01,+9.92401460E-01,+1.57079633E+00
+1.00000000E-01,+0.00000000E+00,+3.50428238E-14,+8.58514437E-01,+8.58514437E-01,+1.57079633E+00,+2.94737077E-14,+9.92029376E-01,+9.92029376E-01,+1.57079633E+00
