s1,s2,Re(z_ibc6.tm),Im(z_ibc6.tm),Abs(z_ibc6.tm),Arg(z_ibc6.tm),Re(z_ibc6.te),Im(z_ibc6.te),Abs(z_ibc6.te),Arg(z_ibc6.te)
+0.00000000E+00,+0.00000000E+00,-7.07036517E-18,+9.23392022E-01,+9.23392022E-01,+1.57079633E+00,+2.24620890E-19,+9.24988895E-01,+9.24988895E-01,+1.57079633E+00
+1.00000000E-02,+0.00000000E+00,-7.06881703E-18,+9.23360969E-01,+9.23360969E-01,+1.57079633E+00,+2.24569953E-19,+9.24972525E-01,+9.24972525E-01,+1.57079633E+00
+2.00000000E-02,+0.00000000E+00,-7.06417351E-18,+9.23267815E-01,+9.23267815E-01,+1.57079633E+00,+2.24417177E-19,+9.24923419E-01,+9.24923419E-01,+1.57079633E+00
+3.00000000E-02,+0.00000000E+00,-7.05643736E-18,+9.23112580E-01,+9.23112580E-01,+1.57079633E+00,+2.24162658E-19,+9.24841588E-01,+9.24841588E-01,+1.57079633E+00
+4.00000000E-02,+0.00000000E+00,-7.04561316E-18,+9.22895295E-01,+9.22895295E-01,+1.57079633E+00,+2.23806561E-19,+9.24727051E-01,+9.24727051E-01,+1.57079633E+00
+5.00000000E-02,+0.00000000E+00,-7.03170732E-18,+9.22616005E-01,+9.22616005E-01,+1.57079633E+00,+2.23349115E-19,+9.24579835E-01,+9.24579835E-01,+1.57079633E+00
+6.00000000E-02,+0.00000000E+00,-7.01472807E-18,+9.22274766E-01,+9.22274766E-01,+1.57079633E+00,+2.22790614E-19,+9.24399975E-01,+9.24399975E-01,+1.57079633E+00
+7.00000000E-02,+0.00000000E+00,-6.99468543E-18,+9.21871649E-01,+9.21871649E-01,+1.57079633E+00,+2.22131416E-19,+9.24187512E-01,+9.24187512E-01,+1.57079633E+00
+8.00000000E-02,+0.00000000E+00,-6.97159126E-18,+9.21406735E-01,+9.21406735E-01,+1.57079633E+00,+2.21371945E-19,+9.23942495E-01,+9.23942495E-01,+1.57079633E+00
+9.00000000E-02,+0.00000000E+00,-6.94545920E-18,+9.20880119E-01,+9.20880119E-01,+1.57079633E+00,+2.20512688E-19,+9.23664982E-01,+9.23664982E-01,+1.57079633E+00
+1.00000000E-01,+0.00000000E+00,-6.91630466E-18,+9.20291908E-01,+9.20291908E-01,+1.57079633E+00,+2.19554195E-19,+9.23355037E-01,+9.23355037E-01,+1.57079633E+00
+1.10000000E-01,+0.00000000E+00,-6.88414484E-18,+9.19642222E-01,+9.19642222E-01,+1.57079633E+00,+2.18497080E-19,+9.23012733E-01,+9.23012733E-01,+1.57079633E+00
+1.20000000E-01,+0.00000000E+00,-6.84899870E-18,+9.18931193E-01,+9.18931193E-01,+1.57079633E+00,+2.17342020E-19,+9.22638147E-01,+9.22638147E-01,+1.57079633E+00
+1.30000000E-01,+0.00000000E+00,-6.81088692E-18,+9.18158964E-01,+9.18158964E-01,+1.57079633E+00,+2.16089752E-19,+9.22231368E-01,+9.22231368E-01,+1.57079633E+00
+1.40000000E-01,+0.00000000E+00,-6.76983192E-18,+9.17325693E-01,+9.17325693E-01,+1.57079633E+00,+2.14741076E-19,+9.21792489E-01,+9.21792489E-01,+1.57079633E+00
+1.50000000E-01,+0.00000000E+00,-6.72585781E-18,+9.16431548E-01,+9.16431548E-01,+1.57079633E+00,+2.13296851E-19,+9.21321611E-01,+9.21321611E-01,+1.57079633E+00
+1.60000000E-01,+0.00000000E+00,-6.67899040E-18,+9.15476710E-01,+9.15476710E-01,+1.57079633E+00,+2.11757996E-19,+9.20818844E-01,+9.20818844E-01,+1.57079633E+00
+1.70000000E-01,+0.00000000E+00,-6.62925716E-18,+9.14461371E-01,+9.14461371E-01,+1.57079633E+00,+2.10125489E-19,+9.20284302E-01,+9.20284302E-01,+1.57079633E+00
+1.80000000E-01,+0.00000000E+00,-6.57668720E-18,+9.13385735E-01,+9.13385735E-01,+1.57079633E+00,+2.08400365E-19,+9.19718109E-01,+9.19718109E-01,+1.57079633E+00
+1.90000000E-01,+0.00000000E+00,-6.52131122E-18,+9.12250020E-01,+9.12250020E-01,+1.57079633E+00,+2.06583718E-19,+9.19120394E-01,+9.19120394E-01,+1.57079633E+00
+2.00000000E-01,+0.00000000E+00,-6.46316156E-18,+9.11054453E-01,+9.11054453E-01,+1.57079633E+00,+2.04676694E-19,+9.18491293E-01,+9.18491293E-01,+1.57079633E+00
+2.10000000E-01,+0.00000000E+00,-6.40227208E-18,+9.09799273E-01,+9.09799273E-01,+1.57079633E+00,+2.02680496E-19,+9.17830952E-01,+9.17830952E-01,+1.57079633E+00
