s1,s2,Re(r_ex.11),Im(r_ex.11),Abs(r_ex.11),Arg(r_ex.11),Re(r_ex.21),Im(r_ex.21),Abs(r_ex.21),Arg(r_ex.21),Re(r_ex.12),Im(r_ex.12),Abs(r_ex.12),Arg(r_ex.12),Re(r_ex.22),Im(r_ex.22),Abs(r_ex.22),Arg(r_ex.22)
+1.01000000E+00,+0.00000000E+00,-1.55583845E+00,-0.00000000E+00,+1.55583845E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+7.99604250E-01,-0.00000000E+00,+7.99604250E-01,-0.00000000E+00
+1.02000000E+00,+0.00000000E+00,-1.90064313E+00,-0.00000000E+00,+1.90064313E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+7.27998724E-01,-0.00000000E+00,+7.27998724E-01,-0.00000000E+00
+1.03000000E+00,+0.00000000E+00,-2.24642007E+00,-0.00000000E+00,+2.24642007E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+6.76880531E-01,-0.00000000E+00,+6.76880531E-01,-0.00000000E+00
+1.04000000E+00,+0.00000000E+00,-2.62071532E+00,-0.00000000E+00,+2.62071532E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+6.36145927E-01,-0.00000000E+00,+6.36145927E-01,-0.00000000E+00
+1.05000000E+00,+0.00000000E+00,-3.04313182E+00,-0.00000000E+00,+3.04313182E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+6.01925397E-01,-0.00000000E+00,+6.01925397E-01,-0.00000000E+00
+1.06000000E+00,+0.00000000E+00,-3.53510126E+00,-0.00000000E+00,+3.53510126E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+5.72254908E-01,-0.00000000E+00,+5.72254908E-01,-0.00000000E+00
+1.07000000E+00,+0.00000000E+00,-4.12487303E+00,-0.00000000E+00,+4.12487303E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+5.45979129E-01,-0.00000000E+00,+5.45979129E-01,-0.00000000E+00
+1.08000000E+00,+0.00000000E+00,-4.85354242E+00,-0.00000000E+00,+4.85354242E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+5.22352327E-01,-0.00000000E+00,+5.22352327E-01,-0.00000000E+00
+1.09000000E+00,+0.00000000E+00,-5.78539342E+00,-0.00000000E+00,+5.78539342E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+5.00861167E-01,-0.00000000E+00,+5.00861167E-01,-0.00000000E+00
+1.10000000E+00,+0.00000000E+00,-7.02853322E+00,-0.00000000E+00,+7.02853322E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+4.81135132E-01,-0.00000000E+00,+4.81135132E-01,-0.00000000E+00
+1.11000000E+00,+0.00000000E+00,-8.78127237E+00,-0.00000000E+00,+8.78127237E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+4.62896856E-01,-0.00000000E+00,+4.62896856E-01,-0.00000000E+00
+1.12000000E+00,+0.00000000E+00,-1.14523585E+01,-0.00000000E+00,+1.14523585E+01,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+4.45932602E-01,-0.00000000E+00,+4.45932602E-01,-0.00000000E+00
+1.13000000E+00,+0.00000000E+00,-1.60425312E+01,-0.00000000E+00,+1.60425312E+01,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+4.30073734E-01,-0.00000000E+00,+4.30073734E-01,-0.00000000E+00
+1.14000000E+00,+0.00000000E+00,-2.58272813E+01,-0.00000000E+00,+2.58272813E+01,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+4.15184568E-01,-0.00000000E+00,+4.15184568E-01,-0.00000000E+00
