s1,s2,Re(r_ibc3.11),Im(r_ibc3.11),Abs(r_ibc3.11),Arg(r_ibc3.11),Re(r_ibc3.21),Im(r_ibc3.21),Abs(r_ibc3.21),Arg(r_ibc3.21),Re(r_ibc3.12),Im(r_ibc3.12),Abs(r_ibc3.12),Arg(r_ibc3.12),Re(r_ibc3.22),Im(r_ibc3.22),Abs(r_ibc3.22),Arg(r_ibc3.22)
+1.01000000E+00,+0.00000000E+00,-1.55579649E+00,-2.90638786E-18,+1.55579649E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+7.99619537E-01,+1.77442115E-19,+7.99619537E-01,+2.21908178E-19
+1.02000000E+00,+0.00000000E+00,-1.90056710E+00,-4.95842864E-18,+1.90056710E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+7.28016601E-01,+1.78459096E-19,+7.28016601E-01,+2.45130530E-19
+1.03000000E+00,+0.00000000E+00,-2.24630505E+00,-7.09228577E-18,+2.24630505E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+6.76898853E-01,+1.47260756E-19,+6.76898853E-01,+2.17552084E-19
+1.04000000E+00,+0.00000000E+00,-2.62055381E+00,-9.44865912E-18,+2.62055381E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+6.36163629E-01,+1.00266569E-19,+6.36163629E-01,+1.57611288E-19
+1.05000000E+00,+0.00000000E+00,-3.04291375E+00,-1.21463686E-17,+3.04291375E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+6.01941850E-01,+4.44570973E-20,+6.01941850E-01,+7.38561329E-20
+1.06000000E+00,+0.00000000E+00,-3.53481312E+00,-1.53317022E-17,+3.53481312E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+5.72269713E-01,-1.63032872E-20,+5.72269713E-01,-2.84888171E-20
+1.07000000E+00,+0.00000000E+00,-4.12449631E+00,-1.92135978E-17,+4.12449631E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+5.45992027E-01,-7.95604070E-20,+5.45992027E-01,-1.45717159E-19
+1.08000000E+00,+0.00000000E+00,-4.85305084E+00,-2.41166061E-17,+4.85305084E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+5.22363153E-01,-1.43615676E-19,+5.22363153E-01,-2.74934546E-19
+1.09000000E+00,+0.00000000E+00,-5.78474786E+00,-3.05824141E-17,+5.78474786E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+5.00869824E-01,-2.07221423E-19,+5.00869824E-01,-4.13723114E-19
+1.10000000E+00,+0.00000000E+00,-7.02767166E+00,-3.95904648E-17,+7.02767166E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+4.81141572E-01,-2.69420138E-19,+4.81141572E-01,-5.59960215E-19
+1.11000000E+00,+0.00000000E+00,-8.78008779E+00,-5.31014709E-17,+8.78008779E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+4.62901071E-01,-3.29451777E-19,+4.62901071E-01,-7.11710985E-19
+1.12000000E+00,+0.00000000E+00,-1.14506424E+01,-7.56338923E-17,+1.14506424E+01,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+4.45934613E-01,-3.86696629E-19,+4.45934613E-01,-8.67159932E-19
+1.13000000E+00,+0.00000000E+00,-1.60397935E+01,-1.20068692E-16,+1.60397935E+01,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+4.30073588E-01,-4.40638227E-19,+4.30073588E-01,-1.02456472E-18
+1.14000000E+00,+0.00000000E+00,-2.58219126E+01,-2.39503367E-16,+2.58219126E+01,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+4.15182333E-01,-4.90838252E-19,+4.15182333E-01,-1.18222336E-18
+1.15000000E+00,+0.00000000E+00,-6.13177075E+01,-9.58840035E-16,+6.13177075E+01,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+4.01149869E-01,-5.36918965E-19,+4.01149869E-01,-1.33844981E-18
+1.16000000E+00,+0.00000000E+00,+1.98087928E+02,-6.07048529E-15,+1.98087928E+02,-3.06454076E-17,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+3.87884120E-01,-5.78550538E-19,+3.87884120E-01,-1.49155510E-18
+1.17000000E+00,+0.00000000E+00,+3.92795315E+01,-9.05910504E-17,+3.92795315E+01,-2.30631698E-18,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+3.75307747E-01,-6.15441718E-19,+3.75307747E-01,-1.63983217E-18
+1.18000000E+00,+0.00000000E+00,+2.22127788E+01,+1.60670215E-17,+2.22127788E+01,+7.23323346E-19,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+3.63355088E-01,-6.47332783E-19,+3.63355088E-01,-1.78154319E-18
+1.19000000E+00,+0.00000000E+00,+1.56709874E+01,+2.91745019E-17,+1.56709874E+01,+1.86168881E-18,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+3.51969865E-01,-6.73990138E-19,+3.51969865E-01,-1.91490865E-18
