s1,s2,Re(z_ex.11),Im(z_ex.11),Abs(z_ex.11),Arg(z_ex.11),Re(z_ex.21),Im(z_ex.21),Abs(z_ex.21),Arg(z_ex.21),Re(z_ex.12),Im(z_ex.12),Abs(z_ex.12),Arg(z_ex.12),Re(z_ex.22),Im(z_ex.22),Abs(z_ex.22),Arg(z_ex.22)
+1.01000000E+00,+0.00000000E+00,+0.00000000E+00,+6.51902790E-01,+6.51902790E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.85440820E-01,+7.85440820E-01,+1.57079633E+00
+1.02000000E+00,+0.00000000E+00,+0.00000000E+00,+6.47339699E-01,+6.47339699E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.83135373E-01,+7.83135373E-01,+1.57079633E+00
+1.03000000E+00,+0.00000000E+00,+0.00000000E+00,+6.42760125E-01,+6.42760125E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.80822569E-01,+7.80822569E-01,+1.57079633E+00
+1.04000000E+00,+0.00000000E+00,+0.00000000E+00,+6.38164618E-01,+6.38164618E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.78502705E-01,+7.78502705E-01,+1.57079633E+00
+1.05000000E+00,+0.00000000E+00,+0.00000000E+00,+6.33553721E-01,+6.33553721E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.76176075E-01,+7.76176075E-01,+1.57079633E+00
+1.06000000E+00,+0.00000000E+00,+0.00000000E+00,+6.28927975E-01,+6.28927975E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.73842968E-01,+7.73842968E-01,+1.57079633E+00
+1.07000000E+00,+0.00000000E+00,+0.00000000E+00,+6.24287913E-01,+6.24287913E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.71503673E-01,+7.71503673E-01,+1.57079633E+00
+1.08000000E+00,+0.00000000E+00,+0.00000000E+00,+6.19634067E-01,+6.19634067E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.69158474E-01,+7.69158474E-01,+1.57079633E+00
+1.09000000E+00,+0.00000000E+00,+0.00000000E+00,+6.14966960E-01,+6.14966960E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.66807656E-01,+7.66807656E-01,+1.57079633E+00
+1.10000000E+00,+0.00000000E+00,+0.00000000E+00,+6.10287111E-01,+6.10287111E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.64451496E-01,+7.64451496E-01,+1.57079633E+00
