s1,s2,Re(z_ibc3.11),Im(z_ibc3.11),Abs(z_ibc3.11),Arg(z_ibc3.11),Re(z_ibc3.21),Im(z_ibc3.21),Abs(z_ibc3.21),Arg(z_ibc3.21),Re(z_ibc3.12),Im(z_ibc3.12),Abs(z_ibc3.12),Arg(z_ibc3.12),Re(z_ibc3.22),Im(z_ibc3.22),Abs(z_ibc3.22),Arg(z_ibc3.22)
+1.01000000E+00,+0.00000000E+00,+2.66777993E-18,+6.51941310E-01,+6.51941310E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.72907058E-19,+7.85374231E-01,+7.85374231E-01,+1.57079633E+00
+1.02000000E+00,+0.00000000E+00,+2.45772104E-18,+6.47377380E-01,+6.47377380E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+5.94678421E-19,+7.83075803E-01,+7.83075803E-01,+1.57079633E+00
+1.03000000E+00,+0.00000000E+00,+2.25359650E-18,+6.42796671E-01,+6.42796671E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+4.24418827E-19,+7.80769763E-01,+7.80769763E-01,+1.57079633E+00
+1.04000000E+00,+0.00000000E+00,+2.05550407E-18,+6.38199749E-01,+6.38199749E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.62233156E-19,+7.78456406E-01,+7.78456406E-01,+1.57079633E+00
+1.05000000E+00,+0.00000000E+00,+1.86353828E-18,+6.33587174E-01,+6.33587174E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.08222029E-19,+7.76136022E-01,+7.76136022E-01,+1.57079633E+00
+1.06000000E+00,+0.00000000E+00,+1.67779042E-18,+6.28959503E-01,+6.28959503E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-3.75181868E-20,+7.73808898E-01,+7.73808898E-01,+1.57079633E+00
+1.07000000E+00,+0.00000000E+00,+1.49834854E-18,+6.24317288E-01,+6.24317288E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.74895365E-19,+7.71475321E-01,+7.71475321E-01,+1.57079633E+00
+1.08000000E+00,+0.00000000E+00,+1.32529746E-18,+6.19661078E-01,+6.19661078E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-3.03821605E-19,+7.69135573E-01,+7.69135573E-01,+1.57079633E+00
+1.09000000E+00,+0.00000000E+00,+1.15871878E-18,+6.14991416E-01,+6.14991416E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-4.24213219E-19,+7.66789935E-01,+7.66789935E-01,+1.57079633E+00
+1.10000000E+00,+0.00000000E+00,+9.98690844E-19,+6.10308841E-01,+6.10308841E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-5.35990706E-19,+7.64438684E-01,+7.64438684E-01,+1.57079633E+00
