s1,s2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+0.00000000E+00,+0.00000000E+00,-7.42618315E-01,+6.69714894E-01,+1.00000000E+00,+2.40776785E+00,-7.42618315E-01,+6.69714894E-01,+1.00000000E+00,+2.40776785E+00
+5.00000000E-03,+0.00000000E+00,-7.42624623E-01,+6.69707898E-01,+1.00000000E+00,+2.40777727E+00,-7.42627426E-01,+6.69704790E-01,+1.00000000E+00,+2.40778146E+00
+1.00000000E-02,+0.00000000E+00,-7.42643550E-01,+6.69686910E-01,+1.00000000E+00,+2.40780553E+00,-7.42654761E-01,+6.69674477E-01,+1.00000000E+00,+2.40782228E+00
+1.50000000E-02,+0.00000000E+00,-7.42675097E-01,+6.69651925E-01,+1.00000000E+00,+2.40785264E+00,-7.42700319E-01,+6.69623951E-01,+1.00000000E+00,+2.40789031E+00
+2.00000000E-02,+0.00000000E+00,-7.42719268E-01,+6.69602934E-01,+1.00000000E+00,+2.40791861E+00,-7.42764101E-01,+6.69553202E-01,+1.00000000E+00,+2.40798556E+00
+2.50000000E-02,+0.00000000E+00,-7.42776069E-01,+6.69539925E-01,+1.00000000E+00,+2.40800344E+00,-7.42846106E-01,+6.69462219E-01,+1.00000000E+00,+2.40810805E+00
+3.00000000E-02,+0.00000000E+00,-7.42845506E-01,+6.69462884E-01,+1.00000000E+00,+2.40810715E+00,-7.42946335E-01,+6.69350986E-01,+1.00000000E+00,+2.40825778E+00
+3.50000000E-02,+0.00000000E+00,-7.42927589E-01,+6.69371793E-01,+1.00000000E+00,+2.40822977E+00,-7.43064788E-01,+6.69219486E-01,+1.00000000E+00,+2.40843476E+00
+4.00000000E-02,+0.00000000E+00,-7.43022326E-01,+6.69266631E-01,+1.00000000E+00,+2.40837131E+00,-7.43201465E-01,+6.69067697E-01,+1.00000000E+00,+2.40863902E+00
+4.50000000E-02,+0.00000000E+00,-7.43129730E-01,+6.69147371E-01,+1.00000000E+00,+2.40853181E+00,-7.43356365E-01,+6.68895593E-01,+1.00000000E+00,+2.40887056E+00
+5.00000000E-02,+0.00000000E+00,-7.43249814E-01,+6.69013987E-01,+1.00000000E+00,+2.40871128E+00,-7.43529491E-01,+6.68703145E-01,+1.00000000E+00,+2.40912942E+00
+5.50000000E-02,+0.00000000E+00,-7.43382592E-01,+6.68866446E-01,+1.00000000E+00,+2.40890977E+00,-7.43720841E-01,+6.68490322E-01,+1.00000000E+00,+2.40941562E+00
+6.00000000E-02,+0.00000000E+00,-7.43528080E-01,+6.68704714E-01,+1.00000000E+00,+2.40912732E+00,-7.43930416E-01,+6.68257089E-01,+1.00000000E+00,+2.40972918E+00
+6.50000000E-02,+0.00000000E+00,-7.43686297E-01,+6.68528752E-01,+1.00000000E+00,+2.40936395E+00,-7.44158216E-01,+6.68003405E-01,+1.00000000E+00,+2.41007013E+00
+7.00000000E-02,+0.00000000E+00,-7.43857262E-01,+6.68338518E-01,+1.00000000E+00,+2.40961972E+00,-7.44404242E-01,+6.67729230E-01,+1.00000000E+00,+2.41043851E+00
+7.50000000E-02,+0.00000000E+00,-7.44040995E-01,+6.68133967E-01,+1.00000000E+00,+2.40989467E+00,-7.44668494E-01,+6.67434517E-01,+1.00000000E+00,+2.41083434E+00
+8.00000000E-02,+0.00000000E+00,-7.44237520E-01,+6.67915050E-01,+1.00000000E+00,+2.41018886E+00,-7.44950972E-01,+6.67119217E-01,+1.00000000E+00,+2.41125767E+00
+8.50000000E-02,+0.00000000E+00,-7.44446860E-01,+6.67681715E-01,+1.00000000E+00,+2.41050234E+00,-7.45251677E-01,+6.66783277E-01,+1.00000000E+00,+2.41170854E+00
+9.00000000E-02,+0.00000000E+00,-7.44669041E-01,+6.67433907E-01,+1.00000000E+00,+2.41083516E+00,-7.45570609E-01,+6.66426640E-01,+1.00000000E+00,+2.41218698E+00
+9.50000000E-02,+0.00000000E+00,-7.44904090E-01,+6.67171565E-01,+1.00000000E+00,+2.41118740E+00,-7.45907768E-01,+6.66049248E-01,+1.00000000E+00,+2.41269304E+00
+1.00000000E-01,+0.00000000E+00,-7.45152037E-01,+6.66894626E-01,+1.00000000E+00,+2.41155912E+00,-7.46263155E-01,+6.65651037E-01,+1.00000000E+00,+2.41322678E+00
+1.05000000E-01,+0.00000000E+00,-7.45412912E-01,+6.66603024E-01,+1.00000000E+00,+2.41195038E+00,-7.46636770E-01,+6.65231939E-01,+1.00000000E+00,+2.41378823E+00
+1.10000000E-01,+0.00000000E+00,-7.45686746E-01,+6.66296688E-01,+1.00000000E+00,+2.41236127E+00,-7.47028614E-01,+6.64791885E-01,+1.00000000E+00,+2.41437746E+00
+1.15000000E-01,+0.00000000E+00,-7.45973575E-01,+6.65975544E-01,+1.00000000E+00,+2.41279185E+00,-7.47438687E-01,+6.64330798E-01,+1.00000000E+00,+2.41499452E+00
+1.20000000E-01,+0.00000000E+00,-7.46273433E-01,+6.65639514E-01,+1.00000000E+00,+2.41324222E+00,-7.47866988E-01,+6.63848603E-01,+1.00000000E+00,+2.41563946E+00
+1.25000000E-01,+0.00000000E+00,-7.46586358E-01,+6.65288516E-01,+1.00000000E+00,+2.41371245E+00,-7.48313520E-01,+6.63345216E-01,+1.00000000E+00,+2.41631236E+00
+1.30000000E-01,+0.00000000E+00,-7.46912388E-01,+6.64922465E-01,+1.00000000E+00,+2.41420265E+00,-7.48778281E-01,+6.62820553E-01,+1.00000000E+00,+2.41701327E+00
+1.35000000E-01,+0.00000000E+00,-7.47251564E-01,+6.64541270E-01,+1.00000000E+00,+2.41471289E+00,-7.49261272E-01,+6.62274525E-01,+1.00000000E+00,+2.41774226E+00
+1.40000000E-01,+0.00000000E+00,-7.47603929E-01,+6.64144838E-01,+1.00000000E+00,+2.41524329E+00,-7.49762494E-01,+6.61707037E-01,+1.00000000E+00,+2.41849940E+00
+1.45000000E-01,+0.00000000E+00,-7.47969525E-01,+6.63733071E-01,+1.00000000E+00,+2.41579394E+00,-7.50281946E-01,+6.61117993E-01,+1.00000000E+00,+2.41928477E+00
+1.50000000E-01,+0.00000000E+00,-7.48348399E-01,+6.63305867E-01,+1.00000000E+00,+2.41636494E+00,-7.50819629E-01,+6.60507293E-01,+1.00000000E+00,+2.42009844E+00
+1.55000000E-01,+0.00000000E+00,-7.48740598E-01,+6.62863121E-01,+1.00000000E+00,+2.41695642E+00,-7.51375543E-01,+6.59874831E-01,+1.00000000E+00,+2.42094049E+00
+1.60000000E-01,+0.00000000E+00,-7.49146172E-01,+6.62404720E-01,+1.00000000E+00,+2.41756848E+00,-7.51949688E-01,+6.59220499E-01,+1.00000000E+00,+2.42181100E+00
+1.65000000E-01,+0.00000000E+00,-7.49565170E-01,+6.61930552E-01,+1.00000000E+00,+2.41820125E+00,-7.52542064E-01,+6.58544183E-01,+1.00000000E+00,+2.42271007E+00
+1.70000000E-01,+0.00000000E+00,-7.49997646E-01,+6.61440497E-01,+1.00000000E+00,+2.41885485E+00,-7.53152671E-01,+6.57845768E-01,+1.00000000E+00,+2.42363777E+00
+1.75000000E-01,+0.00000000E+00,-7.50443655E-01,+6.60934430E-01,+1.00000000E+00,+2.41952940E+00,-7.53781509E-01,+6.57125130E-01,+1.00000000E+00,+2.42459419E+00
+1.80000000E-01,+0.00000000E+00,-7.50903252E-01,+6.60412224E-01,+1.00000000E+00,+2.42022505E+00,-7.54428577E-01,+6.56382146E-01,+1.00000000E+00,+2.42557945E+00
+1.85000000E-01,+0.00000000E+00,-7.51376496E-01,+6.59873746E-01,+1.00000000E+00,+2.42094193E+00,-7.55093876E-01,+6.55616686E-01,+1.00000000E+00,+2.42659362E+00
+1.90000000E-01,+0.00000000E+00,-7.51863447E-01,+6.59318859E-01,+1.00000000E+00,+2.42168019E+00,-7.55777404E-01,+6.54828615E-01,+1.00000000E+00,+2.42763682E+00
+1.95000000E-01,+0.00000000E+00,-7.52364166E-01,+6.58747419E-01,+1.00000000E+00,+2.42243997E+00,-7.56479162E-01,+6.54017796E-01,+1.00000000E+00,+2.42870915E+00
+2.00000000E-01,+0.00000000E+00,-7.52878717E-01,+6.58159279E-01,+1.00000000E+00,+2.42322142E+00,-7.57199149E-01,+6.53184085E-01,+1.00000000E+00,+2.42981072E+00
+2.05000000E-01,+0.00000000E+00,-7.53407167E-01,+6.57554288E-01,+1.00000000E+00,+2.42402471E+00,-7.57937364E-01,+6.52327335E-01,+1.00000000E+00,+2.43094164E+00
