s1,s2,Re(r_ibc3.tm),Im(r_ibc3.tm),Abs(r_ibc3.tm),Arg(r_ibc3.tm),Re(r_ibc3.te),Im(r_ibc3.te),Abs(r_ibc3.te),Arg(r_ibc3.te)
+0.00000000E+00,+0.00000000E+00,-7.49533310E-01,-6.61966628E-01,+1.00000000E+00,-2.41815312E+00,-7.49533310E-01,-6.61966628E-01,+1.00000000E+00,-2.41815312E+00
+5.00000000E-03,+0.00000000E+00,-7.49549702E-01,-6.61948068E-01,+1.00000000E+00,-2.41817788E+00,-7.49542069E-01,-6.61956711E-01,+1.00000000E+00,-2.41816635E+00
+1.00000000E-02,+0.00000000E+00,-7.49598874E-01,-6.61892384E-01,+1.00000000E+00,-2.41825217E+00,-7.49568345E-01,-6.61926957E-01,+1.00000000E+00,-2.41820605E+00
+1.50000000E-02,+0.00000000E+00,-7.49680821E-01,-6.61799566E-01,+1.00000000E+00,-2.41837598E+00,-7.49612139E-01,-6.61877361E-01,+1.00000000E+00,-2.41827221E+00
+2.00000000E-02,+0.00000000E+00,-7.49795531E-01,-6.61669602E-01,+1.00000000E+00,-2.41854933E+00,-7.49673450E-01,-6.61807916E-01,+1.00000000E+00,-2.41836485E+00
+2.50000000E-02,+0.00000000E+00,-7.49942986E-01,-6.61502469E-01,+1.00000000E+00,-2.41877221E+00,-7.49752281E-01,-6.61718609E-01,+1.00000000E+00,-2.41848397E+00
+3.00000000E-02,+0.00000000E+00,-7.50123168E-01,-6.61298143E-01,+1.00000000E+00,-2.41904464E+00,-7.49848630E-01,-6.61609426E-01,+1.00000000E+00,-2.41862959E+00
+3.50000000E-02,+0.00000000E+00,-7.50336049E-01,-6.61056589E-01,+1.00000000E+00,-2.41936661E+00,-7.49962498E-01,-6.61480348E-01,+1.00000000E+00,-2.41880171E+00
+4.00000000E-02,+0.00000000E+00,-7.50581600E-01,-6.60777771E-01,+1.00000000E+00,-2.41973814E+00,-7.50093888E-01,-6.61331354E-01,+1.00000000E+00,-2.41900036E+00
+4.50000000E-02,+0.00000000E+00,-7.50859785E-01,-6.60461644E-01,+1.00000000E+00,-2.42015924E+00,-7.50242798E-01,-6.61162419E-01,+1.00000000E+00,-2.41922556E+00
