s1,s2,Re(r_ibc3.tm),Im(r_ibc3.tm),Abs(r_ibc3.tm),Arg(r_ibc3.tm),Re(r_ibc3.te),Im(r_ibc3.te),Abs(r_ibc3.te),Arg(r_ibc3.te)
+0.00000000E+00,+0.00000000E+00,-8.88508066E-01,-4.58860998E-01,+1.00000000E+00,-2.66487981E+00,-8.88508066E-01,-4.58860998E-01,+1.00000000E+00,-2.66487981E+00
+5.00000000E-03,+0.00000000E+00,-8.88495546E-01,-4.58885242E-01,+1.00000000E+00,-2.66485252E+00,-8.88481642E-01,-4.58912162E-01,+1.00000000E+00,-2.66482222E+00
+1.00000000E-02,+0.00000000E+00,-8.88457976E-01,-4.58957977E-01,+1.00000000E+00,-2.66477065E+00,-8.88402330E-01,-4.59065682E-01,+1.00000000E+00,-2.66464942E+00
+1.50000000E-02,+0.00000000E+00,-8.88395337E-01,-4.59079214E-01,+1.00000000E+00,-2.66463419E+00,-8.88270020E-01,-4.59321642E-01,+1.00000000E+00,-2.66436129E+00
+2.00000000E-02,+0.00000000E+00,-8.88307595E-01,-4.59248971E-01,+1.00000000E+00,-2.66444310E+00,-8.88084528E-01,-4.59680184E-01,+1.00000000E+00,-2.66395761E+00
+2.50000000E-02,+0.00000000E+00,-8.88194701E-01,-4.59467270E-01,+1.00000000E+00,-2.66419734E+00,-8.87845592E-01,-4.60141505E-01,+1.00000000E+00,-2.66343808E+00
+3.00000000E-02,+0.00000000E+00,-8.88056595E-01,-4.59734145E-01,+1.00000000E+00,-2.66389684E+00,-8.87552878E-01,-4.60705860E-01,+1.00000000E+00,-2.66280233E+00
+3.50000000E-02,+0.00000000E+00,-8.87893200E-01,-4.60049634E-01,+1.00000000E+00,-2.66354155E+00,-8.87205973E-01,-4.61373559E-01,+1.00000000E+00,-2.66204989E+00
+4.00000000E-02,+0.00000000E+00,-8.87704427E-01,-4.60413782E-01,+1.00000000E+00,-2.66313139E+00,-8.86804390E-01,-4.62144971E-01,+1.00000000E+00,-2.66118021E+00
+4.50000000E-02,+0.00000000E+00,-8.87490173E-01,-4.60826641E-01,+1.00000000E+00,-2.66266624E+00,-8.86347560E-01,-4.63020521E-01,+1.00000000E+00,-2.66019265E+00
+5.00000000E-02,+0.00000000E+00,-8.87250320E-01,-4.61288271E-01,+1.00000000E+00,-2.66214602E+00,-8.85834837E-01,-4.64000691E-01,+1.00000000E+00,-2.65908647E+00
+5.50000000E-02,+0.00000000E+00,-8.86984737E-01,-4.61798739E-01,+1.00000000E+00,-2.66157060E+00,-8.85265494E-01,-4.65086020E-01,+1.00000000E+00,-2.65786088E+00
+6.00000000E-02,+0.00000000E+00,-8.86693279E-01,-4.62358118E-01,+1.00000000E+00,-2.66093984E+00,-8.84638717E-01,-4.66277106E-01,+1.00000000E+00,-2.65651494E+00
+6.50000000E-02,+0.00000000E+00,-8.86375784E-01,-4.62966489E-01,+1.00000000E+00,-2.66025361E+00,-8.83953613E-01,-4.67574604E-01,+1.00000000E+00,-2.65504768E+00
+7.00000000E-02,+0.00000000E+00,-8.86032078E-01,-4.63623939E-01,+1.00000000E+00,-2.65951174E+00,-8.83209196E-01,-4.68979228E-01,+1.00000000E+00,-2.65345798E+00
+7.50000000E-02,+0.00000000E+00,-8.85661972E-01,-4.64330562E-01,+1.00000000E+00,-2.65871405E+00,-8.82404394E-01,-4.70491748E-01,+1.00000000E+00,-2.65174468E+00
+8.00000000E-02,+0.00000000E+00,-8.85265261E-01,-4.65086462E-01,+1.00000000E+00,-2.65786038E+00,-8.81538042E-01,-4.72112996E-01,+1.00000000E+00,-2.64990647E+00
+8.50000000E-02,+0.00000000E+00,-8.84841726E-01,-4.65891747E-01,+1.00000000E+00,-2.65695051E+00,-8.80608878E-01,-4.73843861E-01,+1.00000000E+00,-2.64794197E+00
+9.00000000E-02,+0.00000000E+00,-8.84391133E-01,-4.66746532E-01,+1.00000000E+00,-2.65598423E+00,-8.79615544E-01,-4.75685290E-01,+1.00000000E+00,-2.64584971E+00
+9.50000000E-02,+0.00000000E+00,-8.83913230E-01,-4.67650940E-01,+1.00000000E+00,-2.65496132E+00,-8.78556579E-01,-4.77638291E-01,+1.00000000E+00,-2.64362808E+00
+1.00000000E-01,+0.00000000E+00,-8.83407753E-01,-4.68605103E-01,+1.00000000E+00,-2.65388153E+00,-8.77430418E-01,-4.79703931E-01,+1.00000000E+00,-2.64127540E+00
+1.05000000E-01,+0.00000000E+00,-8.82874419E-01,-4.69609157E-01,+1.00000000E+00,-2.65274462E+00,-8.76235384E-01,-4.81883338E-01,+1.00000000E+00,-2.63878986E+00
+1.10000000E-01,+0.00000000E+00,-8.82312931E-01,-4.70663247E-01,+1.00000000E+00,-2.65155031E+00,-8.74969690E-01,-4.84177697E-01,+1.00000000E+00,-2.63616954E+00
+1.15000000E-01,+0.00000000E+00,-8.81722974E-01,-4.71767524E-01,+1.00000000E+00,-2.65029832E+00,-8.73631427E-01,-4.86588255E-01,+1.00000000E+00,-2.63341241E+00
+1.20000000E-01,+0.00000000E+00,-8.81104218E-01,-4.72922148E-01,+1.00000000E+00,-2.64898836E+00,-8.72218566E-01,-4.89116319E-01,+1.00000000E+00,-2.63051633E+00
+1.25000000E-01,+0.00000000E+00,-8.80456313E-01,-4.74127284E-01,+1.00000000E+00,-2.64762010E+00,-8.70728948E-01,-4.91763255E-01,+1.00000000E+00,-2.62747902E+00
+1.30000000E-01,+0.00000000E+00,-8.79778894E-01,-4.75383105E-01,+1.00000000E+00,-2.64619322E+00,-8.69160281E-01,-4.94530490E-01,+1.00000000E+00,-2.62429809E+00
+1.35000000E-01,+0.00000000E+00,-8.79071579E-01,-4.76689793E-01,+1.00000000E+00,-2.64470737E+00,-8.67510133E-01,-4.97419510E-01,+1.00000000E+00,-2.62097102E+00
+1.40000000E-01,+0.00000000E+00,-8.78333965E-01,-4.78047534E-01,+1.00000000E+00,-2.64316221E+00,-8.65775926E-01,-5.00431860E-01,+1.00000000E+00,-2.61749514E+00
+1.45000000E-01,+0.00000000E+00,-8.77565633E-01,-4.79456525E-01,+1.00000000E+00,-2.64155734E+00,-8.63954927E-01,-5.03569146E-01,+1.00000000E+00,-2.61386766E+00
+1.50000000E-01,+0.00000000E+00,-8.76766145E-01,-4.80916965E-01,+1.00000000E+00,-2.63989239E+00,-8.62044245E-01,-5.06833030E-01,+1.00000000E+00,-2.61008564E+00
+1.55000000E-01,+0.00000000E+00,-8.75935041E-01,-4.82429067E-01,+1.00000000E+00,-2.63816694E+00,-8.60040820E-01,-5.10225233E-01,+1.00000000E+00,-2.60614600E+00
+1.60000000E-01,+0.00000000E+00,-8.75071844E-01,-4.83993045E-01,+1.00000000E+00,-2.63638056E+00,-8.57941416E-01,-5.13747532E-01,+1.00000000E+00,-2.60204550E+00
+1.65000000E-01,+0.00000000E+00,-8.74176057E-01,-4.85609124E-01,+1.00000000E+00,-2.63453282E+00,-8.55742612E-01,-5.17401760E-01,+1.00000000E+00,-2.59778074E+00
+1.70000000E-01,+0.00000000E+00,-8.73247161E-01,-4.87277535E-01,+1.00000000E+00,-2.63262326E+00,-8.53440792E-01,-5.21189806E-01,+1.00000000E+00,-2.59334817E+00
+1.75000000E-01,+0.00000000E+00,-8.72284616E-01,-4.88998517E-01,+1.00000000E+00,-2.63065139E+00,-8.51032137E-01,-5.25113609E-01,+1.00000000E+00,-2.58874405E+00
+1.80000000E-01,+0.00000000E+00,-8.71287860E-01,-4.90772315E-01,+1.00000000E+00,-2.62861672E+00,-8.48512611E-01,-5.29175160E-01,+1.00000000E+00,-2.58396448E+00
+1.85000000E-01,+0.00000000E+00,-8.70256310E-01,-4.92599182E-01,+1.00000000E+00,-2.62651873E+00,-8.45877954E-01,-5.33376497E-01,+1.00000000E+00,-2.57900538E+00
+1.90000000E-01,+0.00000000E+00,-8.69189360E-01,-4.94479379E-01,+1.00000000E+00,-2.62435690E+00,-8.43123668E-01,-5.37719705E-01,+1.00000000E+00,-2.57386246E+00
+1.95000000E-01,+0.00000000E+00,-8.68086380E-01,-4.96413172E-01,+1.00000000E+00,-2.62213066E+00,-8.40245004E-01,-5.42206911E-01,+1.00000000E+00,-2.56853125E+00
+2.00000000E-01,+0.00000000E+00,-8.66946714E-01,-4.98400837E-01,+1.00000000E+00,-2.61983945E+00,-8.37236949E-01,-5.46840280E-01,+1.00000000E+00,-2.56300707E+00
+2.05000000E-01,+0.00000000E+00,-8.65769686E-01,-5.00442655E-01,+1.00000000E+00,-2.61748267E+00,-8.34094213E-01,-5.51622011E-01,+1.00000000E+00,-2.55728503E+00
+2.10000000E-01,+0.00000000E+00,-8.64554589E-01,-5.02538916E-01,+1.00000000E+00,-2.61505970E+00,-8.30811214E-01,-5.56554335E-01,+1.00000000E+00,-2.55135999E+00
