s1,s2,Re(r_ibc3_reduced.tm),Im(r_ibc3_reduced.tm),Abs(r_ibc3_reduced.tm),Arg(r_ibc3_reduced.tm),Re(r_ibc3_reduced.te),Im(r_ibc3_reduced.te),Abs(r_ibc3_reduced.te),Arg(r_ibc3_reduced.te)
+0.00000000E+00,+0.00000000E+00,-7.47348179E-01,+6.64432614E-01,+1.00000000E+00,+2.41485829E+00,-7.47348179E-01,+6.64432614E-01,+1.00000000E+00,+2.41485829E+00
+5.00000000E-03,+0.00000000E+00,-7.47354055E-01,+6.64426005E-01,+1.00000000E+00,+2.41486713E+00,-7.47356977E-01,+6.64422719E-01,+1.00000000E+00,+2.41487153E+00
+1.00000000E-02,+0.00000000E+00,-7.47371683E-01,+6.64406177E-01,+1.00000000E+00,+2.41489367E+00,-7.47383370E-01,+6.64393030E-01,+1.00000000E+00,+2.41491126E+00
+1.50000000E-02,+0.00000000E+00,-7.47401065E-01,+6.64373124E-01,+1.00000000E+00,+2.41493789E+00,-7.47427359E-01,+6.64343543E-01,+1.00000000E+00,+2.41497747E+00
+2.00000000E-02,+0.00000000E+00,-7.47442207E-01,+6.64326837E-01,+1.00000000E+00,+2.41499982E+00,-7.47488943E-01,+6.64274250E-01,+1.00000000E+00,+2.41507017E+00
+2.50000000E-02,+0.00000000E+00,-7.47495115E-01,+6.64267305E-01,+1.00000000E+00,+2.41507946E+00,-7.47568125E-01,+6.64185139E-01,+1.00000000E+00,+2.41518938E+00
+3.00000000E-02,+0.00000000E+00,-7.47559796E-01,+6.64194513E-01,+1.00000000E+00,+2.41517684E+00,-7.47664903E-01,+6.64076195E-01,+1.00000000E+00,+2.41533510E+00
+3.50000000E-02,+0.00000000E+00,-7.47636261E-01,+6.64108441E-01,+1.00000000E+00,+2.41529197E+00,-7.47779280E-01,+6.63947399E-01,+1.00000000E+00,+2.41550735E+00
+4.00000000E-02,+0.00000000E+00,-7.47724521E-01,+6.64009066E-01,+1.00000000E+00,+2.41542488E+00,-7.47911255E-01,+6.63798730E-01,+1.00000000E+00,+2.41570615E+00
+4.50000000E-02,+0.00000000E+00,-7.47824590E-01,+6.63896364E-01,+1.00000000E+00,+2.41557560E+00,-7.48060831E-01,+6.63630163E-01,+1.00000000E+00,+2.41593151E+00
+5.00000000E-02,+0.00000000E+00,-7.47936483E-01,+6.63770305E-01,+1.00000000E+00,+2.41574415E+00,-7.48228009E-01,+6.63441668E-01,+1.00000000E+00,+2.41618346E+00
+5.50000000E-02,+0.00000000E+00,-7.48060216E-01,+6.63630856E-01,+1.00000000E+00,+2.41593058E+00,-7.48412789E-01,+6.63233215E-01,+1.00000000E+00,+2.41646202E+00
+6.00000000E-02,+0.00000000E+00,-7.48195810E-01,+6.63477980E-01,+1.00000000E+00,+2.41613493E+00,-7.48615174E-01,+6.63004767E-01,+1.00000000E+00,+2.41676722E+00
+6.50000000E-02,+0.00000000E+00,-7.48343284E-01,+6.63311639E-01,+1.00000000E+00,+2.41635723E+00,-7.48835165E-01,+6.62756287E-01,+1.00000000E+00,+2.41709909E+00
+7.00000000E-02,+0.00000000E+00,-7.48502661E-01,+6.63131787E-01,+1.00000000E+00,+2.41659754E+00,-7.49072764E-01,+6.62487731E-01,+1.00000000E+00,+2.41745767E+00
+7.50000000E-02,+0.00000000E+00,-7.48673965E-01,+6.62938379E-01,+1.00000000E+00,+2.41685590E+00,-7.49327974E-01,+6.62199054E-01,+1.00000000E+00,+2.41784298E+00
+8.00000000E-02,+0.00000000E+00,-7.48857223E-01,+6.62731362E-01,+1.00000000E+00,+2.41713238E+00,-7.49600796E-01,+6.61890208E-01,+1.00000000E+00,+2.41825507E+00
