s1,s2,Re(z_ex.tm),Im(z_ex.tm),Abs(z_ex.tm),Arg(z_ex.tm),Re(z_ex.te),Im(z_ex.te),Abs(z_ex.te),Arg(z_ex.te)
+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.60203010E+00,+2.60203010E+00,-1.57079633E+00,+0.00000000E+00,-2.60203010E+00,+2.60203010E+00,-1.57079633E+00
+5.00000000E-03,+0.00000000E+00,+0.00000000E+00,-2.60209923E+00,+2.60209923E+00,-1.57079633E+00,+0.00000000E+00,-2.60211549E+00,+2.60211549E+00,-1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.60230663E+00,+2.60230663E+00,-1.57079633E+00,+0.00000000E+00,-2.60237169E+00,+2.60237169E+00,-1.57079633E+00
+1.50000000E-02,+0.00000000E+00,+0.00000000E+00,-2.60265238E+00,+2.60265238E+00,-1.57079633E+00,+0.00000000E+00,-2.60279879E+00,+2.60279879E+00,-1.57079633E+00
+2.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.60313660E+00,+2.60313660E+00,-1.57079633E+00,+0.00000000E+00,-2.60339694E+00,+2.60339694E+00,-1.57079633E+00
+2.50000000E-02,+0.00000000E+00,+0.00000000E+00,-2.60375948E+00,+2.60375948E+00,-1.57079633E+00,+0.00000000E+00,-2.60416638E+00,+2.60416638E+00,-1.57079633E+00
+3.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.60452123E+00,+2.60452123E+00,-1.57079633E+00,+0.00000000E+00,-2.60510737E+00,+2.60510737E+00,-1.57079633E+00
+3.50000000E-02,+0.00000000E+00,+0.00000000E+00,-2.60542212E+00,+2.60542212E+00,-1.57079633E+00,+0.00000000E+00,-2.60622028E+00,+2.60622028E+00,-1.57079633E+00
+4.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.60646250E+00,+2.60646250E+00,-1.57079633E+00,+0.00000000E+00,-2.60750550E+00,+2.60750550E+00,-1.57079633E+00
+4.50000000E-02,+0.00000000E+00,+0.00000000E+00,-2.60764273E+00,+2.60764273E+00,-1.57079633E+00,+0.00000000E+00,-2.60896352E+00,+2.60896352E+00,-1.57079633E+00
+5.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.60896324E+00,+2.60896324E+00,-1.57079633E+00,+0.00000000E+00,-2.61059487E+00,+2.61059487E+00,-1.57079633E+00
+5.50000000E-02,+0.00000000E+00,+0.00000000E+00,-2.61042452E+00,+2.61042452E+00,-1.57079633E+00,+0.00000000E+00,-2.61240015E+00,+2.61240015E+00,-1.57079633E+00
+6.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.61202709E+00,+2.61202709E+00,-1.57079633E+00,+0.00000000E+00,-2.61438004E+00,+2.61438004E+00,-1.57079633E+00
+6.50000000E-02,+0.00000000E+00,+0.00000000E+00,-2.61377155E+00,+2.61377155E+00,-1.57079633E+00,+0.00000000E+00,-2.61653527E+00,+2.61653527E+00,-1.57079633E+00
+7.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.61565853E+00,+2.61565853E+00,-1.57079633E+00,+0.00000000E+00,-2.61886664E+00,+2.61886664E+00,-1.57079633E+00
+7.50000000E-02,+0.00000000E+00,+0.00000000E+00,-2.61768872E+00,+2.61768872E+00,-1.57079633E+00,+0.00000000E+00,-2.62137502E+00,+2.62137502E+00,-1.57079633E+00
+8.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.61986287E+00,+2.61986287E+00,-1.57079633E+00,+0.00000000E+00,-2.62406136E+00,+2.62406136E+00,-1.57079633E+00
+8.50000000E-02,+0.00000000E+00,+0.00000000E+00,-2.62218178E+00,+2.62218178E+00,-1.57079633E+00,+0.00000000E+00,-2.62692667E+00,+2.62692667E+00,-1.57079633E+00
+9.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.62464631E+00,+2.62464631E+00,-1.57079633E+00,+0.00000000E+00,-2.62997201E+00,+2.62997201E+00,-1.57079633E+00
+9.50000000E-02,+0.00000000E+00,+0.00000000E+00,-2.62725739E+00,+2.62725739E+00,-1.57079633E+00,+0.00000000E+00,-2.63319854E+00,+2.63319854E+00,-1.57079633E+00
