s1,s2,Re(z_ibc3.tm),Im(z_ibc3.tm),Abs(z_ibc3.tm),Arg(z_ibc3.tm),Re(z_ibc3.te),Im(z_ibc3.te),Abs(z_ibc3.te),Arg(z_ibc3.te)
+0.00000000E+00,+0.00000000E+00,+4.69296029E-18,-2.64293279E+00,+2.64293279E+00,-1.57079633E+00,+4.69296029E-18,-2.64293279E+00,+2.64293279E+00,-1.57079633E+00
+5.00000000E-03,+0.00000000E+00,+4.69342588E-18,-2.64299862E+00,+2.64299862E+00,-1.57079633E+00,+4.69348157E-18,-2.64301866E+00,+2.64301866E+00,-1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+4.69482290E-18,-2.64319614E+00,+2.64319614E+00,-1.57079633E+00,+4.69504571E-18,-2.64327629E+00,+2.64327629E+00,-1.57079633E+00
+1.50000000E-02,+0.00000000E+00,+4.69715213E-18,-2.64352541E+00,+2.64352541E+00,-1.57079633E+00,+4.69765357E-18,-2.64370578E+00,+2.64370578E+00,-1.57079633E+00
+2.00000000E-02,+0.00000000E+00,+4.70041484E-18,-2.64398656E+00,+2.64398656E+00,-1.57079633E+00,+4.70130660E-18,-2.64430728E+00,+2.64430728E+00,-1.57079633E+00
+2.50000000E-02,+0.00000000E+00,+4.70461282E-18,-2.64457976E+00,+2.64457976E+00,-1.57079633E+00,+4.70600684E-18,-2.64508102E+00,+2.64508102E+00,-1.57079633E+00
+3.00000000E-02,+0.00000000E+00,+4.70974841E-18,-2.64530523E+00,+2.64530523E+00,-1.57079633E+00,+4.71175690E-18,-2.64602729E+00,+2.64602729E+00,-1.57079633E+00
+3.50000000E-02,+0.00000000E+00,+4.71582441E-18,-2.64616323E+00,+2.64616323E+00,-1.57079633E+00,+4.71856000E-18,-2.64714642E+00,+2.64714642E+00,-1.57079633E+00
+4.00000000E-02,+0.00000000E+00,+4.72284420E-18,-2.64715408E+00,+2.64715408E+00,-1.57079633E+00,+4.72641992E-18,-2.64843884E+00,+2.64843884E+00,-1.57079633E+00
+4.50000000E-02,+0.00000000E+00,+4.73081166E-18,-2.64827815E+00,+2.64827815E+00,-1.57079633E+00,+4.73534107E-18,-2.64990502E+00,+2.64990502E+00,-1.57079633E+00
+5.00000000E-02,+0.00000000E+00,+4.73973120E-18,-2.64953585E+00,+2.64953585E+00,-1.57079633E+00,+4.74532844E-18,-2.65154551E+00,+2.65154551E+00,-1.57079633E+00
+5.50000000E-02,+0.00000000E+00,+4.74960777E-18,-2.65092765E+00,+2.65092765E+00,-1.57079633E+00,+4.75638764E-18,-2.65336091E+00,+2.65336091E+00,-1.57079633E+00
+6.00000000E-02,+0.00000000E+00,+4.76044688E-18,-2.65245407E+00,+2.65245407E+00,-1.57079633E+00,+4.76852489E-18,-2.65535190E+00,+2.65535190E+00,-1.57079633E+00
+6.50000000E-02,+0.00000000E+00,+4.77225457E-18,-2.65411567E+00,+2.65411567E+00,-1.57079633E+00,+4.78174705E-18,-2.65751921E+00,+2.65751921E+00,-1.57079633E+00
+7.00000000E-02,+0.00000000E+00,+4.78503745E-18,-2.65591308E+00,+2.65591308E+00,-1.57079633E+00,+4.79606157E-18,-2.65986366E+00,+2.65986366E+00,-1.57079633E+00
+7.50000000E-02,+0.00000000E+00,+4.79880269E-18,-2.65784696E+00,+2.65784696E+00,-1.57079633E+00,+4.81147659E-18,-2.66238613E+00,+2.66238613E+00,-1.57079633E+00
+8.00000000E-02,+0.00000000E+00,+4.81355804E-18,-2.65991804E+00,+2.65991804E+00,-1.57079633E+00,+4.82800088E-18,-2.66508755E+00,+2.66508755E+00,-1.57079633E+00
+8.50000000E-02,+0.00000000E+00,+4.82931184E-18,-2.66212710E+00,+2.66212710E+00,-1.57079633E+00,+4.84564387E-18,-2.66796895E+00,+2.66796895E+00,-1.57079633E+00
+9.00000000E-02,+0.00000000E+00,+4.84607301E-18,-2.66447497E+00,+2.66447497E+00,-1.57079633E+00,+4.86441567E-18,-2.67103140E+00,+2.67103140E+00,-1.57079633E+00
+9.50000000E-02,+0.00000000E+00,+4.86385110E-18,-2.66696253E+00,+2.66696253E+00,-1.57079633E+00,+4.88432707E-18,-2.67427608E+00,+2.67427608E+00,-1.57079633E+00
+1.00000000E-01,+0.00000000E+00,+4.88265625E-18,-2.66959074E+00,+2.66959074E+00,-1.57079633E+00,+4.90538958E-18,-2.67770420E+00,+2.67770420E+00,-1.57079633E+00
+1.05000000E-01,+0.00000000E+00,+4.90249926E-18,-2.67236060E+00,+2.67236060E+00,-1.57079633E+00,+4.92761542E-18,-2.68131707E+00,+2.68131707E+00,-1.57079633E+00
+1.10000000E-01,+0.00000000E+00,+4.92339157E-18,-2.67527315E+00,+2.67527315E+00,-1.57079633E+00,+4.95101751E-18,-2.68511609E+00,+2.68511609E+00,-1.57079633E+00
+1.15000000E-01,+0.00000000E+00,+4.94534527E-18,-2.67832953E+00,+2.67832953E+00,-1.57079633E+00,+4.97560958E-18,-2.68910269E+00,+2.68910269E+00,-1.57079633E+00
+1.20000000E-01,+0.00000000E+00,+4.96837313E-18,-2.68153090E+00,+2.68153090E+00,-1.57079633E+00,+5.00140608E-18,-2.69327842E+00,+2.69327842E+00,-1.57079633E+00
+1.25000000E-01,+0.00000000E+00,+4.99248863E-18,-2.68487850E+00,+2.68487850E+00,-1.57079633E+00,+5.02842225E-18,-2.69764490E+00,+2.69764490E+00,-1.57079633E+00
+1.30000000E-01,+0.00000000E+00,+5.01770595E-18,-2.68837364E+00,+2.68837364E+00,-1.57079633E+00,+5.05667418E-18,-2.70220381E+00,+2.70220381E+00,-1.57079633E+00
+1.35000000E-01,+0.00000000E+00,+5.04404000E-18,-2.69201768E+00,+2.69201768E+00,-1.57079633E+00,+5.08617873E-18,-2.70695694E+00,+2.70695694E+00,-1.57079633E+00
+1.40000000E-01,+0.00000000E+00,+5.07150644E-18,-2.69581204E+00,+2.69581204E+00,-1.57079633E+00,+5.11695366E-18,-2.71190616E+00,+2.71190616E+00,-1.57079633E+00
+1.45000000E-01,+0.00000000E+00,+5.10012172E-18,-2.69975823E+00,+2.69975823E+00,-1.57079633E+00,+5.14901757E-18,-2.71705341E+00,+2.71705341E+00,-1.57079633E+00
+1.50000000E-01,+0.00000000E+00,+5.12990305E-18,-2.70385781E+00,+2.70385781E+00,-1.57079633E+00,+5.18238998E-18,-2.72240074E+00,+2.72240074E+00,-1.57079633E+00
+1.55000000E-01,+0.00000000E+00,+5.16086850E-18,-2.70811240E+00,+2.70811240E+00,-1.57079633E+00,+5.21709135E-18,-2.72795027E+00,+2.72795027E+00,-1.57079633E+00
+1.60000000E-01,+0.00000000E+00,+5.19303695E-18,-2.71252372E+00,+2.71252372E+00,-1.57079633E+00,+5.25314308E-18,-2.73370423E+00,+2.73370423E+00,-1.57079633E+00
+1.65000000E-01,+0.00000000E+00,+5.22642817E-18,-2.71709355E+00,+2.71709355E+00,-1.57079633E+00,+5.29056755E-18,-2.73966494E+00,+2.73966494E+00,-1.57079633E+00
+1.70000000E-01,+0.00000000E+00,+5.26106283E-18,-2.72182372E+00,+2.72182372E+00,-1.57079633E+00,+5.32938818E-18,-2.74583481E+00,+2.74583481E+00,-1.57079633E+00
+1.75000000E-01,+0.00000000E+00,+5.29696252E-18,-2.72671618E+00,+2.72671618E+00,-1.57079633E+00,+5.36962943E-18,-2.75221636E+00,+2.75221636E+00,-1.57079633E+00
+1.80000000E-01,+0.00000000E+00,+5.33414978E-18,-2.73177293E+00,+2.73177293E+00,-1.57079633E+00,+5.41131686E-18,-2.75881221E+00,+2.75881221E+00,-1.57079633E+00
+1.85000000E-01,+0.00000000E+00,+5.37264816E-18,-2.73699605E+00,+2.73699605E+00,-1.57079633E+00,+5.45447715E-18,-2.76562508E+00,+2.76562508E+00,-1.57079633E+00
+1.90000000E-01,+0.00000000E+00,+5.41248223E-18,-2.74238773E+00,+2.74238773E+00,-1.57079633E+00,+5.49913813E-18,-2.77265780E+00,+2.77265780E+00,-1.57079633E+00
+1.95000000E-01,+0.00000000E+00,+5.45367763E-18,-2.74795022E+00,+2.74795022E+00,-1.57079633E+00,+5.54532887E-18,-2.77991333E+00,+2.77991333E+00,-1.57079633E+00
+2.00000000E-01,+0.00000000E+00,+5.49626109E-18,-2.75368586E+00,+2.75368586E+00,-1.57079633E+00,+5.59307966E-18,-2.78739473E+00,+2.78739473E+00,-1.57079633E+00
+2.05000000E-01,+0.00000000E+00,+5.54026048E-18,-2.75959709E+00,+2.75959709E+00,-1.57079633E+00,+5.64242211E-18,-2.79510516E+00,+2.79510516E+00,-1.57079633E+00
+2.10000000E-01,+0.00000000E+00,+5.58570487E-18,-2.76568645E+00,+2.76568645E+00,-1.57079633E+00,+5.69338916E-18,-2.80304793E+00,+2.80304793E+00,-1.57079633E+00
+2.15000000E-01,+0.00000000E+00,+5.63262456E-18,-2.77195655E+00,+2.77195655E+00,-1.57079633E+00,+5.74601516E-18,-2.81122647E+00,+2.81122647E+00,-1.57079633E+00
+2.20000000E-01,+0.00000000E+00,+5.68105111E-18,-2.77841012E+00,+2.77841012E+00,-1.57079633E+00,+5.80033591E-18,-2.81964434E+00,+2.81964434E+00,-1.57079633E+00
+2.25000000E-01,+0.00000000E+00,+5.73101743E-18,-2.78504999E+00,+2.78504999E+00,-1.57079633E+00,+5.85638872E-18,-2.82830521E+00,+2.82830521E+00,-1.57079633E+00
+2.30000000E-01,+0.00000000E+00,+5.78255779E-18,-2.79187910E+00,+2.79187910E+00,-1.57079633E+00,+5.91421245E-18,-2.83721293E+00,+2.83721293E+00,-1.57079633E+00
