s1,s2,Re(z_ibc3.tm),Im(z_ibc3.tm),Abs(z_ibc3.tm),Arg(z_ibc3.tm),Re(z_ibc3.te),Im(z_ibc3.te),Abs(z_ibc3.te),Arg(z_ibc3.te)
+0.00000000E+00,+0.00000000E+00,-1.50833891E-19,-4.11564302E+00,+4.11564302E+00,-1.57079633E+00,-1.50833891E-19,-4.11564302E+00,+4.11564302E+00,-1.57079633E+00
+5.00000000E-03,+0.00000000E+00,-1.50859300E-19,-4.11534686E+00,+4.11534686E+00,-1.57079633E+00,-1.50879473E-19,-4.11517803E+00,+4.11517803E+00,-1.57079633E+00
+1.00000000E-02,+0.00000000E+00,-1.50935495E-19,-4.11445850E+00,+4.11445850E+00,-1.57079633E+00,-1.51016101E-19,-4.11378335E+00,+4.11378335E+00,-1.57079633E+00
+1.50000000E-02,+0.00000000E+00,-1.51062371E-19,-4.11297837E+00,+4.11297837E+00,-1.57079633E+00,-1.51243425E-19,-4.11145984E+00,+4.11145984E+00,-1.57079633E+00
+2.00000000E-02,+0.00000000E+00,-1.51239755E-19,-4.11090719E+00,+4.11090719E+00,-1.57079633E+00,-1.51560859E-19,-4.10820898E+00,+4.10820898E+00,-1.57079633E+00
+2.50000000E-02,+0.00000000E+00,-1.51467406E-19,-4.10824594E+00,+4.10824594E+00,-1.57079633E+00,-1.51967586E-19,-4.10403278E+00,+4.10403278E+00,-1.57079633E+00
+3.00000000E-02,+0.00000000E+00,-1.51745014E-19,-4.10499589E+00,+4.10499589E+00,-1.57079633E+00,-1.52462561E-19,-4.09893387E+00,+4.09893387E+00,-1.57079633E+00
+3.50000000E-02,+0.00000000E+00,-1.52072202E-19,-4.10115859E+00,+4.10115859E+00,-1.57079633E+00,-1.53044511E-19,-4.09291541E+00,+4.09291541E+00,-1.57079633E+00
+4.00000000E-02,+0.00000000E+00,-1.52448526E-19,-4.09673588E+00,+4.09673588E+00,-1.57079633E+00,-1.53711939E-19,-4.08598116E+00,+4.08598116E+00,-1.57079633E+00
+4.50000000E-02,+0.00000000E+00,-1.52873476E-19,-4.09172984E+00,+4.09172984E+00,-1.57079633E+00,-1.54463132E-19,-4.07813543E+00,+4.07813543E+00,-1.57079633E+00
+5.00000000E-02,+0.00000000E+00,-1.53346477E-19,-4.08614287E+00,+4.08614287E+00,-1.57079633E+00,-1.55296159E-19,-4.06938308E+00,+4.06938308E+00,-1.57079633E+00
+5.50000000E-02,+0.00000000E+00,-1.53866890E-19,-4.07997760E+00,+4.07997760E+00,-1.57079633E+00,-1.56208882E-19,-4.05972952E+00,+4.05972952E+00,-1.57079633E+00
+6.00000000E-02,+0.00000000E+00,-1.54434014E-19,-4.07323695E+00,+4.07323695E+00,-1.57079633E+00,-1.57198960E-19,-4.04918069E+00,+4.04918069E+00,-1.57079633E+00
