s1,s2,Re(z_ibc3_reduced.tm),Im(z_ibc3_reduced.tm),Abs(z_ibc3_reduced.tm),Arg(z_ibc3_reduced.tm),Re(z_ibc3_reduced.te),Im(z_ibc3_reduced.te),Abs(z_ibc3_reduced.te),Arg(z_ibc3_reduced.te)
+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.63569260E+00,+2.63569260E+00,-1.57079633E+00,+0.00000000E+00,-2.63569260E+00,+2.63569260E+00,-1.57079633E+00
+5.00000000E-03,+0.00000000E+00,+0.00000000E+00,-2.63576047E+00,+2.63576047E+00,-1.57079633E+00,+0.00000000E+00,-2.63577788E+00,+2.63577788E+00,-1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.63596412E+00,+2.63596412E+00,-1.57079633E+00,+0.00000000E+00,-2.63603377E+00,+2.63603377E+00,-1.57079633E+00
+1.50000000E-02,+0.00000000E+00,+0.00000000E+00,-2.63630361E+00,+2.63630361E+00,-1.57079633E+00,+0.00000000E+00,-2.63646034E+00,+2.63646034E+00,-1.57079633E+00
+2.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.63677908E+00,+2.63677908E+00,-1.57079633E+00,+0.00000000E+00,-2.63705777E+00,+2.63705777E+00,-1.57079633E+00
+2.50000000E-02,+0.00000000E+00,+0.00000000E+00,-2.63739069E+00,+2.63739069E+00,-1.57079633E+00,+0.00000000E+00,-2.63782627E+00,+2.63782627E+00,-1.57079633E+00
+3.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.63813867E+00,+2.63813867E+00,-1.57079633E+00,+0.00000000E+00,-2.63876612E+00,+2.63876612E+00,-1.57079633E+00
+3.50000000E-02,+0.00000000E+00,+0.00000000E+00,-2.63902330E+00,+2.63902330E+00,-1.57079633E+00,+0.00000000E+00,-2.63987767E+00,+2.63987767E+00,-1.57079633E+00
+4.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.64004491E+00,+2.64004491E+00,-1.57079633E+00,+0.00000000E+00,-2.64116133E+00,+2.64116133E+00,-1.57079633E+00
+4.50000000E-02,+0.00000000E+00,+0.00000000E+00,-2.64120387E+00,+2.64120387E+00,-1.57079633E+00,+0.00000000E+00,-2.64261758E+00,+2.64261758E+00,-1.57079633E+00
