s1,s2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+0.00000000E+00,+0.00000000E+00,+9.07917642E-01,-4.04466005E-01,+9.93935206E-01,-4.19095038E-01,+9.07917642E-01,-4.04466005E-01,+9.93935206E-01,-4.19095038E-01
+1.00000000E-02,+0.00000000E+00,+9.07915545E-01,-4.04422348E-01,+9.93915525E-01,-4.19055774E-01,+9.07926389E-01,-4.04447099E-01,+9.93935503E-01,-4.19074082E-01
+2.00000000E-02,+0.00000000E+00,+9.07909248E-01,-4.04291389E-01,+9.93856494E-01,-4.18937985E-01,+9.07952630E-01,-4.04390377E-01,+9.93936394E-01,-4.19011209E-01
+3.00000000E-02,+0.00000000E+00,+9.07898745E-01,-4.04073164E-01,+9.93758146E-01,-4.18741679E-01,+9.07996366E-01,-4.04295817E-01,+9.93937880E-01,-4.18906400E-01
+4.00000000E-02,+0.00000000E+00,+9.07884020E-01,-4.03767733E-01,+9.93620539E-01,-4.18466871E-01,+9.08057599E-01,-4.04163386E-01,+9.93939961E-01,-4.18759623E-01
+5.00000000E-02,+0.00000000E+00,+9.07865054E-01,-4.03375180E-01,+9.93443754E-01,-4.18113581E-01,+9.08136329E-01,-4.03993035E-01,+9.93942637E-01,-4.18570834E-01
+6.00000000E-02,+0.00000000E+00,+9.07841822E-01,-4.02895611E-01,+9.93227893E-01,-4.17681834E-01,+9.08232560E-01,-4.03784704E-01,+9.93945909E-01,-4.18339976E-01
+7.00000000E-02,+0.00000000E+00,+9.07814292E-01,-4.02329160E-01,+9.92973082E-01,-4.17171661E-01,+9.08346294E-01,-4.03538316E-01,+9.93949779E-01,-4.18066980E-01
+8.00000000E-02,+0.00000000E+00,+9.07782430E-01,-4.01675981E-01,+9.92679472E-01,-4.16583100E-01,+9.08477536E-01,-4.03253782E-01,+9.93954247E-01,-4.17751763E-01
+9.00000000E-02,+0.00000000E+00,+9.07746196E-01,-4.00936253E-01,+9.92347235E-01,-4.15916194E-01,+9.08626288E-01,-4.02930999E-01,+9.93959316E-01,-4.17394229E-01
+1.00000000E-01,+0.00000000E+00,+9.07705544E-01,-4.00110179E-01,+9.91976568E-01,-4.15170991E-01,+9.08792556E-01,-4.02569850E-01,+9.93964987E-01,-4.16994269E-01
+1.10000000E-01,+0.00000000E+00,+9.07660428E-01,-3.99197986E-01,+9.91567690E-01,-4.14347546E-01,+9.08976345E-01,-4.02170202E-01,+9.93971261E-01,-4.16551762E-01
