s1,s2,Re(r_ibc01_2.tm),Im(r_ibc01_2.tm),Abs(r_ibc01_2.tm),Arg(r_ibc01_2.tm),Re(r_ibc01_2.te),Im(r_ibc01_2.te),Abs(r_ibc01_2.te),Arg(r_ibc01_2.te)
+0.00000000E+00,+0.00000000E+00,+9.64512801E-01,+3.90510678E-01,+1.04056885E+00,+3.84705055E-01,+8.75224970E-01,+4.26219240E-01,+9.73489388E-01,+4.53179478E-01
+1.00000000E-02,+0.00000000E+00,+9.64521138E-01,+3.90523020E-01,+1.04058121E+00,+3.84713042E-01,+8.75248473E-01,+4.26195309E-01,+9.73500042E-01,+4.53146807E-01
+2.00000000E-02,+0.00000000E+00,+9.64546149E-01,+3.90560059E-01,+1.04061829E+00,+3.84737014E-01,+8.75318975E-01,+4.26123509E-01,+9.73531999E-01,+4.53048793E-01
+3.00000000E-02,+0.00000000E+00,+9.64587846E-01,+3.90621839E-01,+1.04068013E+00,+3.84777001E-01,+8.75436457E-01,+4.26003811E-01,+9.73585249E-01,+4.52885433E-01
+4.00000000E-02,+0.00000000E+00,+9.64646242E-01,+3.90708432E-01,+1.04076676E+00,+3.84833058E-01,+8.75600887E-01,+4.25836169E-01,+9.73659775E-01,+4.52656719E-01
+5.00000000E-02,+0.00000000E+00,+9.64721360E-01,+3.90819939E-01,+1.04087825E+00,+3.84905259E-01,+8.75812220E-01,+4.25620519E-01,+9.73755550E-01,+4.52362642E-01
+6.00000000E-02,+0.00000000E+00,+9.64813228E-01,+3.90956491E-01,+1.04101467E+00,+3.84993698E-01,+8.76070397E-01,+4.25356777E-01,+9.73872542E-01,+4.52003189E-01
+7.00000000E-02,+0.00000000E+00,+9.64921880E-01,+3.91118247E-01,+1.04117612E+00,+3.85098494E-01,+8.76375347E-01,+4.25044840E-01,+9.74010711E-01,+4.51578345E-01
+8.00000000E-02,+0.00000000E+00,+9.65047357E-01,+3.91305398E-01,+1.04136272E+00,+3.85219786E-01,+8.76726986E-01,+4.24684590E-01,+9.74170010E-01,+4.51088092E-01
+9.00000000E-02,+0.00000000E+00,+9.65189704E-01,+3.91518164E-01,+1.04157460E+00,+3.85357736E-01,+8.77125216E-01,+4.24275885E-01,+9.74350385E-01,+4.50532409E-01
+1.00000000E-01,+0.00000000E+00,+9.65348975E-01,+3.91756800E-01,+1.04181190E+00,+3.85512530E-01,+8.77569926E-01,+4.23818568E-01,+9.74551771E-01,+4.49911272E-01
+1.10000000E-01,+0.00000000E+00,+9.65525230E-01,+3.92021588E-01,+1.04207480E+00,+3.85684376E-01,+8.78060991E-01,+4.23312463E-01,+9.74774099E-01,+4.49224654E-01
+1.20000000E-01,+0.00000000E+00,+9.65718535E-01,+3.92312845E-01,+1.04236350E+00,+3.85873506E-01,+8.78598272E-01,+4.22757373E-01,+9.75017292E-01,+4.48472524E-01
+1.30000000E-01,+0.00000000E+00,+9.65928963E-01,+3.92630924E-01,+1.04267819E+00,+3.86080178E-01,+8.79181616E-01,+4.22153083E-01,+9.75281262E-01,+4.47654848E-01
+1.40000000E-01,+0.00000000E+00,+9.66156591E-01,+3.92976208E-01,+1.04301911E+00,+3.86304673E-01,+8.79810856E-01,+4.21499360E-01,+9.75565914E-01,+4.46771590E-01
+1.50000000E-01,+0.00000000E+00,+9.66401507E-01,+3.93349120E-01,+1.04338651E+00,+3.86547301E-01,+8.80485812E-01,+4.20795950E-01,+9.75871147E-01,+4.45822708E-01
+1.60000000E-01,+0.00000000E+00,+9.66663802E-01,+3.93750118E-01,+1.04378066E+00,+3.86808398E-01,+8.81206285E-01,+4.20042581E-01,+9.76196849E-01,+4.44808157E-01
+1.70000000E-01,+0.00000000E+00,+9.66943577E-01,+3.94179699E-01,+1.04420186E+00,+3.87088326E-01,+8.81972067E-01,+4.19238960E-01,+9.76542898E-01,+4.43727890E-01
+1.80000000E-01,+0.00000000E+00,+9.67240937E-01,+3.94638399E-01,+1.04465042E+00,+3.87387479E-01,+8.82782929E-01,+4.18384776E-01,+9.76909167E-01,+4.42581854E-01
+1.90000000E-01,+0.00000000E+00,+9.67555996E-01,+3.95126797E-01,+1.04512669E+00,+3.87706280E-01,+8.83638629E-01,+4.17479697E-01,+9.77295515E-01,+4.41369991E-01
+2.00000000E-01,+0.00000000E+00,+9.67888874E-01,+3.95645514E-01,+1.04563103E+00,+3.88045183E-01,+8.84538909E-01,+4.16523371E-01,+9.77701795E-01,+4.40092240E-01
+2.10000000E-01,+0.00000000E+00,+9.68239699E-01,+3.96195217E-01,+1.04616383E+00,+3.88404675E-01,+8.85483494E-01,+4.15515427E-01,+9.78127848E-01,+4.38748535E-01
+2.20000000E-01,+0.00000000E+00,+9.68608605E-01,+3.96776621E-01,+1.04672552E+00,+3.88785279E-01,+8.86472092E-01,+4.14455471E-01,+9.78573506E-01,+4.37338805E-01
+2.30000000E-01,+0.00000000E+00,+9.68995736E-01,+3.97390487E-01,+1.04731654E+00,+3.89187551E-01,+8.87504394E-01,+4.13343092E-01,+9.79038591E-01,+4.35862974E-01
+2.40000000E-01,+0.00000000E+00,+9.69401240E-01,+3.98037633E-01,+1.04793736E+00,+3.89612088E-01,+8.88580075E-01,+4.12177856E-01,+9.79522911E-01,+4.34320959E-01
+2.50000000E-01,+0.00000000E+00,+9.69825275E-01,+3.98718929E-01,+1.04858850E+00,+3.90059523E-01,+8.89698787E-01,+4.10959307E-01,+9.80026267E-01,+4.32712672E-01
+2.60000000E-01,+0.00000000E+00,+9.70268006E-01,+3.99435303E-01,+1.04927049E+00,+3.90530535E-01,+8.90860170E-01,+4.09686968E-01,+9.80548445E-01,+4.31038020E-01
+2.70000000E-01,+0.00000000E+00,+9.70729606E-01,+4.00187744E-01,+1.04998390E+00,+3.91025844E-01,+8.92063838E-01,+4.08360343E-01,+9.81089222E-01,+4.29296901E-01
+2.80000000E-01,+0.00000000E+00,+9.71210255E-01,+4.00977305E-01,+1.05072935E+00,+3.91546217E-01,+8.93309390E-01,+4.06978910E-01,+9.81648359E-01,+4.27489208E-01
+2.90000000E-01,+0.00000000E+00,+9.71710144E-01,+4.01805109E-01,+1.05150746E+00,+3.92092470E-01,+8.94596403E-01,+4.05542127E-01,+9.82225606E-01,+4.25614826E-01
+3.00000000E-01,+0.00000000E+00,+9.72229467E-01,+4.02672349E-01,+1.05231894E+00,+3.92665472E-01,+8.95924432E-01,+4.04049428E-01,+9.82820700E-01,+4.23673630E-01
+3.10000000E-01,+0.00000000E+00,+9.72768430E-01,+4.03580296E-01,+1.05316450E+00,+3.93266147E-01,+8.97293012E-01,+4.02500225E-01,+9.83433364E-01,+4.21665491E-01
+3.20000000E-01,+0.00000000E+00,+9.73327247E-01,+4.04530301E-01,+1.05404492E+00,+3.93895477E-01,+8.98701655E-01,+4.00893905E-01,+9.84063304E-01,+4.19590267E-01
+3.30000000E-01,+0.00000000E+00,+9.73906138E-01,+4.05523804E-01,+1.05496100E+00,+3.94554505E-01,+9.00149849E-01,+3.99229832E-01,+9.84710215E-01,+4.17447809E-01
+3.40000000E-01,+0.00000000E+00,+9.74505334E-01,+4.06562334E-01,+1.05591362E+00,+3.95244343E-01,+9.01637059E-01,+3.97507344E-01,+9.85373774E-01,+4.15237955E-01
+3.50000000E-01,+0.00000000E+00,+9.75125071E-01,+4.07647523E-01,+1.05690369E+00,+3.95966172E-01,+9.03162725E-01,+3.95725755E-01,+9.86053640E-01,+4.12960536E-01
+3.60000000E-01,+0.00000000E+00,+9.75765597E-01,+4.08781105E-01,+1.05793218E+00,+3.96721249E-01,+9.04726262E-01,+3.93884352E-01,+9.86749458E-01,+4.10615367E-01
