s1,s2,Re(r_ibc3.tm),Im(r_ibc3.tm),Abs(r_ibc3.tm),Arg(r_ibc3.tm),Re(r_ibc3.te),Im(r_ibc3.te),Abs(r_ibc3.te),Arg(r_ibc3.te)
+0.00000000E+00,+0.00000000E+00,+9.19031436E-01,+4.09416949E-01,+1.00610189E+00,+4.19094936E-01,+9.19031436E-01,+4.09416949E-01,+1.00610189E+00,+4.19094936E-01
+1.00000000E-02,+0.00000000E+00,+9.19050480E-01,+4.09424458E-01,+1.00612234E+00,+4.19094051E-01,+9.19039741E-01,+4.09397568E-01,+1.00610159E+00,+4.19073980E-01
+2.00000000E-02,+0.00000000E+00,+9.19107621E-01,+4.09446997E-01,+1.00618371E+00,+4.19091403E-01,+9.19064655E-01,+4.09339418E-01,+1.00610069E+00,+4.19011108E-01
+3.00000000E-02,+0.00000000E+00,+9.19202891E-01,+4.09484600E-01,+1.00628604E+00,+4.19087011E-01,+9.19106179E-01,+4.09242477E-01,+1.00609919E+00,+4.18906299E-01
+4.00000000E-02,+0.00000000E+00,+9.19336345E-01,+4.09537326E-01,+1.00642940E+00,+4.19080908E-01,+9.19164312E-01,+4.09106713E-01,+1.00609708E+00,+4.18759522E-01
+5.00000000E-02,+0.00000000E+00,+9.19508058E-01,+4.09605258E-01,+1.00661390E+00,+4.19073139E-01,+9.19239055E-01,+4.08932077E-01,+1.00609437E+00,+4.18570733E-01
+6.00000000E-02,+0.00000000E+00,+9.19718127E-01,+4.09688502E-01,+1.00683966E+00,+4.19063764E-01,+9.19330408E-01,+4.08718507E-01,+1.00609106E+00,+4.18339876E-01
+7.00000000E-02,+0.00000000E+00,+9.19966671E-01,+4.09787189E-01,+1.00710685E+00,+4.19052854E-01,+9.19438371E-01,+4.08465928E-01,+1.00608714E+00,+4.18066881E-01
+8.00000000E-02,+0.00000000E+00,+9.20253832E-01,+4.09901473E-01,+1.00741567E+00,+4.19040497E-01,+9.19562946E-01,+4.08174251E-01,+1.00608262E+00,+4.17751664E-01
+9.00000000E-02,+0.00000000E+00,+9.20579773E-01,+4.10031535E-01,+1.00776633E+00,+4.19026792E-01,+9.19704132E-01,+4.07843370E-01,+1.00607748E+00,+4.17394131E-01
+1.00000000E-01,+0.00000000E+00,+9.20944683E-01,+4.10177580E-01,+1.00815909E+00,+4.19011853E-01,+9.19861931E-01,+4.07473169E-01,+1.00607174E+00,+4.16994172E-01
+1.10000000E-01,+0.00000000E+00,+9.21348769E-01,+4.10339842E-01,+1.00859424E+00,+4.18995810E-01,+9.20036342E-01,+4.07063514E-01,+1.00606539E+00,+4.16551666E-01
+1.20000000E-01,+0.00000000E+00,+9.21792268E-01,+4.10518580E-01,+1.00907209E+00,+4.18978806E-01,+9.20227366E-01,+4.06614260E-01,+1.00605843E+00,+4.16066476E-01
+1.30000000E-01,+0.00000000E+00,+9.22275438E-01,+4.10714081E-01,+1.00959301E+00,+4.18961001E-01,+9.20435005E-01,+4.06125242E-01,+1.00605085E+00,+4.15538454E-01
+1.40000000E-01,+0.00000000E+00,+9.22798560E-01,+4.10926661E-01,+1.01015737E+00,+4.18942570E-01,+9.20659259E-01,+4.05596285E-01,+1.00604265E+00,+4.14967434E-01
+1.50000000E-01,+0.00000000E+00,+9.23361946E-01,+4.11156665E-01,+1.01076559E+00,+4.18923705E-01,+9.20900128E-01,+4.05027196E-01,+1.00603383E+00,+4.14353241E-01
+1.60000000E-01,+0.00000000E+00,+9.23965928E-01,+4.11404472E-01,+1.01141815E+00,+4.18904615E-01,+9.21157614E-01,+4.04417766E-01,+1.00602439E+00,+4.13695681E-01
+1.70000000E-01,+0.00000000E+00,+9.24610869E-01,+4.11670490E-01,+1.01211553E+00,+4.18885526E-01,+9.21431717E-01,+4.03767772E-01,+1.00601433E+00,+4.12994548E-01
+1.80000000E-01,+0.00000000E+00,+9.25297159E-01,+4.11955160E-01,+1.01285828E+00,+4.18866684E-01,+9.21722439E-01,+4.03076972E-01,+1.00600363E+00,+4.12249618E-01
+1.90000000E-01,+0.00000000E+00,+9.26025216E-01,+4.12258962E-01,+1.01364696E+00,+4.18848353E-01,+9.22029781E-01,+4.02345110E-01,+1.00599230E+00,+4.11460655E-01
+2.00000000E-01,+0.00000000E+00,+9.26795488E-01,+4.12582409E-01,+1.01448219E+00,+4.18830819E-01,+9.22353742E-01,+4.01571912E-01,+1.00598033E+00,+4.10627404E-01
+2.10000000E-01,+0.00000000E+00,+9.27608454E-01,+4.12926054E-01,+1.01536465E+00,+4.18814386E-01,+9.22694326E-01,+4.00757084E-01,+1.00596772E+00,+4.09749596E-01
+2.20000000E-01,+0.00000000E+00,+9.28464625E-01,+4.13290489E-01,+1.01629503E+00,+4.18799383E-01,+9.23051531E-01,+3.99900318E-01,+1.00595447E+00,+4.08826943E-01
+2.30000000E-01,+0.00000000E+00,+9.29364544E-01,+4.13676351E-01,+1.01727409E+00,+4.18786161E-01,+9.23425360E-01,+3.99001284E-01,+1.00594056E+00,+4.07859140E-01
+2.40000000E-01,+0.00000000E+00,+9.30308789E-01,+4.14084319E-01,+1.01830264E+00,+4.18775097E-01,+9.23815813E-01,+3.98059636E-01,+1.00592601E+00,+4.06845866E-01
+2.50000000E-01,+0.00000000E+00,+9.31297976E-01,+4.14515120E-01,+1.01938153E+00,+4.18766593E-01,+9.24222891E-01,+3.97075005E-01,+1.00591079E+00,+4.05786781E-01
+2.60000000E-01,+0.00000000E+00,+9.32332755E-01,+4.14969534E-01,+1.02051168E+00,+4.18761077E-01,+9.24646596E-01,+3.96047005E-01,+1.00589490E+00,+4.04681523E-01
+2.70000000E-01,+0.00000000E+00,+9.33413817E-01,+4.15448389E-01,+1.02169404E+00,+4.18759010E-01,+9.25086927E-01,+3.94975226E-01,+1.00587835E+00,+4.03529715E-01
+2.80000000E-01,+0.00000000E+00,+9.34541896E-01,+4.15952573E-01,+1.02292966E+00,+4.18760879E-01,+9.25543887E-01,+3.93859239E-01,+1.00586112E+00,+4.02330956E-01
+2.90000000E-01,+0.00000000E+00,+9.35717766E-01,+4.16483032E-01,+1.02421963E+00,+4.18767208E-01,+9.26017475E-01,+3.92698590E-01,+1.00584320E+00,+4.01084825E-01
+3.00000000E-01,+0.00000000E+00,+9.36942247E-01,+4.17040777E-01,+1.02556511E+00,+4.18778552E-01,+9.26507692E-01,+3.91492804E-01,+1.00582460E+00,+3.99790880E-01
+3.10000000E-01,+0.00000000E+00,+9.38216208E-01,+4.17626885E-01,+1.02696732E+00,+4.18795506E-01,+9.27014539E-01,+3.90241380E-01,+1.00580529E+00,+3.98448654E-01
+3.20000000E-01,+0.00000000E+00,+9.39540567E-01,+4.18242508E-01,+1.02842757E+00,+4.18818702E-01,+9.27538017E-01,+3.88943793E-01,+1.00578529E+00,+3.97057658E-01
+3.30000000E-01,+0.00000000E+00,+9.40916293E-01,+4.18888871E-01,+1.02994726E+00,+4.18848816E-01,+9.28078125E-01,+3.87599491E-01,+1.00576457E+00,+3.95617378E-01
+3.40000000E-01,+0.00000000E+00,+9.42344413E-01,+4.19567287E-01,+1.03152785E+00,+4.18886568E-01,+9.28634864E-01,+3.86207895E-01,+1.00574313E+00,+3.94127272E-01
+3.50000000E-01,+0.00000000E+00,+9.43826013E-01,+4.20279154E-01,+1.03317090E+00,+4.18932726E-01,+9.29208234E-01,+3.84768397E-01,+1.00572097E+00,+3.92586775E-01
+3.60000000E-01,+0.00000000E+00,+9.45362240E-01,+4.21025966E-01,+1.03487807E+00,+4.18988111E-01,+9.29798235E-01,+3.83280361E-01,+1.00569806E+00,+3.90995290E-01
