s1,s2,Re(z_ex.tm),Im(z_ex.tm),Abs(z_ex.tm),Arg(z_ex.tm),Re(z_ex.te),Im(z_ex.te),Abs(z_ex.te),Arg(z_ex.te)
+0.00000000E+00,+0.00000000E+00,+3.17918622E-03,+2.12667396E-01,+2.12691158E-01,+1.55584834E+00,+3.17918622E-03,+2.12667396E-01,+2.12691158E-01,+1.55584834E+00
+1.00000000E-02,+0.00000000E+00,+3.18964924E-03,+2.12656286E-01,+2.12680206E-01,+1.55579837E+00,+3.17917485E-03,+2.12667079E-01,+2.12690840E-01,+1.55584837E+00
+2.00000000E-02,+0.00000000E+00,+3.22103811E-03,+2.12622956E-01,+2.12647353E-01,+1.55564842E+00,+3.17914072E-03,+2.12666125E-01,+2.12689887E-01,+1.55584846E+00
+3.00000000E-02,+0.00000000E+00,+3.27335229E-03,+2.12567407E-01,+2.12592609E-01,+1.55539842E+00,+3.17908384E-03,+2.12664537E-01,+2.12688297E-01,+1.55584862E+00
+4.00000000E-02,+0.00000000E+00,+3.34659085E-03,+2.12489640E-01,+2.12515992E-01,+1.55504820E+00,+3.17900420E-03,+2.12662313E-01,+2.12686072E-01,+1.55584884E+00
+5.00000000E-02,+0.00000000E+00,+3.44075251E-03,+2.12389656E-01,+2.12417524E-01,+1.55459756E+00,+3.17890182E-03,+2.12659454E-01,+2.12683212E-01,+1.55584912E+00
+6.00000000E-02,+0.00000000E+00,+3.55583563E-03,+2.12267457E-01,+2.12297238E-01,+1.55404622E+00,+3.17877670E-03,+2.12655959E-01,+2.12679716E-01,+1.55584946E+00
+7.00000000E-02,+0.00000000E+00,+3.69183818E-03,+2.12123045E-01,+2.12155169E-01,+1.55339385E+00,+3.17862884E-03,+2.12651830E-01,+2.12675585E-01,+1.55584987E+00
+8.00000000E-02,+0.00000000E+00,+3.84875778E-03,+2.11956423E-01,+2.11991364E-01,+1.55264007E+00,+3.17845824E-03,+2.12647065E-01,+2.12670818E-01,+1.55585033E+00
+9.00000000E-02,+0.00000000E+00,+4.02659168E-03,+2.11767595E-01,+2.11805872E-01,+1.55178442E+00,+3.17826491E-03,+2.12641665E-01,+2.12665416E-01,+1.55585086E+00
+1.00000000E-01,+0.00000000E+00,+4.22533677E-03,+2.11556562E-01,+2.11598754E-01,+1.55082637E+00,+3.17804886E-03,+2.12635631E-01,+2.12659379E-01,+1.55585145E+00
+1.10000000E-01,+0.00000000E+00,+4.44498956E-03,+2.11323330E-01,+2.11370073E-01,+1.54976536E+00,+3.17781009E-03,+2.12628961E-01,+2.12652707E-01,+1.55585211E+00
+1.20000000E-01,+0.00000000E+00,+4.68554620E-03,+2.11067903E-01,+2.11119904E-01,+1.54860074E+00,+3.17754861E-03,+2.12621657E-01,+2.12645400E-01,+1.55585283E+00
+1.30000000E-01,+0.00000000E+00,+4.94700248E-03,+2.10790285E-01,+2.10848327E-01,+1.54733180E+00,+3.17726444E-03,+2.12613719E-01,+2.12637458E-01,+1.55585360E+00
+1.40000000E-01,+0.00000000E+00,+5.22935382E-03,+2.10490482E-01,+2.10555430E-01,+1.54595778E+00,+3.17695757E-03,+2.12605146E-01,+2.12628882E-01,+1.55585444E+00
+1.50000000E-01,+0.00000000E+00,+5.53259528E-03,+2.10168498E-01,+2.10241307E-01,+1.54447784E+00,+3.17662802E-03,+2.12595940E-01,+2.12619671E-01,+1.55585535E+00
