s1,s2,Re(z_ibc01_2.tm),Im(z_ibc01_2.tm),Abs(z_ibc01_2.tm),Arg(z_ibc01_2.tm),Re(z_ibc01_2.te),Im(z_ibc01_2.te),Abs(z_ibc01_2.te),Arg(z_ibc01_2.te)
+0.00000000E+00,+0.00000000E+00,+2.06349632E-02,+1.94680587E-01,+1.95771123E-01,+1.46519667E+00,-1.41472555E-02,+2.30505181E-01,+2.30938917E-01,+1.63209444E+00
+1.00000000E-02,+0.00000000E+00,+2.06401241E-02,+1.94674948E-01,+1.95766059E-01,+1.46516741E+00,-1.41420946E-02,+2.30499542E-01,+2.30932973E-01,+1.63207363E+00
+2.00000000E-02,+0.00000000E+00,+2.06556067E-02,+1.94658031E-01,+1.95750870E-01,+1.46507965E+00,-1.41266120E-02,+2.30482625E-01,+2.30915140E-01,+1.63201119E+00
+3.00000000E-02,+0.00000000E+00,+2.06814111E-02,+1.94629835E-01,+1.95725557E-01,+1.46493335E+00,-1.41008076E-02,+2.30454430E-01,+2.30885420E-01,+1.63190711E+00
+4.00000000E-02,+0.00000000E+00,+2.07175373E-02,+1.94590362E-01,+1.95690126E-01,+1.46472846E+00,-1.40646814E-02,+2.30414957E-01,+2.30843817E-01,+1.63176135E+00
+5.00000000E-02,+0.00000000E+00,+2.07639852E-02,+1.94539611E-01,+1.95644584E-01,+1.46446492E+00,-1.40182335E-02,+2.30364206E-01,+2.30790334E-01,+1.63157386E+00
+6.00000000E-02,+0.00000000E+00,+2.08207548E-02,+1.94477582E-01,+1.95588940E-01,+1.46414265E+00,-1.39614638E-02,+2.30302176E-01,+2.30724977E-01,+1.63134460E+00
+7.00000000E-02,+0.00000000E+00,+2.08878463E-02,+1.94404274E-01,+1.95523206E-01,+1.46376155E+00,-1.38943724E-02,+2.30228869E-01,+2.30647753E-01,+1.63107348E+00
+8.00000000E-02,+0.00000000E+00,+2.09652595E-02,+1.94319689E-01,+1.95447394E-01,+1.46332150E+00,-1.38169592E-02,+2.30144284E-01,+2.30558669E-01,+1.63076043E+00
+9.00000000E-02,+0.00000000E+00,+2.10529944E-02,+1.94223826E-01,+1.95361519E-01,+1.46282236E+00,-1.37292243E-02,+2.30048420E-01,+2.30457734E-01,+1.63040534E+00
+1.00000000E-01,+0.00000000E+00,+2.11510511E-02,+1.94116684E-01,+1.95265599E-01,+1.46226399E+00,-1.36311676E-02,+2.29941279E-01,+2.30344960E-01,+1.63000811E+00
+1.10000000E-01,+0.00000000E+00,+2.12594296E-02,+1.93998264E-01,+1.95159653E-01,+1.46164620E+00,-1.35227891E-02,+2.29822859E-01,+2.30220356E-01,+1.62956862E+00
+1.20000000E-01,+0.00000000E+00,+2.13781298E-02,+1.93868567E-01,+1.95043702E-01,+1.46096880E+00,-1.34040889E-02,+2.29693162E-01,+2.30083937E-01,+1.62908672E+00
+1.30000000E-01,+0.00000000E+00,+2.15071518E-02,+1.93727591E-01,+1.94917770E-01,+1.46023158E+00,-1.32750669E-02,+2.29552186E-01,+2.29935716E-01,+1.62856227E+00
+1.40000000E-01,+0.00000000E+00,+2.16464955E-02,+1.93575337E-01,+1.94781883E-01,+1.45943432E+00,-1.31357231E-02,+2.29399932E-01,+2.29775708E-01,+1.62799510E+00
+1.50000000E-01,+0.00000000E+00,+2.17961610E-02,+1.93411806E-01,+1.94636069E-01,+1.45857676E+00,-1.29860576E-02,+2.29236401E-01,+2.29603931E-01,+1.62738504E+00
+1.60000000E-01,+0.00000000E+00,+2.19561483E-02,+1.93236996E-01,+1.94480356E-01,+1.45765863E+00,-1.28260704E-02,+2.29061591E-01,+2.29420401E-01,+1.62673190E+00
+1.70000000E-01,+0.00000000E+00,+2.21264573E-02,+1.93050908E-01,+1.94314779E-01,+1.45667966E+00,-1.26557614E-02,+2.28875503E-01,+2.29225138E-01,+1.62603547E+00
+1.80000000E-01,+0.00000000E+00,+2.23070881E-02,+1.92853542E-01,+1.94139370E-01,+1.45563953E+00,-1.24751306E-02,+2.28678137E-01,+2.29018163E-01,+1.62529553E+00
+1.90000000E-01,+0.00000000E+00,+2.24980406E-02,+1.92644898E-01,+1.93954166E-01,+1.45453793E+00,-1.22841780E-02,+2.28469493E-01,+2.28799498E-01,+1.62451186E+00
+2.00000000E-01,+0.00000000E+00,+2.26993149E-02,+1.92424976E-01,+1.93759207E-01,+1.45337449E+00,-1.20829037E-02,+2.28249571E-01,+2.28569165E-01,+1.62368421E+00
+2.10000000E-01,+0.00000000E+00,+2.29109110E-02,+1.92193776E-01,+1.93554533E-01,+1.45214887E+00,-1.18713077E-02,+2.28018371E-01,+2.28327189E-01,+1.62281231E+00
+2.20000000E-01,+0.00000000E+00,+2.31328288E-02,+1.91951298E-01,+1.93340189E-01,+1.45086068E+00,-1.16493899E-02,+2.27775893E-01,+2.28073597E-01,+1.62189589E+00
+2.30000000E-01,+0.00000000E+00,+2.33650684E-02,+1.91697542E-01,+1.93116219E-01,+1.44950951E+00,-1.14171503E-02,+2.27522136E-01,+2.27808415E-01,+1.62093466E+00
+2.40000000E-01,+0.00000000E+00,+2.36076297E-02,+1.91432507E-01,+1.92882672E-01,+1.44809494E+00,-1.11745890E-02,+2.27257102E-01,+2.27531672E-01,+1.61992833E+00
+2.50000000E-01,+0.00000000E+00,+2.38605128E-02,+1.91156195E-01,+1.92639599E-01,+1.44661652E+00,-1.09217059E-02,+2.26980790E-01,+2.27243400E-01,+1.61887656E+00
+2.60000000E-01,+0.00000000E+00,+2.41237176E-02,+1.90868605E-01,+1.92387053E-01,+1.44507380E+00,-1.06585010E-02,+2.26693200E-01,+2.26943628E-01,+1.61777902E+00
+2.70000000E-01,+0.00000000E+00,+2.43972442E-02,+1.90569736E-01,+1.92125089E-01,+1.44346629E+00,-1.03849744E-02,+2.26394331E-01,+2.26632392E-01,+1.61663537E+00
+2.80000000E-01,+0.00000000E+00,+2.46810926E-02,+1.90259590E-01,+1.91853767E-01,+1.44179348E+00,-1.01011261E-02,+2.26084185E-01,+2.26309724E-01,+1.61544524E+00
+2.90000000E-01,+0.00000000E+00,+2.49752627E-02,+1.89938165E-01,+1.91573146E-01,+1.44005485E+00,-9.80695594E-03,+2.25762760E-01,+2.25975663E-01,+1.61420824E+00
+3.00000000E-01,+0.00000000E+00,+2.52797546E-02,+1.89605463E-01,+1.91283291E-01,+1.43824984E+00,-9.50246406E-03,+2.25430058E-01,+2.25630246E-01,+1.61292399E+00
+3.10000000E-01,+0.00000000E+00,+2.55945683E-02,+1.89261482E-01,+1.90984268E-01,+1.43637789E+00,-9.18765042E-03,+2.25086077E-01,+2.25273512E-01,+1.61159207E+00
+3.20000000E-01,+0.00000000E+00,+2.59197037E-02,+1.88906224E-01,+1.90676145E-01,+1.43443841E+00,-8.86251502E-03,+2.24730818E-01,+2.24905502E-01,+1.61021204E+00
+3.30000000E-01,+0.00000000E+00,+2.62551608E-02,+1.88539687E-01,+1.90358995E-01,+1.43243079E+00,-8.52705786E-03,+2.24364282E-01,+2.24526260E-01,+1.60878346E+00
+3.40000000E-01,+0.00000000E+00,+2.66009397E-02,+1.88161872E-01,+1.90032892E-01,+1.43035439E+00,-8.18127894E-03,+2.23986467E-01,+2.24135831E-01,+1.60730587E+00
+3.50000000E-01,+0.00000000E+00,+2.69570404E-02,+1.87772779E-01,+1.89697914E-01,+1.42820856E+00,-7.82517826E-03,+2.23597374E-01,+2.23734260E-01,+1.60577879E+00
+3.60000000E-01,+0.00000000E+00,+2.73234628E-02,+1.87372408E-01,+1.89354142E-01,+1.42599261E+00,-7.45875583E-03,+2.23197003E-01,+2.23321596E-01,+1.60420171E+00
+3.70000000E-01,+0.00000000E+00,+2.77002070E-02,+1.86960760E-01,+1.89001659E-01,+1.42370585E+00,-7.08201163E-03,+2.22785354E-01,+2.22897889E-01,+1.60257412E+00
+3.80000000E-01,+0.00000000E+00,+2.80872730E-02,+1.86537833E-01,+1.88640552E-01,+1.42134755E+00,-6.69494568E-03,+2.22362427E-01,+2.22463191E-01,+1.60089549E+00
+3.90000000E-01,+0.00000000E+00,+2.84846607E-02,+1.86103628E-01,+1.88270911E-01,+1.41891696E+00,-6.29755797E-03,+2.21928222E-01,+2.22017556E-01,+1.59916527E+00
+4.00000000E-01,+0.00000000E+00,+2.88923702E-02,+1.85658144E-01,+1.87892830E-01,+1.41641332E+00,-5.88984850E-03,+2.21482739E-01,+2.21561039E-01,+1.59738287E+00
+4.10000000E-01,+0.00000000E+00,+2.93104014E-02,+1.85201383E-01,+1.87506405E-01,+1.41383582E+00,-5.47181727E-03,+2.21025978E-01,+2.21093699E-01,+1.59554772E+00
+4.20000000E-01,+0.00000000E+00,+2.97387544E-02,+1.84733344E-01,+1.87111736E-01,+1.41118366E+00,-5.04346428E-03,+2.20557939E-01,+2.20615595E-01,+1.59365919E+00
+4.30000000E-01,+0.00000000E+00,+3.01774291E-02,+1.84254027E-01,+1.86708928E-01,+1.40845600E+00,-4.60478954E-03,+2.20078622E-01,+2.20126790E-01,+1.59171666E+00
+4.40000000E-01,+0.00000000E+00,+3.06264256E-02,+1.83763432E-01,+1.86298086E-01,+1.40565195E+00,-4.15579303E-03,+2.19588026E-01,+2.19627348E-01,+1.58971948E+00
+4.50000000E-01,+0.00000000E+00,+3.10857439E-02,+1.83261558E-01,+1.85879322E-01,+1.40277065E+00,-3.69647477E-03,+2.19086153E-01,+2.19117335E-01,+1.58766697E+00
+4.60000000E-01,+0.00000000E+00,+3.15553839E-02,+1.82748407E-01,+1.85452750E-01,+1.39981116E+00,-3.22683474E-03,+2.18573002E-01,+2.18596819E-01,+1.58555844E+00
+4.70000000E-01,+0.00000000E+00,+3.20353457E-02,+1.82223977E-01,+1.85018489E-01,+1.39677257E+00,-2.74687296E-03,+2.18048572E-01,+2.18065873E-01,+1.58339319E+00
+4.80000000E-01,+0.00000000E+00,+3.25256293E-02,+1.81688270E-01,+1.84576661E-01,+1.39365389E+00,-2.25658942E-03,+2.17512865E-01,+2.17524570E-01,+1.58117046E+00
+4.90000000E-01,+0.00000000E+00,+3.30262345E-02,+1.81141284E-01,+1.84127394E-01,+1.39045414E+00,-1.75598412E-03,+2.16965879E-01,+2.16972985E-01,+1.57888952E+00
+5.00000000E-01,+0.00000000E+00,+3.35371616E-02,+1.80583021E-01,+1.83670816E-01,+1.38717231E+00,-1.24505707E-03,+2.16407615E-01,+2.16411197E-01,+1.57654956E+00
+5.10000000E-01,+0.00000000E+00,+3.40584104E-02,+1.80013479E-01,+1.83207063E-01,+1.38380737E+00,-7.23808251E-04,+2.15838074E-01,+2.15839287E-01,+1.57414979E+00
+5.20000000E-01,+0.00000000E+00,+3.45899810E-02,+1.79432659E-01,+1.82736274E-01,+1.38035824E+00,-1.92237676E-04,+2.15257254E-01,+2.15257340E-01,+1.57168939E+00
+5.30000000E-01,+0.00000000E+00,+3.51318733E-02,+1.78840562E-01,+1.82258594E-01,+1.37682384E+00,+3.49654657E-04,+2.14665156E-01,+2.14665441E-01,+1.56916749E+00
+5.40000000E-01,+0.00000000E+00,+3.56840874E-02,+1.78237186E-01,+1.81774169E-01,+1.37320306E+00,+9.01868750E-04,+2.14061780E-01,+2.14063680E-01,+1.56658323E+00
+5.50000000E-01,+0.00000000E+00,+3.62466233E-02,+1.77622532E-01,+1.81283153E-01,+1.36949475E+00,+1.46440460E-03,+2.13447127E-01,+2.13452150E-01,+1.56393570E+00
+5.60000000E-01,+0.00000000E+00,+3.68194809E-02,+1.76996600E-01,+1.80785703E-01,+1.36569775E+00,+2.03726221E-03,+2.12821195E-01,+2.12830945E-01,+1.56122397E+00
+5.70000000E-01,+0.00000000E+00,+3.74026603E-02,+1.76359390E-01,+1.80281983E-01,+1.36181086E+00,+2.62044158E-03,+2.12183985E-01,+2.12200165E-01,+1.55844710E+00
+5.80000000E-01,+0.00000000E+00,+3.79961614E-02,+1.75710902E-01,+1.79772159E-01,+1.35783289E+00,+3.21394271E-03,+2.11535497E-01,+2.11559911E-01,+1.55560410E+00
+5.90000000E-01,+0.00000000E+00,+3.85999843E-02,+1.75051136E-01,+1.79256406E-01,+1.35376257E+00,+3.81776559E-03,+2.10875731E-01,+2.10910287E-01,+1.55269397E+00
+6.00000000E-01,+0.00000000E+00,+3.92141289E-02,+1.74380092E-01,+1.78734899E-01,+1.34959865E+00,+4.43191024E-03,+2.10204686E-01,+2.10251402E-01,+1.54971567E+00
+6.10000000E-01,+0.00000000E+00,+3.98385953E-02,+1.73697769E-01,+1.78207825E-01,+1.34533983E+00,+5.05637664E-03,+2.09522364E-01,+2.09583368E-01,+1.54666814E+00
+6.20000000E-01,+0.00000000E+00,+4.04733835E-02,+1.73004169E-01,+1.77675371E-01,+1.34098481E+00,+5.69116480E-03,+2.08828764E-01,+2.08906300E-01,+1.54355029E+00
+6.30000000E-01,+0.00000000E+00,+4.11184934E-02,+1.72299291E-01,+1.77137732E-01,+1.33653223E+00,+6.33627472E-03,+2.08123886E-01,+2.08220316E-01,+1.54036100E+00
+6.40000000E-01,+0.00000000E+00,+4.17739251E-02,+1.71583135E-01,+1.76595110E-01,+1.33198074E+00,+6.99170640E-03,+2.07407729E-01,+2.07525541E-01,+1.53709913E+00
+6.50000000E-01,+0.00000000E+00,+4.24396785E-02,+1.70855700E-01,+1.76047711E-01,+1.32732895E+00,+7.65745984E-03,+2.06680295E-01,+2.06822100E-01,+1.53376348E+00
+6.60000000E-01,+0.00000000E+00,+4.31157537E-02,+1.70116988E-01,+1.75495748E-01,+1.32257544E+00,+8.33353504E-03,+2.05941582E-01,+2.06110124E-01,+1.53035286E+00
+6.70000000E-01,+0.00000000E+00,+4.38021507E-02,+1.69366997E-01,+1.74939441E-01,+1.31771879E+00,+9.01993200E-03,+2.05191592E-01,+2.05389748E-01,+1.52686602E+00
+6.80000000E-01,+0.00000000E+00,+4.44988694E-02,+1.68605729E-01,+1.74379016E-01,+1.31275753E+00,+9.71665071E-03,+2.04430323E-01,+2.04661111E-01,+1.52330169E+00
+6.90000000E-01,+0.00000000E+00,+4.52059099E-02,+1.67833182E-01,+1.73814704E-01,+1.30769019E+00,+1.04236912E-02,+2.03657777E-01,+2.03924357E-01,+1.51965856E+00
