s1,s2,Re(z_ibc01.tm),Im(z_ibc01.tm),Abs(z_ibc01.tm),Arg(z_ibc01.tm),Re(z_ibc01.te),Im(z_ibc01.te),Abs(z_ibc01.te),Arg(z_ibc01.te)
+0.00000000E+00,+0.00000000E+00,+3.49794881E-03,+2.12300442E-01,+2.12329257E-01,+1.55432141E+00,+3.49794881E-03,+2.12300442E-01,+2.12329257E-01,+1.55432141E+00
+1.00000000E-02,+0.00000000E+00,+3.50303147E-03,+2.12294893E-01,+2.12323792E-01,+1.55429704E+00,+3.50303147E-03,+2.12294893E-01,+2.12323792E-01,+1.55429704E+00
+2.00000000E-02,+0.00000000E+00,+3.51827944E-03,+2.12278246E-01,+2.12307400E-01,+1.55422394E+00,+3.51827944E-03,+2.12278246E-01,+2.12307400E-01,+1.55422394E+00
+3.00000000E-02,+0.00000000E+00,+3.54369274E-03,+2.12250501E-01,+2.12280081E-01,+1.55410207E+00,+3.54369274E-03,+2.12250501E-01,+2.12280081E-01,+1.55410207E+00
+4.00000000E-02,+0.00000000E+00,+3.57927136E-03,+2.12211658E-01,+2.12241841E-01,+1.55393141E+00,+3.57927136E-03,+2.12211658E-01,+2.12241841E-01,+1.55393141E+00
+5.00000000E-02,+0.00000000E+00,+3.62501529E-03,+2.12161717E-01,+2.12192683E-01,+1.55371189E+00,+3.62501529E-03,+2.12161717E-01,+2.12192683E-01,+1.55371189E+00
+6.00000000E-02,+0.00000000E+00,+3.68092454E-03,+2.12100678E-01,+2.12132616E-01,+1.55344346E+00,+3.68092454E-03,+2.12100678E-01,+2.12132616E-01,+1.55344346E+00
+7.00000000E-02,+0.00000000E+00,+3.74699911E-03,+2.12028541E-01,+2.12061647E-01,+1.55312602E+00,+3.74699911E-03,+2.12028541E-01,+2.12061647E-01,+1.55312602E+00
+8.00000000E-02,+0.00000000E+00,+3.82323900E-03,+2.11945306E-01,+2.11979787E-01,+1.55275948E+00,+3.82323900E-03,+2.11945306E-01,+2.11979787E-01,+1.55275948E+00
+9.00000000E-02,+0.00000000E+00,+3.90964421E-03,+2.11850973E-01,+2.11887046E-01,+1.55234373E+00,+3.90964421E-03,+2.11850973E-01,+2.11887046E-01,+1.55234373E+00
+1.00000000E-01,+0.00000000E+00,+4.00621474E-03,+2.11745542E-01,+2.11783438E-01,+1.55187864E+00,+4.00621474E-03,+2.11745542E-01,+2.11783438E-01,+1.55187864E+00
+1.10000000E-01,+0.00000000E+00,+4.11295058E-03,+2.11629014E-01,+2.11668977E-01,+1.55136405E+00,+4.11295058E-03,+2.11629014E-01,+2.11668977E-01,+1.55136405E+00
+1.20000000E-01,+0.00000000E+00,+4.22985175E-03,+2.11501387E-01,+2.11543679E-01,+1.55079982E+00,+4.22985175E-03,+2.11501387E-01,+2.11543679E-01,+1.55079982E+00
+1.30000000E-01,+0.00000000E+00,+4.35691823E-03,+2.11362662E-01,+2.11407563E-01,+1.55018577E+00,+4.35691823E-03,+2.11362662E-01,+2.11407563E-01,+1.55018577E+00
+1.40000000E-01,+0.00000000E+00,+4.49415003E-03,+2.11212839E-01,+2.11260646E-01,+1.54952171E+00,+4.49415003E-03,+2.11212839E-01,+2.11260646E-01,+1.54952171E+00
+1.50000000E-01,+0.00000000E+00,+4.64154715E-03,+2.11051918E-01,+2.11102952E-01,+1.54880743E+00,+4.64154715E-03,+2.11051918E-01,+2.11102952E-01,+1.54880743E+00
+1.60000000E-01,+0.00000000E+00,+4.79910959E-03,+2.10879899E-01,+2.10934500E-01,+1.54804271E+00,+4.79910959E-03,+2.10879899E-01,+2.10934500E-01,+1.54804271E+00
+1.70000000E-01,+0.00000000E+00,+4.96683734E-03,+2.10696783E-01,+2.10755317E-01,+1.54722730E+00,+4.96683734E-03,+2.10696783E-01,+2.10755317E-01,+1.54722730E+00
+1.80000000E-01,+0.00000000E+00,+5.14473042E-03,+2.10502568E-01,+2.10565428E-01,+1.54636096E+00,+5.14473042E-03,+2.10502568E-01,+2.10565428E-01,+1.54636096E+00
+1.90000000E-01,+0.00000000E+00,+5.33278881E-03,+2.10297255E-01,+2.10364860E-01,+1.54544342E+00,+5.33278881E-03,+2.10297255E-01,+2.10364860E-01,+1.54544342E+00
+2.00000000E-01,+0.00000000E+00,+5.53101253E-03,+2.10080844E-01,+2.10153642E-01,+1.54447439E+00,+5.53101253E-03,+2.10080844E-01,+2.10153642E-01,+1.54447439E+00
+2.10000000E-01,+0.00000000E+00,+5.73940156E-03,+2.09853336E-01,+2.09931806E-01,+1.54345356E+00,+5.73940156E-03,+2.09853336E-01,+2.09931806E-01,+1.54345356E+00
+2.20000000E-01,+0.00000000E+00,+5.95795591E-03,+2.09614729E-01,+2.09699384E-01,+1.54238061E+00,+5.95795591E-03,+2.09614729E-01,+2.09699384E-01,+1.54238061E+00
+2.30000000E-01,+0.00000000E+00,+6.18667557E-03,+2.09365024E-01,+2.09456411E-01,+1.54125521E+00,+6.18667557E-03,+2.09365024E-01,+2.09456411E-01,+1.54125521E+00
+2.40000000E-01,+0.00000000E+00,+6.42556056E-03,+2.09104221E-01,+2.09202924E-01,+1.54007701E+00,+6.42556056E-03,+2.09104221E-01,+2.09202924E-01,+1.54007701E+00
+2.50000000E-01,+0.00000000E+00,+6.67461087E-03,+2.08832321E-01,+2.08938959E-01,+1.53884562E+00,+6.67461087E-03,+2.08832321E-01,+2.08938959E-01,+1.53884562E+00
+2.60000000E-01,+0.00000000E+00,+6.93382649E-03,+2.08549322E-01,+2.08664558E-01,+1.53756067E+00,+6.93382649E-03,+2.08549322E-01,+2.08664558E-01,+1.53756067E+00
+2.70000000E-01,+0.00000000E+00,+7.20320743E-03,+2.08255225E-01,+2.08379762E-01,+1.53622175E+00,+7.20320743E-03,+2.08255225E-01,+2.08379762E-01,+1.53622175E+00
