s,n,Re(f_ex.tm),Im(f_ex.tm),Abs(f_ex.tm),Arg(f_ex.tm),Re(f_ex.te),Im(f_ex.te),Abs(f_ex.te),Arg(f_ex.te)
+0.00000000E+00,+0.00000000E+00,-2.03854277E-01,+3.56716432E-01,+4.10856641E-01,+2.08997692E+00,-7.00298510E-01,-3.49628453E-01,+7.82724766E-01,-2.67854017E+00
+1.00000000E-02,+0.00000000E+00,-2.03829767E-01,+3.56698240E-01,+4.10828685E-01,+2.08994709E+00,-7.00279355E-01,-3.49634432E-01,+7.82710298E-01,-2.67852240E+00
+2.00000000E-02,+0.00000000E+00,-2.03756236E-01,+3.56643650E-01,+4.10744807E-01,+2.08985760E+00,-7.00221853E-01,-3.49652381E-01,+7.82666871E-01,-2.67846907E+00
+3.00000000E-02,+0.00000000E+00,-2.03633685E-01,+3.56552621E-01,+4.10604979E-01,+2.08970843E+00,-7.00125898E-01,-3.49682339E-01,+7.82594410E-01,-2.67838004E+00
+4.00000000E-02,+0.00000000E+00,-2.03462117E-01,+3.56425083E-01,+4.10409153E-01,+2.08949953E+00,-6.99991312E-01,-3.49724371E-01,+7.82492794E-01,-2.67825514E+00
+5.00000000E-02,+0.00000000E+00,-2.03241535E-01,+3.56260939E-01,+4.10157260E-01,+2.08923087E+00,-6.99817847E-01,-3.49778566E-01,+7.82361850E-01,-2.67809407E+00
+6.00000000E-02,+0.00000000E+00,-2.02971942E-01,+3.56060064E-01,+4.09849214E-01,+2.08890239E+00,-6.99605180E-01,-3.49845042E-01,+7.82201356E-01,-2.67789650E+00
+7.00000000E-02,+0.00000000E+00,-2.02653343E-01,+3.55822305E-01,+4.09484908E-01,+2.08851400E+00,-6.99352917E-01,-3.49923939E-01,+7.82011039E-01,-2.67766199E+00
+8.00000000E-02,+0.00000000E+00,-2.02285743E-01,+3.55547482E-01,+4.09064217E-01,+2.08806562E+00,-6.99060588E-01,-3.50015427E-01,+7.81790575E-01,-2.67739002E+00
+9.00000000E-02,+0.00000000E+00,-2.01869150E-01,+3.55235384E-01,+4.08586994E-01,+2.08755714E+00,-6.98727647E-01,-3.50119698E-01,+7.81539588E-01,-2.67707999E+00
+1.00000000E-01,+0.00000000E+00,-2.01403572E-01,+3.54885773E-01,+4.08053074E-01,+2.08698846E+00,-6.98353473E-01,-3.50236972E-01,+7.81257646E-01,-2.67673123E+00
+1.10000000E-01,+0.00000000E+00,-2.00889018E-01,+3.54498384E-01,+4.07462271E-01,+2.08635943E+00,-6.97937363E-01,-3.50367497E-01,+7.80944265E-01,-2.67634296E+00
+1.20000000E-01,+0.00000000E+00,-2.00325500E-01,+3.54072921E-01,+4.06814379E-01,+2.08566991E+00,-6.97478535E-01,-3.50511542E-01,+7.80598903E-01,-2.67591433E+00
+1.30000000E-01,+0.00000000E+00,-1.99713029E-01,+3.53609059E-01,+4.06109173E-01,+2.08491974E+00,-6.96976122E-01,-3.50669408E-01,+7.80220961E-01,-2.67544440E+00
+1.40000000E-01,+0.00000000E+00,-1.99051621E-01,+3.53106443E-01,+4.05346405E-01,+2.08410875E+00,-6.96429173E-01,-3.50841416E-01,+7.79809780E-01,-2.67493212E+00
+1.50000000E-01,+0.00000000E+00,-1.98341292E-01,+3.52564689E-01,+4.04525807E-01,+2.08323675E+00,-6.95836647E-01,-3.51027919E-01,+7.79364638E-01,-2.67437635E+00
+1.60000000E-01,+0.00000000E+00,-1.97582061E-01,+3.51983384E-01,+4.03647091E-01,+2.08230353E+00,-6.95197412E-01,-3.51229290E-01,+7.78884751E-01,-2.67377587E+00
+1.70000000E-01,+0.00000000E+00,-1.96773949E-01,+3.51362083E-01,+4.02709946E-01,+2.08130888E+00,-6.94510239E-01,-3.51445933E-01,+7.78369267E-01,-2.67312935E+00
