s,n,Re(f_ibc0.tm),Im(f_ibc0.tm),Abs(f_ibc0.tm),Arg(f_ibc0.tm),Re(f_ibc0.te),Im(f_ibc0.te),Abs(f_ibc0.te),Arg(f_ibc0.te)
+0.00000000E+00,+0.00000000E+00,-2.03854277E-01,+3.56716432E-01,+4.10856641E-01,+2.08997692E+00,-8.69343361E-01,-1.37168417E-01,+8.80098321E-01,-2.98509888E+00
+1.00000000E-02,+0.00000000E+00,-2.03828575E-01,+3.56697854E-01,+4.10827758E-01,+2.08994504E+00,-8.69336665E-01,-1.37165155E-01,+8.80091198E-01,-2.98510136E+00
+2.00000000E-02,+0.00000000E+00,-2.03751469E-01,+3.56642105E-01,+4.10741101E-01,+2.08984939E+00,-8.69316563E-01,-1.37155387E-01,+8.80069819E-01,-2.98510876E+00
+3.00000000E-02,+0.00000000E+00,-2.03622964E-01,+3.56549142E-01,+4.10596641E-01,+2.08968995E+00,-8.69283009E-01,-1.37139170E-01,+8.80034148E-01,-2.98512102E+00
+4.00000000E-02,+0.00000000E+00,-2.03443067E-01,+3.56418892E-01,+4.10394332E-01,+2.08946670E+00,-8.69235929E-01,-1.37116597E-01,+8.79984125E-01,-2.98513802E+00
+5.00000000E-02,+0.00000000E+00,-2.03211789E-01,+3.56251254E-01,+4.10134108E-01,+2.08917958E+00,-8.69175216E-01,-1.37087797E-01,+8.79919667E-01,-2.98515960E+00
+6.00000000E-02,+0.00000000E+00,-2.02929141E-01,+3.56046097E-01,+4.09815885E-01,+2.08882853E+00,-8.69100736E-01,-1.37052941E-01,+8.79840667E-01,-2.98518555E+00
+7.00000000E-02,+0.00000000E+00,-2.02595142E-01,+3.55803261E-01,+4.09439559E-01,+2.08841350E+00,-8.69012322E-01,-1.37012235E-01,+8.79746991E-01,-2.98521560E+00
+8.00000000E-02,+0.00000000E+00,-2.02209810E-01,+3.55522558E-01,+4.09005008E-01,+2.08793439E+00,-8.68909774E-01,-1.36965927E-01,+8.79638483E-01,-2.98524944E+00
+9.00000000E-02,+0.00000000E+00,-2.01773167E-01,+3.55203769E-01,+4.08512091E-01,+2.08739110E+00,-8.68792864E-01,-1.36914302E-01,+8.79514961E-01,-2.98528673E+00
+1.00000000E-01,+0.00000000E+00,-2.01285240E-01,+3.54846645E-01,+4.07960647E-01,+2.08678353E+00,-8.68661327E-01,-1.36857690E-01,+8.79376216E-01,-2.98532704E+00
+1.10000000E-01,+0.00000000E+00,-2.00746059E-01,+3.54450908E-01,+4.07350496E-01,+2.08611156E+00,-8.68514869E-01,-1.36796460E-01,+8.79222013E-01,-2.98536990E+00
+1.20000000E-01,+0.00000000E+00,-2.00155657E-01,+3.54016250E-01,+4.06681438E-01,+2.08537504E+00,-8.68353158E-01,-1.36731025E-01,+8.79052092E-01,-2.98541481E+00
+1.30000000E-01,+0.00000000E+00,-1.99514071E-01,+3.53542333E-01,+4.05953256E-01,+2.08457383E+00,-8.68175829E-01,-1.36661844E-01,+8.78866162E-01,-2.98546119E+00
+1.40000000E-01,+0.00000000E+00,-1.98821343E-01,+3.53028788E-01,+4.05165709E-01,+2.08370776E+00,-8.67982481E-01,-1.36589421E-01,+8.78663905E-01,-2.98550839E+00
+1.50000000E-01,+0.00000000E+00,-1.98077518E-01,+3.52475215E-01,+4.04318538E-01,+2.08277666E+00,-8.67772674E-01,-1.36514309E-01,+8.78444973E-01,-2.98555573E+00
+1.60000000E-01,+0.00000000E+00,-1.97282648E-01,+3.51881183E-01,+4.03411465E-01,+2.08178034E+00,-8.67545930E-01,-1.36437109E-01,+8.78208988E-01,-2.98560245E+00
+1.70000000E-01,+0.00000000E+00,-1.96436787E-01,+3.51246229E-01,+4.02444188E-01,+2.08071858E+00,-8.67301732E-01,-1.36358475E-01,+8.77955539E-01,-2.98564771E+00
+1.80000000E-01,+0.00000000E+00,-1.95539996E-01,+3.50569860E-01,+4.01416389E-01,+2.07959116E+00,-8.67039519E-01,-1.36279115E-01,+8.77684183E-01,-2.98569063E+00
+1.90000000E-01,+0.00000000E+00,-1.94592341E-01,+3.49851550E-01,+4.00327723E-01,+2.07839787E+00,-8.66758688E-01,-1.36199795E-01,+8.77394442E-01,-2.98573024E+00
+2.00000000E-01,+0.00000000E+00,-1.93593894E-01,+3.49090738E-01,+3.99177829E-01,+2.07713843E+00,-8.66458589E-01,-1.36121337E-01,+8.77085802E-01,-2.98576550E+00
+2.10000000E-01,+0.00000000E+00,-1.92544732E-01,+3.48286834E-01,+3.97966321E-01,+2.07581259E+00,-8.66138525E-01,-1.36044628E-01,+8.76757712E-01,-2.98579527E+00
+2.20000000E-01,+0.00000000E+00,-1.91444941E-01,+3.47439212E-01,+3.96692792E-01,+2.07442007E+00,-8.65797750E-01,-1.35970618E-01,+8.76409581E-01,-2.98581836E+00
+2.30000000E-01,+0.00000000E+00,-1.90294611E-01,+3.46547213E-01,+3.95356813E-01,+2.07296057E+00,-8.65435463E-01,-1.35900328E-01,+8.76040775E-01,-2.98583347E+00
+2.40000000E-01,+0.00000000E+00,-1.89093842E-01,+3.45610141E-01,+3.93957930E-01,+2.07143378E+00,-8.65050808E-01,-1.35834848E-01,+8.75650619E-01,-2.98583919E+00
+2.50000000E-01,+0.00000000E+00,-1.87842740E-01,+3.44627269E-01,+3.92495668E-01,+2.06983937E+00,-8.64642871E-01,-1.35775347E-01,+8.75238390E-01,-2.98583405E+00
+2.60000000E-01,+0.00000000E+00,-1.86541421E-01,+3.43597831E-01,+3.90969527E-01,+2.06817700E+00,-8.64210676E-01,-1.35723074E-01,+8.74803318E-01,-2.98581644E+00
+2.70000000E-01,+0.00000000E+00,-1.85190008E-01,+3.42521026E-01,+3.89378983E-01,+2.06644629E+00,-8.63753177E-01,-1.35679363E-01,+8.74344578E-01,-2.98578465E+00
+2.80000000E-01,+0.00000000E+00,-1.83788636E-01,+3.41396017E-01,+3.87723488E-01,+2.06464689E+00,-8.63269264E-01,-1.35645637E-01,+8.73861294E-01,-2.98573684E+00
+2.90000000E-01,+0.00000000E+00,-1.82337447E-01,+3.40221927E-01,+3.86002467E-01,+2.06277837E+00,-8.62757746E-01,-1.35623416E-01,+8.73352529E-01,-2.98567106E+00
+3.00000000E-01,+0.00000000E+00,-1.80836596E-01,+3.38997843E-01,+3.84215319E-01,+2.06084034E+00,-8.62217356E-01,-1.35614321E-01,+8.72817285E-01,-2.98558521E+00
+3.10000000E-01,+0.00000000E+00,-1.79286248E-01,+3.37722810E-01,+3.82361420E-01,+2.05883235E+00,-8.61646740E-01,-1.35620080E-01,+8.72254498E-01,-2.98547705E+00
+3.20000000E-01,+0.00000000E+00,-1.77686582E-01,+3.36395836E-01,+3.80440113E-01,+2.05675395E+00,-8.61044451E-01,-1.35642538E-01,+8.71663034E-01,-2.98534416E+00
+3.30000000E-01,+0.00000000E+00,-1.76037787E-01,+3.35015886E-01,+3.78450719E-01,+2.05460466E+00,-8.60408945E-01,-1.35683659E-01,+8.71041680E-01,-2.98518399E+00
+3.40000000E-01,+0.00000000E+00,-1.74340068E-01,+3.33581885E-01,+3.76392526E-01,+2.05238400E+00,-8.59738573E-01,-1.35745537E-01,+8.70389145E-01,-2.98499379E+00
+3.50000000E-01,+0.00000000E+00,-1.72593643E-01,+3.32092713E-01,+3.74264794E-01,+2.05009144E+00,-8.59031568E-01,-1.35830407E-01,+8.69704050E-01,-2.98477062E+00
+3.60000000E-01,+0.00000000E+00,-1.70798745E-01,+3.30547209E-01,+3.72066753E-01,+2.04772645E+00,-8.58286042E-01,-1.35940648E-01,+8.68984919E-01,-2.98451132E+00
+3.70000000E-01,+0.00000000E+00,-1.68955625E-01,+3.28944165E-01,+3.69797603E-01,+2.04528847E+00,-8.57499973E-01,-1.36078799E-01,+8.68230178E-01,-2.98421253E+00
+3.80000000E-01,+0.00000000E+00,-1.67064549E-01,+3.27282328E-01,+3.67456509E-01,+2.04277691E+00,-8.56671193E-01,-1.36247566E-01,+8.67438143E-01,-2.98387063E+00
+3.90000000E-01,+0.00000000E+00,-1.65125803E-01,+3.25560398E-01,+3.65042605E-01,+2.04019117E+00,-8.55797376E-01,-1.36449835E-01,+8.66607008E-01,-2.98348175E+00
