s1,s2,Re(r_ex.11),Im(r_ex.11),Abs(r_ex.11),Arg(r_ex.11),Re(r_ex.21),Im(r_ex.21),Abs(r_ex.21),Arg(r_ex.21),Re(r_ex.12),Im(r_ex.12),Abs(r_ex.12),Arg(r_ex.12),Re(r_ex.22),Im(r_ex.22),Abs(r_ex.22),Arg(r_ex.22)
+0.00000000E+00,+0.00000000E+00,-5.79169991E-01,-6.62264595E-01,+8.79791039E-01,-2.28935984E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.79169991E-01,-6.62264595E-01,+8.79791039E-01,-2.28935984E+00
+1.00000000E-02,+0.00000000E+00,-5.79192900E-01,-6.62246995E-01,+8.79792872E-01,-2.28939261E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.79141456E-01,-6.62284815E-01,+8.79787475E-01,-2.28932030E+00
+2.00000000E-02,+0.00000000E+00,-5.79261637E-01,-6.62194183E-01,+8.79798375E-01,-2.28949094E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.79055825E-01,-6.62345483E-01,+8.79776783E-01,-2.28920164E+00
+3.00000000E-02,+0.00000000E+00,-5.79376233E-01,-6.62106122E-01,+8.79807556E-01,-2.28965488E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.78913021E-01,-6.62446627E-01,+8.79758955E-01,-2.28900376E+00
+4.00000000E-02,+0.00000000E+00,-5.79536736E-01,-6.61982747E-01,+8.79820428E-01,-2.28988451E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.78712914E-01,-6.62588294E-01,+8.79733985E-01,-2.28872652E+00
+5.00000000E-02,+0.00000000E+00,-5.79743218E-01,-6.61823972E-01,+8.79837012E-01,-2.29017995E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.78455322E-01,-6.62770550E-01,+8.79701859E-01,-2.28836969E+00
+6.00000000E-02,+0.00000000E+00,-5.79995767E-01,-6.61629682E-01,+8.79857333E-01,-2.29054136E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.78140009E-01,-6.62993478E-01,+8.79662561E-01,-2.28793299E+00
+7.00000000E-02,+0.00000000E+00,-5.80294494E-01,-6.61399738E-01,+8.79881420E-01,-2.29096894E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.77766687E-01,-6.63257182E-01,+8.79616072E-01,-2.28741608E+00
+8.00000000E-02,+0.00000000E+00,-5.80639530E-01,-6.61133975E-01,+8.79909312E-01,-2.29146289E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.77335013E-01,-6.63561784E-01,+8.79562368E-01,-2.28681854E+00
+9.00000000E-02,+0.00000000E+00,-5.81031026E-01,-6.60832202E-01,+8.79941051E-01,-2.29202349E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.76844592E-01,-6.63907425E-01,+8.79501423E-01,-2.28613991E+00
