%              s1              s2   Re(r_ibc0.11)   Im(r_ibc0.11)  Abs(r_ibc0.11)  Arg(r_ibc0.11)   Re(r_ibc0.21)   Im(r_ibc0.21)  Abs(r_ibc0.21)  Arg(r_ibc0.21)   Re(r_ibc0.12)   Im(r_ibc0.12)  Abs(r_ibc0.12)  Arg(r_ibc0.12)   Re(r_ibc0.22)   Im(r_ibc0.22)  Abs(r_ibc0.22)  Arg(r_ibc0.22)
  +0.00000000E+00 +0.00000000E+00 -5.79169991E-01 -6.62264595E-01 +8.79791039E-01 -2.28935984E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.79169991E-01 -6.62264595E-01 +8.79791039E-01 -2.28935984E+00
  +1.00000000E-02 +0.00000000E+00 -5.79197570E-01 -6.62245416E-01 +8.79794758E-01 -2.28939779E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.79142410E-01 -6.62283774E-01 +8.79787320E-01 -2.28932189E+00
  +2.00000000E-02 +0.00000000E+00 -5.79280317E-01 -6.62187864E-01 +8.79805918E-01 -2.28951165E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.79059641E-01 -6.62341320E-01 +8.79776161E-01 -2.28920801E+00
  +3.00000000E-02 +0.00000000E+00 -5.79418254E-01 -6.62091899E-01 +8.79824526E-01 -2.28970146E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.78921611E-01 -6.62437262E-01 +8.79757556E-01 -2.28901812E+00
  +4.00000000E-02 +0.00000000E+00 -5.79611423E-01 -6.61957453E-01 +8.79850596E-01 -2.28996731E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.78728191E-01 -6.62571646E-01 +8.79731496E-01 -2.28875204E+00
  +5.00000000E-02 +0.00000000E+00 -5.79859878E-01 -6.61784428E-01 +8.79884144E-01 -2.29030930E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.78479205E-01 -6.62744538E-01 +8.79697967E-01 -2.28840959E+00
  +6.00000000E-02 +0.00000000E+00 -5.80163691E-01 -6.61572703E-01 +8.79925195E-01 -2.29072756E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.78174426E-01 -6.62956022E-01 +8.79656952E-01 -2.28799046E+00
  +7.00000000E-02 +0.00000000E+00 -5.80522950E-01 -6.61322125E-01 +8.79973777E-01 -2.29122226E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.77813572E-01 -6.63206202E-01 +8.79608431E-01 -2.28749434E+00
  +8.00000000E-02 +0.00000000E+00 -5.80937759E-01 -6.61032514E-01 +8.80029922E-01 -2.29179360E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.77396312E-01 -6.63495201E-01 +8.79552377E-01 -2.28692081E+00
  +9.00000000E-02 +0.00000000E+00 -5.81408238E-01 -6.60703663E-01 +8.80093671E-01 -2.29244181E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -0.00000000E+00 -0.00000000E+00 +0.00000000E+00 -3.14159265E+00 -5.76922260E-01 -6.63823161E-01 +8.79488762E-01 -2.28626941E+00
