s1,s2,Re(z_ex.tm),Im(z_ex.tm),Abs(z_ex.tm),Arg(z_ex.tm),Re(z_ex.te),Im(z_ex.te),Abs(z_ex.te),Arg(z_ex.te)
+0.00000000E+00,+0.00000000E+00,+2.26784925E-01,+1.71470317E+00,+1.72963532E+00,+1.43930051E+00,+6.20294533E-01,+2.76048748E+00,+2.82932084E+00,+1.34976297E+00
+1.00000000E-02,+0.00000000E+00,+2.26784049E-01,+1.71470047E+00,+1.72963254E+00,+1.43930081E+00,+6.20294653E-01,+2.76046530E+00,+2.82929923E+00,+1.34976121E+00
+2.00000000E-02,+0.00000000E+00,+2.26781422E-01,+1.71469239E+00,+1.72962418E+00,+1.43930170E+00,+6.20295016E-01,+2.76039878E+00,+2.82923441E+00,+1.34975593E+00
+3.00000000E-02,+0.00000000E+00,+2.26777043E-01,+1.71467892E+00,+1.72961025E+00,+1.43930319E+00,+6.20295620E-01,+2.76028792E+00,+2.82912638E+00,+1.34974713E+00
+4.00000000E-02,+0.00000000E+00,+2.26770912E-01,+1.71466006E+00,+1.72959075E+00,+1.43930527E+00,+6.20296468E-01,+2.76013271E+00,+2.82897513E+00,+1.34973480E+00
+5.00000000E-02,+0.00000000E+00,+2.26763030E-01,+1.71463581E+00,+1.72956567E+00,+1.43930795E+00,+6.20297561E-01,+2.75993317E+00,+2.82878069E+00,+1.34971896E+00
+6.00000000E-02,+0.00000000E+00,+2.26753397E-01,+1.71460617E+00,+1.72953503E+00,+1.43931123E+00,+6.20298901E-01,+2.75968930E+00,+2.82854305E+00,+1.34969959E+00
+7.00000000E-02,+0.00000000E+00,+2.26742013E-01,+1.71457115E+00,+1.72949882E+00,+1.43931510E+00,+6.20300489E-01,+2.75940111E+00,+2.82826222E+00,+1.34967670E+00
+8.00000000E-02,+0.00000000E+00,+2.26728879E-01,+1.71453074E+00,+1.72945703E+00,+1.43931957E+00,+6.20302330E-01,+2.75906861E+00,+2.82793822E+00,+1.34965028E+00
+9.00000000E-02,+0.00000000E+00,+2.26713996E-01,+1.71448494E+00,+1.72940968E+00,+1.43932463E+00,+6.20304425E-01,+2.75869181E+00,+2.82757105E+00,+1.34962032E+00
+1.00000000E-01,+0.00000000E+00,+2.26697362E-01,+1.71443376E+00,+1.72935676E+00,+1.43933028E+00,+6.20306778E-01,+2.75827071E+00,+2.82716074E+00,+1.34958684E+00
+1.10000000E-01,+0.00000000E+00,+2.26678981E-01,+1.71437720E+00,+1.72929828E+00,+1.43933653E+00,+6.20309394E-01,+2.75780535E+00,+2.82670729E+00,+1.34954981E+00
+1.20000000E-01,+0.00000000E+00,+2.26658851E-01,+1.71431525E+00,+1.72923423E+00,+1.43934338E+00,+6.20312277E-01,+2.75729572E+00,+2.82621072E+00,+1.34950925E+00
+1.30000000E-01,+0.00000000E+00,+2.26636974E-01,+1.71424793E+00,+1.72916462E+00,+1.43935082E+00,+6.20315431E-01,+2.75674185E+00,+2.82567105E+00,+1.34946513E+00
+1.40000000E-01,+0.00000000E+00,+2.26613350E-01,+1.71417522E+00,+1.72908945E+00,+1.43935885E+00,+6.20318861E-01,+2.75614376E+00,+2.82508830E+00,+1.34941747E+00
+1.50000000E-01,+0.00000000E+00,+2.26587980E-01,+1.71409714E+00,+1.72900871E+00,+1.43936748E+00,+6.20322575E-01,+2.75550147E+00,+2.82446250E+00,+1.34936626E+00
+1.60000000E-01,+0.00000000E+00,+2.26560866E-01,+1.71401369E+00,+1.72892242E+00,+1.43937670E+00,+6.20326576E-01,+2.75481499E+00,+2.82379367E+00,+1.34931148E+00
+1.70000000E-01,+0.00000000E+00,+2.26532007E-01,+1.71392485E+00,+1.72883057E+00,+1.43938651E+00,+6.20330872E-01,+2.75408434E+00,+2.82308182E+00,+1.34925314E+00
+1.80000000E-01,+0.00000000E+00,+2.26501406E-01,+1.71383065E+00,+1.72873317E+00,+1.43939692E+00,+6.20335470E-01,+2.75330957E+00,+2.82232699E+00,+1.34919123E+00
+1.90000000E-01,+0.00000000E+00,+2.26469063E-01,+1.71373108E+00,+1.72863022E+00,+1.43940792E+00,+6.20340377E-01,+2.75249068E+00,+2.82152921E+00,+1.34912575E+00
+2.00000000E-01,+0.00000000E+00,+2.26434979E-01,+1.71362613E+00,+1.72852172E+00,+1.43941952E+00,+6.20345601E-01,+2.75162770E+00,+2.82068851E+00,+1.34905667E+00
+2.10000000E-01,+0.00000000E+00,+2.26399155E-01,+1.71351583E+00,+1.72840767E+00,+1.43943171E+00,+6.20351149E-01,+2.75072067E+00,+2.81980491E+00,+1.34898401E+00
+2.20000000E-01,+0.00000000E+00,+2.26361593E-01,+1.71340016E+00,+1.72828807E+00,+1.43944449E+00,+6.20357030E-01,+2.74976961E+00,+2.81887846E+00,+1.34890775E+00
+2.30000000E-01,+0.00000000E+00,+2.26322294E-01,+1.71327913E+00,+1.72816294E+00,+1.43945786E+00,+6.20363253E-01,+2.74877456E+00,+2.81790918E+00,+1.34882789E+00
+2.40000000E-01,+0.00000000E+00,+2.26281259E-01,+1.71315274E+00,+1.72803227E+00,+1.43947182E+00,+6.20369828E-01,+2.74773554E+00,+2.81689711E+00,+1.34874441E+00
+2.50000000E-01,+0.00000000E+00,+2.26238490E-01,+1.71302099E+00,+1.72789606E+00,+1.43948638E+00,+6.20376764E-01,+2.74665259E+00,+2.81584229E+00,+1.34865731E+00
+2.60000000E-01,+0.00000000E+00,+2.26193988E-01,+1.71288390E+00,+1.72775431E+00,+1.43950152E+00,+6.20384070E-01,+2.74552575E+00,+2.81474476E+00,+1.34856657E+00
+2.70000000E-01,+0.00000000E+00,+2.26147755E-01,+1.71274145E+00,+1.72760704E+00,+1.43951726E+00,+6.20391758E-01,+2.74435505E+00,+2.81360456E+00,+1.34847220E+00
+2.80000000E-01,+0.00000000E+00,+2.26099793E-01,+1.71259366E+00,+1.72745425E+00,+1.43953359E+00,+6.20399839E-01,+2.74314054E+00,+2.81242173E+00,+1.34837418E+00
+2.90000000E-01,+0.00000000E+00,+2.26050102E-01,+1.71244053E+00,+1.72729592E+00,+1.43955050E+00,+6.20408323E-01,+2.74188224E+00,+2.81119631E+00,+1.34827250E+00
+3.00000000E-01,+0.00000000E+00,+2.25998685E-01,+1.71228205E+00,+1.72713209E+00,+1.43956801E+00,+6.20417222E-01,+2.74058021E+00,+2.80992836E+00,+1.34816715E+00
+3.10000000E-01,+0.00000000E+00,+2.25945544E-01,+1.71211824E+00,+1.72696273E+00,+1.43958610E+00,+6.20426549E-01,+2.73923448E+00,+2.80861792E+00,+1.34805812E+00
+3.20000000E-01,+0.00000000E+00,+2.25890680E-01,+1.71194910E+00,+1.72678786E+00,+1.43960479E+00,+6.20436315E-01,+2.73784510E+00,+2.80726504E+00,+1.34794539E+00
+3.30000000E-01,+0.00000000E+00,+2.25834095E-01,+1.71177463E+00,+1.72660749E+00,+1.43962406E+00,+6.20446535E-01,+2.73641212E+00,+2.80586977E+00,+1.34782897E+00
+3.40000000E-01,+0.00000000E+00,+2.25775792E-01,+1.71159483E+00,+1.72642161E+00,+1.43964392E+00,+6.20457219E-01,+2.73493557E+00,+2.80443216E+00,+1.34770883E+00
+3.50000000E-01,+0.00000000E+00,+2.25715772E-01,+1.71140972E+00,+1.72623024E+00,+1.43966436E+00,+6.20468384E-01,+2.73341551E+00,+2.80295226E+00,+1.34758497E+00
+3.60000000E-01,+0.00000000E+00,+2.25654037E-01,+1.71121928E+00,+1.72603337E+00,+1.43968540E+00,+6.20480041E-01,+2.73185199E+00,+2.80143013E+00,+1.34745736E+00
+3.70000000E-01,+0.00000000E+00,+2.25590590E-01,+1.71102354E+00,+1.72583100E+00,+1.43970702E+00,+6.20492206E-01,+2.73024506E+00,+2.79986583E+00,+1.34732601E+00
+3.80000000E-01,+0.00000000E+00,+2.25525432E-01,+1.71082248E+00,+1.72562316E+00,+1.43972922E+00,+6.20504894E-01,+2.72859477E+00,+2.79825942E+00,+1.34719089E+00
+3.90000000E-01,+0.00000000E+00,+2.25458566E-01,+1.71061612E+00,+1.72540983E+00,+1.43975201E+00,+6.20518119E-01,+2.72690118E+00,+2.79661094E+00,+1.34705199E+00
+4.00000000E-01,+0.00000000E+00,+2.25389994E-01,+1.71040446E+00,+1.72519102E+00,+1.43977539E+00,+6.20531896E-01,+2.72516433E+00,+2.79492048E+00,+1.34690930E+00
