s1,s2,Re(z_ex.tm),Im(z_ex.tm),Abs(z_ex.tm),Arg(z_ex.tm),Re(z_ex.te),Im(z_ex.te),Abs(z_ex.te),Arg(z_ex.te)
+0.00000000E+00,+0.00000000E+00,+3.67014061E-01,+2.15128435E+00,+2.18236653E+00,+1.40182084E+00,+3.67014061E-01,+2.15128435E+00,+2.18236653E+00,+1.40182084E+00
+1.00000000E-02,+0.00000000E+00,+3.67015860E-01,+2.15126844E+00,+2.18235115E+00,+1.40181881E+00,+3.67012317E-01,+2.15128011E+00,+2.18236206E+00,+1.40182131E+00
+2.00000000E-02,+0.00000000E+00,+3.67021257E-01,+2.15122069E+00,+2.18230499E+00,+1.40181269E+00,+3.67007084E-01,+2.15126739E+00,+2.18234864E+00,+1.40182269E+00
+3.00000000E-02,+0.00000000E+00,+3.67030252E-01,+2.15114112E+00,+2.18222807E+00,+1.40180249E+00,+3.66998364E-01,+2.15124619E+00,+2.18232627E+00,+1.40182499E+00
+4.00000000E-02,+0.00000000E+00,+3.67042845E-01,+2.15102973E+00,+2.18212038E+00,+1.40178822E+00,+3.66986155E-01,+2.15121650E+00,+2.18229496E+00,+1.40182822E+00
+5.00000000E-02,+0.00000000E+00,+3.67059037E-01,+2.15088651E+00,+2.18198192E+00,+1.40176986E+00,+3.66970460E-01,+2.15117834E+00,+2.18225470E+00,+1.40183237E+00
+6.00000000E-02,+0.00000000E+00,+3.67078828E-01,+2.15071147E+00,+2.18181271E+00,+1.40174743E+00,+3.66951278E-01,+2.15113170E+00,+2.18220550E+00,+1.40183744E+00
+7.00000000E-02,+0.00000000E+00,+3.67102219E-01,+2.15050462E+00,+2.18161275E+00,+1.40172090E+00,+3.66928610E-01,+2.15107659E+00,+2.18214736E+00,+1.40184343E+00
+8.00000000E-02,+0.00000000E+00,+3.67129211E-01,+2.15026597E+00,+2.18138204E+00,+1.40169030E+00,+3.66902458E-01,+2.15101299E+00,+2.18208027E+00,+1.40185035E+00
+9.00000000E-02,+0.00000000E+00,+3.67159803E-01,+2.14999551E+00,+2.18112058E+00,+1.40165560E+00,+3.66872821E-01,+2.15094093E+00,+2.18200425E+00,+1.40185818E+00
+1.00000000E-01,+0.00000000E+00,+3.67193998E-01,+2.14969325E+00,+2.18082840E+00,+1.40161681E+00,+3.66839703E-01,+2.15086039E+00,+2.18191929E+00,+1.40186694E+00
+1.10000000E-01,+0.00000000E+00,+3.67231796E-01,+2.14935921E+00,+2.18050549E+00,+1.40157393E+00,+3.66803103E-01,+2.15077138E+00,+2.18182539E+00,+1.40187662E+00
+1.20000000E-01,+0.00000000E+00,+3.67273198E-01,+2.14899339E+00,+2.18015187E+00,+1.40152695E+00,+3.66763025E-01,+2.15067391E+00,+2.18172257E+00,+1.40188721E+00
+1.30000000E-01,+0.00000000E+00,+3.67318205E-01,+2.14859580E+00,+2.17976755E+00,+1.40147587E+00,+3.66719468E-01,+2.15056796E+00,+2.18161081E+00,+1.40189873E+00
+1.40000000E-01,+0.00000000E+00,+3.67366819E-01,+2.14816645E+00,+2.17935253E+00,+1.40142069E+00,+3.66672435E-01,+2.15045356E+00,+2.18149013E+00,+1.40191117E+00
+1.50000000E-01,+0.00000000E+00,+3.67419040E-01,+2.14770535E+00,+2.17890684E+00,+1.40136139E+00,+3.66621929E-01,+2.15033070E+00,+2.18136053E+00,+1.40192453E+00
+1.60000000E-01,+0.00000000E+00,+3.67474872E-01,+2.14721252E+00,+2.17843049E+00,+1.40129798E+00,+3.66567951E-01,+2.15019938E+00,+2.18122201E+00,+1.40193880E+00
+1.70000000E-01,+0.00000000E+00,+3.67534314E-01,+2.14668797E+00,+2.17792348E+00,+1.40123045E+00,+3.66510503E-01,+2.15005961E+00,+2.18107457E+00,+1.40195400E+00
+1.80000000E-01,+0.00000000E+00,+3.67597369E-01,+2.14613171E+00,+2.17738585E+00,+1.40115880E+00,+3.66449589E-01,+2.14991139E+00,+2.18091822E+00,+1.40197011E+00
+1.90000000E-01,+0.00000000E+00,+3.67664038E-01,+2.14554375E+00,+2.17681759E+00,+1.40108301E+00,+3.66385210E-01,+2.14975472E+00,+2.18075296E+00,+1.40198714E+00
+2.00000000E-01,+0.00000000E+00,+3.67734324E-01,+2.14492412E+00,+2.17621874E+00,+1.40100309E+00,+3.66317369E-01,+2.14958962E+00,+2.18057881E+00,+1.40200509E+00
+2.10000000E-01,+0.00000000E+00,+3.67808228E-01,+2.14427282E+00,+2.17558931E+00,+1.40091902E+00,+3.66246070E-01,+2.14941607E+00,+2.18039575E+00,+1.40202395E+00
+2.20000000E-01,+0.00000000E+00,+3.67885753E-01,+2.14358988E+00,+2.17492931E+00,+1.40083080E+00,+3.66171314E-01,+2.14923410E+00,+2.18020380E+00,+1.40204374E+00
+2.30000000E-01,+0.00000000E+00,+3.67966900E-01,+2.14287531E+00,+2.17423877E+00,+1.40073842E+00,+3.66093106E-01,+2.14904369E+00,+2.18000297E+00,+1.40206443E+00
+2.40000000E-01,+0.00000000E+00,+3.68051673E-01,+2.14212914E+00,+2.17351772E+00,+1.40064188E+00,+3.66011449E-01,+2.14884487E+00,+2.17979326E+00,+1.40208604E+00
+2.50000000E-01,+0.00000000E+00,+3.68140072E-01,+2.14135137E+00,+2.17276616E+00,+1.40054117E+00,+3.65926346E-01,+2.14863762E+00,+2.17957467E+00,+1.40210857E+00
+2.60000000E-01,+0.00000000E+00,+3.68232102E-01,+2.14054204E+00,+2.17198414E+00,+1.40043628E+00,+3.65837801E-01,+2.14842197E+00,+2.17934721E+00,+1.40213201E+00
+2.70000000E-01,+0.00000000E+00,+3.68327764E-01,+2.13970115E+00,+2.17117166E+00,+1.40032719E+00,+3.65745817E-01,+2.14819791E+00,+2.17911088E+00,+1.40215636E+00
+2.80000000E-01,+0.00000000E+00,+3.68427061E-01,+2.13882874E+00,+2.17032875E+00,+1.40021391E+00,+3.65650398E-01,+2.14796544E+00,+2.17886570E+00,+1.40218162E+00
+2.90000000E-01,+0.00000000E+00,+3.68529996E-01,+2.13792483E+00,+2.16945545E+00,+1.40009643E+00,+3.65551549E-01,+2.14772459E+00,+2.17861168E+00,+1.40220780E+00
+3.00000000E-01,+0.00000000E+00,+3.68636571E-01,+2.13698944E+00,+2.16855177E+00,+1.39997472E+00,+3.65449273E-01,+2.14747534E+00,+2.17834880E+00,+1.40223489E+00
+3.10000000E-01,+0.00000000E+00,+3.68746790E-01,+2.13602260E+00,+2.16761775E+00,+1.39984879E+00,+3.65343576E-01,+2.14721772E+00,+2.17807710E+00,+1.40226288E+00
+3.20000000E-01,+0.00000000E+00,+3.68860656E-01,+2.13502432E+00,+2.16665342E+00,+1.39971862E+00,+3.65234460E-01,+2.14695171E+00,+2.17779656E+00,+1.40229179E+00
+3.30000000E-01,+0.00000000E+00,+3.68978172E-01,+2.13399464E+00,+2.16565880E+00,+1.39958421E+00,+3.65121932E-01,+2.14667734E+00,+2.17750721E+00,+1.40232160E+00
+3.40000000E-01,+0.00000000E+00,+3.69099341E-01,+2.13293358E+00,+2.16463392E+00,+1.39944553E+00,+3.65005995E-01,+2.14639461E+00,+2.17720904E+00,+1.40235233E+00
+3.50000000E-01,+0.00000000E+00,+3.69224166E-01,+2.13184118E+00,+2.16357882E+00,+1.39930259E+00,+3.64886655E-01,+2.14610353E+00,+2.17690207E+00,+1.40238395E+00
+3.60000000E-01,+0.00000000E+00,+3.69352651E-01,+2.13071745E+00,+2.16249352E+00,+1.39915537E+00,+3.64763916E-01,+2.14580410E+00,+2.17658630E+00,+1.40241649E+00
+3.70000000E-01,+0.00000000E+00,+3.69484799E-01,+2.12956243E+00,+2.16137807E+00,+1.39900385E+00,+3.64637784E-01,+2.14549633E+00,+2.17626175E+00,+1.40244993E+00
+3.80000000E-01,+0.00000000E+00,+3.69620615E-01,+2.12837615E+00,+2.16023250E+00,+1.39884803E+00,+3.64508264E-01,+2.14518023E+00,+2.17592842E+00,+1.40248427E+00
+3.90000000E-01,+0.00000000E+00,+3.69760101E-01,+2.12715864E+00,+2.15905684E+00,+1.39868789E+00,+3.64375361E-01,+2.14485581E+00,+2.17558632E+00,+1.40251951E+00
+4.00000000E-01,+0.00000000E+00,+3.69903262E-01,+2.12590993E+00,+2.15785112E+00,+1.39852342E+00,+3.64239082E-01,+2.14452307E+00,+2.17523546E+00,+1.40255566E+00
+4.10000000E-01,+0.00000000E+00,+3.70050101E-01,+2.12463006E+00,+2.15661539E+00,+1.39835461E+00,+3.64099431E-01,+2.14418203E+00,+2.17487586E+00,+1.40259271E+00
+4.20000000E-01,+0.00000000E+00,+3.70200622E-01,+2.12331904E+00,+2.15534968E+00,+1.39818144E+00,+3.63956415E-01,+2.14383270E+00,+2.17450751E+00,+1.40263065E+00
+4.30000000E-01,+0.00000000E+00,+3.70354830E-01,+2.12197693E+00,+2.15405404E+00,+1.39800390E+00,+3.63810040E-01,+2.14347507E+00,+2.17413043E+00,+1.40266950E+00
+4.40000000E-01,+0.00000000E+00,+3.70512728E-01,+2.12060376E+00,+2.15272850E+00,+1.39782197E+00,+3.63660311E-01,+2.14310917E+00,+2.17374464E+00,+1.40270924E+00
+4.50000000E-01,+0.00000000E+00,+3.70674321E-01,+2.11919955E+00,+2.15137310E+00,+1.39763564E+00,+3.63507236E-01,+2.14273500E+00,+2.17335013E+00,+1.40274988E+00
+4.60000000E-01,+0.00000000E+00,+3.70839613E-01,+2.11776436E+00,+2.14998788E+00,+1.39744489E+00,+3.63350820E-01,+2.14235257E+00,+2.17294693E+00,+1.40279141E+00
+4.70000000E-01,+0.00000000E+00,+3.71008608E-01,+2.11629820E+00,+2.14857289E+00,+1.39724972E+00,+3.63191069E-01,+2.14196189E+00,+2.17253504E+00,+1.40283384E+00
+4.80000000E-01,+0.00000000E+00,+3.71181312E-01,+2.11480113E+00,+2.14712817E+00,+1.39705009E+00,+3.63027992E-01,+2.14156298E+00,+2.17211448E+00,+1.40287716E+00
+4.90000000E-01,+0.00000000E+00,+3.71357728E-01,+2.11327318E+00,+2.14565377E+00,+1.39684601E+00,+3.62861593E-01,+2.14115583E+00,+2.17168525E+00,+1.40292137E+00
+5.00000000E-01,+0.00000000E+00,+3.71537861E-01,+2.11171439E+00,+2.14414972E+00,+1.39663744E+00,+3.62691881E-01,+2.14074047E+00,+2.17124737E+00,+1.40296647E+00
+5.10000000E-01,+0.00000000E+00,+3.71721716E-01,+2.11012479E+00,+2.14261608E+00,+1.39642437E+00,+3.62518863E-01,+2.14031689E+00,+2.17080085E+00,+1.40301246E+00
+5.20000000E-01,+0.00000000E+00,+3.71909297E-01,+2.10850444E+00,+2.14105290E+00,+1.39620679E+00,+3.62342545E-01,+2.13988513E+00,+2.17034570E+00,+1.40305933E+00
+5.30000000E-01,+0.00000000E+00,+3.72100610E-01,+2.10685338E+00,+2.13946022E+00,+1.39598468E+00,+3.62162935E-01,+2.13944517E+00,+2.16988194E+00,+1.40310709E+00
+5.40000000E-01,+0.00000000E+00,+3.72295660E-01,+2.10517163E+00,+2.13783808E+00,+1.39575802E+00,+3.61980040E-01,+2.13899705E+00,+2.16940958E+00,+1.40315574E+00
