theta,Mie,CI0,CI3,CI3+CSU,CI3*+CSU
0,5.08760787,10.5181637,5.12395641,5.54325753,5.14059133
0.1,5.08757471,10.5158405,5.12392056,5.54326518,5.14054867
0.2,5.08747524,10.5088713,5.12381303,5.54328813,5.14042073
0.3,5.08730956,10.4972574,5.12363391,5.54332638,5.14020763
0.4,5.08707782,10.4810009,5.12338335,5.54337989,5.13990955
0.5,5.08678022,10.460105,5.12306154,5.54344865,5.13952678
0.6,5.08641703,10.434574,5.12266874,5.54353262,5.13905965
0.7,5.08598858,10.404413,5.12220526,5.54363175,5.13850859
0.8,5.08549524,10.369629,5.12167148,5.543746,5.1378741
0.9,5.08493748,10.33023,5.12106781,5.54387531,5.13715675
1,5.08431578,10.286226,5.12039474,5.5440196,5.13635721
1.1,5.0836307,10.237629,5.11965282,5.54417882,5.13547619
1.2,5.08288287,10.1844531,5.11884262,5.54435288,5.13451449
1.3,5.08207296,10.1267152,5.11796481,5.54454168,5.133473
1.4,5.08120169,10.0644351,5.11702009,5.54474514,5.13235266
1.5,5.08026985,9.99763598,5.11600921,5.54496315,5.13115448
1.6,5.07927829,9.926345,5.114933,5.54519559,5.12987957
1.7,5.0782279,9.85059367,5.11379232,5.54544236,5.12852908
1.8,5.07711964,9.77041854,5.11258809,5.54570333,5.12710425
1.9,5.0759545,9.68586183,5.11132129,5.54597836,5.12560639
2,5.07473355,9.59697217,5.10999294,5.54626731,5.12403686
2.1,5.0734579,9.50380539,5.10860413,5.54657004,5.1223971
2.2,5.07212871,9.40642541,5.107156,5.5468864,5.12068861
2.3,5.0707472,9.30490522,5.10564971,5.54721622,5.11891297
2.4,5.06931461,9.1993279,5.10408652,5.54755933,5.11707181
2.5,5.06783228,9.08978779,5.1024677,5.54791557,5.11516682
2.6,5.06630155,8.97639173,5.10079458,5.54828474,5.11319975
2.7,5.06472383,8.85926038,5.09906855,5.54866668,5.11117243
2.8,5.06310058,8.73852964,5.09729105,5.54906117,5.10908673
2.9,5.06143329,8.61435215,5.09546354,5.54946801,5.10694457
3,5.0597235,8.48689891,5.09358756,5.54988702,5.10474795
3.1,5.0579728,8.35636089,5.09166467,5.55031796,5.10249889
3.2,5.05618281,8.22295072,5.08969648,5.55076062,5.1001995
3.3,5.0543552,8.08690446,5.08768467,5.55121479,5.09785192
3.4,5.05249167,7.94848323,5.08563093,5.55168022,5.09545833
3.5,5.05059396,7.80797492,5.083537,5.55215668,5.09302097
3.6,5.04866386,7.66569566,5.08140467,5.55264392,5.09054212
3.7,5.04670316,7.52199125,5.07923577,5.55314172,5.08802411
3.8,5.04471373,7.3772382,5.07703216,5.5536498,5.0854693
3.9,5.04269744,7.23184453,5.07479574,5.55416792,5.08288009
4,5.04065619,7.0862501,5.07252846,5.5546958,5.08025893
4.1,5.03859193,6.94092633,5.07023229,5.55523319,5.07760829
