theta,Mie,CI0,CI3,CI3+CSU,CI3*+CSU
0,5.08760787,10.5181637,5.12395641,5.54325753,5.14059133
0.1,5.08760132,10.5174175,5.12395777,5.5432587,5.14057557
0.2,5.08758165,10.5151791,5.12396183,5.54326224,5.1405283
0.3,5.08754885,10.5114495,5.1239685,5.54326813,5.14044957
0.4,5.08750289,10.5062298,5.12397767,5.54327641,5.14033942
0.5,5.08744374,10.4995222,5.12398914,5.54328708,5.14019796
0.6,5.08737134,10.4913289,5.12400271,5.54330017,5.14002529
0.7,5.08728563,10.4816531,5.12401807,5.5433157,5.13982154
0.8,5.08718656,10.4704982,5.12403492,5.54333372,5.13958689
0.9,5.08707403,10.4578685,5.12405287,5.54335424,5.13932152
1,5.08694796,10.4437687,5.12407149,5.54337733,5.13902563
1.1,5.08680826,10.428204,5.12409032,5.54340302,5.13869946
1.2,5.08665481,10.4111802,5.12410884,5.54343136,5.13834326
1.3,5.08648751,10.3927039,5.12412649,5.54346241,5.13795732
1.4,5.08630623,10.3727822,5.12414266,5.54349623,5.13754193
1.5,5.08611084,10.3514225,5.1241567,5.54353288,5.13709742
1.6,5.08590122,10.3286334,5.12416793,5.54357242,5.13662414
1.7,5.08567723,10.3044236,5.12417562,5.54361493,5.13612244
1.8,5.08543871,10.2788027,5.12417901,5.54366048,5.13559273
1.9,5.08518553,10.251781,5.12417729,5.54370914,5.1350354
2,5.08491752,10.2233692,5.12416963,5.54376099,5.13445088
2.1,5.08463455,10.193579,5.12415516,5.54381611,5.13383962
2.2,5.08433645,10.1624226,5.124133,5.54387458,5.13320208
2.3,5.08402307,10.1299129,5.12410222,5.54393649,5.13253875
2.4,5.08369426,10.0960636,5.12406188,5.54400192,5.13185011
2.5,5.08334986,10.0608891,5.124011,5.54407095,5.13113669
2.6,5.08298973,10.0244045,5.1239486,5.54414368,5.13039902
2.7,5.08261371,9.98662579,5.12387367,5.5442202,5.12963764
2.8,5.08222166,9.94756955,5.1237852,5.54430058,5.12885311
2.9,5.08181345,9.90725329,5.12368216,5.54438492,5.12804601
3,5.08138895,9.86569528,5.12356351,5.54447331,5.12721692
3.1,5.08094804,9.8229146,5.12342822,5.54456583,5.12636644
3.2,5.08049059,9.77893117,5.12327524,5.54466257,5.12549517
3.3,5.08001651,9.73376577,5.12310354,5.54476361,5.12460375
3.4,5.0795257,9.68744002,5.12291207,5.54486903,5.12369279
3.5,5.07901809,9.63997641,5.12269983,5.54497892,5.12276294
3.6,5.0784936,9.59139831,5.12246579,5.54509335,5.12181484
3.7,5.07795218,9.54173001,5.12220896,5.54521239,5.12084915
3.8,5.07739379,9.49099665,5.12192838,5.54533613,5.11986653
3.9,5.07681841,9.43922433,5.12162309,5.54546463,5.11886764
4,5.07622604,9.38644002,5.12129216,5.54559795,5.11785316
4.1,5.07561667,9.33267165,5.12093472,5.54573615,5.11682376
4.2,5.07499036,9.27794804,5.1205499,5.5458793,5.11578013
4.3,5.07434715,9.22229896,5.1201369,5.54602745,5.11472295
4.4,5.0736871,9.16575507,5.11969493,5.54618064,5.11365289
4.5,5.07301033,9.10834798,5.11922327,5.54633892,5.11257066
4.6,5.07231694,9.0501102,5.11872125,5.54650232,5.11147693
4.7,5.07160708,8.99107514,5.11818825,5.54667088,5.1103724
4.8,5.07088091,8.9312771,5.11762369,5.54684463,5.10925776
4.9,5.07013862,8.87075126,5.11702709,5.54702358,5.10813368
5,5.06938043,8.80953366,5.11639799,5.54720776,5.10700085
5.1,5.06860659,8.74766117,5.11573603,5.54739716,5.10585996
5.2,5.06781735,8.68517148,5.1150409,5.5475918,5.10471169
5.3,5.06701302,8.62210306,5.11431237,5.54779167,5.10355671
5.4,5.06619392,8.5584951,5.11355029,5.54799675,5.10239569
5.5,5.06536041,8.49438754,5.11275459,5.54820704,5.10122931
5.6,5.06451286,8.42982095,5.11192527,5.5484225,5.10005821
5.7,5.06365168,8.36483655,5.11106241,5.54864311,5.09888307
5.8,5.06277731,8.2994761,5.11016619,5.54886883,5.09770453
5.9,5.06189022,8.23378191,5.10923687,5.5490996,5.09652324
6,5.0609909,8.16779671,5.10827479,5.54933538,5.09533983
6.1,5.06007987,8.10156365,5.10728039,5.54957612,5.09415493
6.2,5.05915768,8.03512617,5.10625419,5.54982173,5.09296918
6.3,5.05822491,7.96852798,5.10519681,5.55007216,5.09178318
6.4,5.05728217,7.90181296,5.10410894,5.55032731,5.09059753
6.5,5.0563301,7.83502507,5.10299138,5.5505871,5.08941285
6.6,5.05536934,7.76820828,5.10184502,5.55085143,5.08822972
6.7,5.0544006,7.7014065,5.10067082,5.55112021,5.08704873
6.8,5.05342457,7.63466342,5.09946986,5.55139332,5.08587043
6.9,5.052442,7.56802252,5.09824327,5.55167066,5.08469541
7,5.05145364,7.50152687,5.09699229,5.55195209,5.08352421
7.1,5.05046028,7.43521911,5.09571823,5.55223749,5.08235738
7.2,5.04946272,7.36914132,5.0944225,5.55252673,5.08119544
7.3,5.04846178,7.30333491,5.09310656,5.55281967,5.08003894
7.4,5.04745831,7.23784055,5.09177198,5.55311616,5.07888838
7.5,5.04645317,7.17269807,5.09042037,5.55341605,5.07774428
7.6,5.04544724,7.10794632,5.08905342,5.55371919,5.07660712
7.7,5.0444414,7.04362315,5.08767291,5.55402541,5.07547739
7.8,5.04343657,6.97976524,5.08628063,5.55433455,5.07435558
7.9,5.04243367,6.91640809,5.08487848,5.55464644,5.07324214
8,5.04143362,6.85358587,5.08346837,5.5549609,5.07213754
8.1,5.04043737,6.79133139,5.08205228,5.55527776,5.07104223
8.2,5.03944585,6.72967602,5.08063223,5.55559684,5.06995664
8.3,5.03846002,6.6686496,5.07921027,5.55591794,5.06888121
8.4,5.03748083,6.60828043,5.07778849,5.55624088,5.06781635
8.5,5.03650925,6.54859516,5.076369,5.55656548,5.06676248
8.6,5.03554622,6.4896188,5.07495391,5.55689154,5.06571999
8.7,5.0345927,6.4313747,5.07354539,5.55721885,5.0646893
8.8,5.03364963,6.37388446,5.07214558,5.55754724,5.06367077
8.9,5.03271797,6.317168,5.07075662,5.55787649,5.06266478
9,5.03179865,6.26124347,5.06938067,5.55820642,5.06167171
9.1,5.03089258,6.20612736,5.06801986,5.55853682,5.06069192
9.2,5.03000069,6.15183443,5.0666763,5.5588675,5.05972575
