theta,Mie,CI0,CI3,CI3+CSU
0,3.27,1.35,3.17,3.20
1.00,3.27,1.35,3.17,3.20
2.00,3.28,1.34,3.18,3.20
3.00,3.28,1.34,3.18,3.21
4.00,3.29,1.33,3.19,3.22
5.00,3.30,1.32,3.20,3.23
6.00,3.32,1.30,3.22,3.24
7.00,3.33,1.29,3.23,3.26
8.00,3.35,1.28,3.25,3.28
9.00,3.37,1.27,3.28,3.30
10.00,3.39,1.26,3.30,3.32
11.00,3.42,1.26,3.33,3.35
12.00,3.45,1.26,3.36,3.38
13.00,3.48,1.27,3.39,3.41
14.00,3.51,1.28,3.43,3.45
15.00,3.55,1.30,3.46,3.49
16.00,3.59,1.34,3.50,3.53
17.00,3.63,1.38,3.55,3.57
18.00,3.67,1.44,3.59,3.61
19.00,3.71,1.51,3.64,3.66
20.00,3.76,1.59,3.69,3.71
21.00,3.81,1.68,3.74,3.76
22.00,3.86,1.78,3.80,3.82
23.00,3.91,1.90,3.85,3.87
24.00,3.97,2.03,3.91,3.93
25.00,4.02,2.17,3.97,3.99
26.00,4.08,2.32,4.03,4.05
27.00,4.14,2.48,4.09,4.11
28.00,4.20,2.65,4.15,4.17
29.00,4.25,2.82,4.22,4.23
30.00,4.31,3.00,4.28,4.29
31.00,4.37,3.18,4.34,4.35
32.00,4.43,3.36,4.40,4.42
33.00,4.49,3.54,4.47,4.48
34.00,4.55,3.72,4.53,4.54
35.00,4.60,3.90,4.59,4.60
36.00,4.66,4.08,4.65,4.66
37.00,4.71,4.26,4.70,4.71
38.00,4.77,4.43,4.76,4.77
39.00,4.82,4.59,4.81,4.82
40.00,4.86,4.75,4.86,4.87
41.00,4.91,4.90,4.91,4.92
42.00,4.95,5.05,4.96,4.97
43.00,4.99,5.18,5.00,5.01
44.00,5.03,5.31,5.04,5.05
45.00,5.06,5.43,5.08,5.09
46.00,5.09,5.54,5.11,5.12
47.00,5.12,5.65,5.14,5.15
48.00,5.15,5.74,5.16,5.17
49.00,5.17,5.82,5.19,5.19
50.00,5.18,5.90,5.20,5.21
51.00,5.20,5.96,5.22,5.23
52.00,5.21,6.02,5.23,5.24
53.00,5.21,6.06,5.23,5.24
54.00,5.21,6.10,5.23,5.24
55.00,5.21,6.12,5.23,5.24
56.00,5.21,6.13,5.23,5.24
57.00,5.20,6.14,5.22,5.23
58.00,5.19,6.13,5.21,5.22
59.00,5.17,6.12,5.19,5.20
60.00,5.15,6.09,5.17,5.18
61.00,5.13,6.06,5.15,5.16
62.00,5.11,6.02,5.13,5.14
63.00,5.09,5.97,5.10,5.11
64.00,5.06,5.91,5.07,5.09
65.00,5.04,5.84,5.04,5.06
66.00,5.01,5.77,5.01,5.03
67.00,4.98,5.69,4.99,5.00
68.00,4.96,5.61,4.96,4.97
69.00,4.93,5.52,4.93,4.95
70.00,4.91,5.43,4.91,4.92
71.00,4.89,5.34,4.88,4.90
72.00,4.87,5.26,4.86,4.88
73.00,4.86,5.17,4.85,4.86
74.00,4.85,5.09,4.83,4.85
75.00,4.84,5.02,4.83,4.84
76.00,4.84,4.95,4.83,4.84
77.00,4.85,4.90,4.83,4.84
78.00,4.86,4.85,4.84,4.85
79.00,4.88,4.82,4.86,4.87
80.00,4.90,4.81,4.88,4.89
81.00,4.93,4.82,4.91,4.92
82.00,4.97,4.84,4.95,4.96
83.00,5.01,4.88,4.99,5.00
84.00,5.06,4.94,5.04,5.05
85.00,5.11,5.01,5.09,5.10
86.00,5.17,5.11,5.15,5.16
87.00,5.23,5.21,5.22,5.23
88.00,5.30,5.33,5.29,5.29
89.00,5.37,5.46,5.36,5.37
90.00,5.44,5.60,5.44,5.44
91.00,5.52,5.75,5.52,5.52
92.00,5.60,5.90,5.60,5.60
93.00,5.67,6.05,5.68,5.68
94.00,5.75,6.21,5.76,5.76
95.00,5.83,6.36,5.84,5.84
96.00,5.91,6.51,5.92,5.92
97.00,5.98,6.65,6.00,6.00
98.00,6.06,6.79,6.07,6.07
99.00,6.13,6.92,6.14,6.15
100.00,6.19,7.04,6.21,6.21
101.00,6.26,7.15,6.27,6.28
102.00,6.31,7.25,6.33,6.34
103.00,6.37,7.34,6.39,6.39
104.00,6.42,7.42,6.44,6.44
105.00,6.46,7.48,6.48,6.48
106.00,6.50,7.53,6.51,6.52
107.00,6.53,7.57,6.54,6.55
108.00,6.55,7.59,6.57,6.57
109.00,6.57,7.59,6.59,6.59
110.00,6.58,7.58,6.60,6.60
111.00,6.59,7.56,6.60,6.61
112.00,6.59,7.52,6.60,6.60
113.00,6.58,7.47,6.59,6.59
114.00,6.57,7.40,6.57,6.58
115.00,6.55,7.31,6.55,6.56
116.00,6.53,7.22,6.53,6.53
117.00,6.51,7.11,6.50,6.50
118.00,6.48,7.00,6.47,6.47
119.00,6.45,6.87,6.43,6.44
120.00,6.42,6.75,6.40,6.40
121.00,6.39,6.62,6.37,6.37
122.00,6.37,6.49,6.34,6.34
123.00,6.35,6.38,6.32,6.32
124.00,6.34,6.29,6.31,6.31
125.00,6.34,6.22,6.31,6.31
126.00,6.36,6.18,6.33,6.33
127.00,6.40,6.19,6.37,6.36
128.00,6.45,6.24,6.43,6.42
129.00,6.54,6.35,6.52,6.51
130.00,6.65,6.51,6.63,6.62
131.00,6.79,6.74,6.78,6.77
132.00,6.96,7.02,6.96,6.94
133.00,7.16,7.35,7.17,7.15
134.00,7.40,7.72,7.41,7.39
135.00,7.66,8.14,7.68,7.67
136.00,7.96,8.58,7.98,7.97
137.00,8.28,9.04,8.31,8.30
138.00,8.62,9.52,8.66,8.65
139.00,8.98,10.00,9.02,9.01
140.00,9.36,10.49,9.41,9.40
141.00,9.74,10.98,9.80,9.79
142.00,10.14,11.46,10.20,10.19
143.00,10.54,11.93,10.60,10.59
144.00,10.95,12.39,11.01,11.00
145.00,11.35,12.84,11.41,11.41
146.00,11.75,13.28,11.81,11.81
147.00,12.15,13.71,12.21,12.21
148.00,12.54,14.12,12.60,12.60
149.00,12.92,14.52,12.98,12.99
150.00,13.30,14.90,13.36,13.36
151.00,13.67,15.27,13.72,13.73
152.00,14.02,15.62,14.08,14.08
153.00,14.37,15.96,14.42,14.43
154.00,14.70,16.29,14.76,14.76
155.00,15.02,16.60,15.08,15.08
156.00,15.33,16.90,15.39,15.39
157.00,15.63,17.18,15.68,15.69
158.00,15.92,17.45,15.97,15.97
159.00,16.19,17.71,16.24,16.24
160.00,16.45,17.95,16.50,16.50
161.00,16.70,18.19,16.74,16.75
162.00,16.94,18.40,16.98,16.98
163.00,17.16,18.61,17.20,17.20
164.00,17.37,18.80,17.41,17.41
165.00,17.56,18.98,17.60,17.61
166.00,17.75,19.15,17.78,17.79
167.00,17.92,19.31,17.95,17.96
168.00,18.08,19.45,18.11,18.12
169.00,18.22,19.58,18.25,18.26
170.00,18.35,19.71,18.39,18.39
171.00,18.47,19.81,18.51,18.51
172.00,18.58,19.91,18.61,18.62
173.00,18.68,20.00,18.71,18.71
174.00,18.76,20.07,18.79,18.79
175.00,18.83,20.13,18.86,18.86
176.00,18.88,20.19,18.91,18.92
177.00,18.93,20.23,18.96,18.96
178.00,18.96,20.25,18.99,18.99
179.00,18.98,20.27,19.01,19.01
180.00,18.99,20.28,19.01,19.02
