theta,Mie,CI0,CI3,CI3+CSU
0.00,3.27,1.35,3.17,3.20
1.00,3.28,1.35,3.18,3.20
2.00,3.29,1.35,3.19,3.21
3.00,3.30,1.35,3.21,3.23
4.00,3.33,1.35,3.23,3.26
5.00,3.36,1.36,3.27,3.29
6.00,3.40,1.38,3.31,3.33
7.00,3.45,1.41,3.36,3.38
8.00,3.50,1.47,3.41,3.43
9.00,3.56,1.54,3.48,3.50
10.00,3.62,1.64,3.55,3.56
11.00,3.70,1.77,3.62,3.64
12.00,3.77,1.93,3.71,3.72
13.00,3.86,2.13,3.80,3.81
14.00,3.94,2.35,3.89,3.90
15.00,4.04,2.61,3.99,4.00
16.00,4.13,2.89,4.09,4.10
17.00,4.23,3.19,4.20,4.21
18.00,4.33,3.51,4.31,4.31
19.00,4.44,3.84,4.42,4.43
20.00,4.54,4.18,4.53,4.54
21.00,4.65,4.53,4.64,4.65
22.00,4.76,4.87,4.76,4.76
23.00,4.86,5.21,4.87,4.87
24.00,4.97,5.54,4.98,4.98
25.00,5.07,5.86,5.09,5.09
26.00,5.17,6.17,5.19,5.20
27.00,5.26,6.47,5.30,5.30
28.00,5.35,6.75,5.39,5.39
29.00,5.44,7.01,5.48,5.49
30.00,5.52,7.26,5.57,5.57
31.00,5.59,7.48,5.65,5.65
32.00,5.66,7.69,5.72,5.72
33.00,5.72,7.88,5.78,5.78
34.00,5.77,8.05,5.83,5.84
35.00,5.81,8.20,5.88,5.88
36.00,5.84,8.33,5.91,5.92
37.00,5.86,8.44,5.94,5.94
38.00,5.87,8.53,5.95,5.96
39.00,5.87,8.59,5.95,5.96
40.00,5.86,8.64,5.94,5.95
41.00,5.84,8.66,5.92,5.93
42.00,5.81,8.66,5.89,5.90
43.00,5.76,8.64,5.84,5.85
44.00,5.70,8.59,5.78,5.79
45.00,5.63,8.52,5.71,5.72
46.00,5.54,8.43,5.62,5.63
47.00,5.44,8.31,5.52,5.53
48.00,5.32,8.16,5.40,5.42
49.00,5.20,7.99,5.27,5.29
50.00,5.05,7.78,5.12,5.14
51.00,4.90,7.55,4.96,4.98
52.00,4.73,7.29,4.79,4.81
53.00,4.54,7.00,4.60,4.62
54.00,4.35,6.67,4.40,4.42
55.00,4.14,6.30,4.19,4.21
56.00,3.93,5.90,3.96,3.98
57.00,3.70,5.46,3.73,3.75
58.00,3.48,4.98,3.49,3.51
59.00,3.25,4.45,3.26,3.28
60.00,3.02,3.89,3.02,3.04
61.00,2.80,3.28,2.79,2.81
62.00,2.60,2.65,2.58,2.59
63.00,2.42,1.99,2.38,2.39
64.00,2.26,1.32,2.21,2.22
65.00,2.13,0.69,2.08,2.08
66.00,2.05,0.13,1.99,1.99
67.00,2.00,-0.28,1.95,1.94
68.00,2.01,-0.51,1.95,1.94
69.00,2.06,-0.49,2.01,1.99
70.00,2.17,-0.24,2.12,2.09
71.00,2.31,0.21,2.27,2.24
72.00,2.49,0.81,2.46,2.43
73.00,2.71,1.49,2.69,2.66
74.00,2.95,2.20,2.94,2.91
75.00,3.21,2.90,3.21,3.18
76.00,3.48,3.59,3.49,3.46
77.00,3.75,4.24,3.78,3.74
78.00,4.02,4.85,4.06,4.03
79.00,4.29,5.41,4.34,4.31
80.00,4.55,5.93,4.61,4.57
81.00,4.79,6.40,4.86,4.83
82.00,5.02,6.83,5.10,5.07
83.00,5.23,7.22,5.32,5.29
84.00,5.42,7.57,5.52,5.49
85.00,5.59,7.88,5.69,5.67
86.00,5.74,8.15,5.84,5.82
87.00,5.86,8.38,5.97,5.95
88.00,5.96,8.57,6.07,6.05
89.00,6.03,8.72,6.15,6.13
90.00,6.08,8.84,6.20,6.18
91.00,6.10,8.93,6.22,6.20
92.00,6.08,8.97,6.20,6.19
93.00,6.04,8.98,6.16,6.15
94.00,5.96,8.94,6.09,6.08
95.00,5.85,8.87,5.98,5.97
96.00,5.70,8.76,5.83,5.83
97.00,5.52,8.60,5.65,5.65
98.00,5.29,8.39,5.42,5.42
99.00,5.02,8.14,5.15,5.16
100.00,4.71,7.82,4.83,4.84
101.00,4.34,7.45,4.46,4.47
102.00,3.91,7.02,4.03,4.05
103.00,3.42,6.50,3.54,3.55
104.00,2.85,5.90,2.97,2.99
105.00,2.21,5.20,2.31,2.34
106.00,1.46,4.38,1.56,1.59
107.00,0.61,3.40,0.70,0.73
108.00,-0.38,2.24,-0.31,-0.26
109.00,-1.54,0.82,-1.49,-1.43
110.00,-2.89,-0.96,-2.87,-2.80
111.00,-4.48,-3.30,-4.50,-4.43
112.00,-6.32,-6.64,-6.41,-6.33
113.00,-8.29,-12.30,-8.46,-8.39
114.00,-9.83,-27.32,-10.02,-10.03
115.00,-9.87,-12.84,-9.92,-10.05
116.00,-8.32,-6.70,-8.21,-8.37
117.00,-6.25,-3.11,-6.05,-6.19
118.00,-4.28,-0.57,-4.05,-4.17
119.00,-2.57,1.39,-2.32,-2.42
120.00,-1.09,2.98,-0.84,-0.93
121.00,0.19,4.30,0.44,0.36
122.00,1.30,5.42,1.55,1.48
123.00,2.27,6.40,2.52,2.45
124.00,3.14,7.24,3.37,3.32
125.00,3.90,7.99,4.14,4.08
126.00,4.58,8.65,4.81,4.77
127.00,5.19,9.22,5.42,5.38
128.00,5.74,9.74,5.97,5.93
129.00,6.24,10.19,6.46,6.42
130.00,6.69,10.58,6.90,6.87
131.00,7.09,10.93,7.30,7.27
132.00,7.46,11.23,7.67,7.63
133.00,7.80,11.48,8.00,7.96
134.00,8.11,11.70,8.30,8.27
135.00,8.39,11.88,8.57,8.54
136.00,8.65,12.02,8.83,8.80
137.00,8.90,12.14,9.07,9.04
138.00,9.14,12.22,9.29,9.27
139.00,9.36,12.29,9.51,9.48
140.00,9.59,12.33,9.72,9.70
141.00,9.81,12.35,9.93,9.91
142.00,10.03,12.36,10.14,10.12
143.00,10.27,12.37,10.36,10.34
144.00,10.51,12.37,10.59,10.57
145.00,10.76,12.38,10.83,10.81
146.00,11.02,12.41,11.08,11.07
147.00,11.30,12.45,11.35,11.34
148.00,11.59,12.52,11.63,11.62
149.00,11.90,12.63,11.93,11.92
150.00,12.22,12.77,12.24,12.23
151.00,12.55,12.96,12.56,12.55
152.00,12.89,13.19,12.89,12.89
153.00,13.23,13.45,13.23,13.23
154.00,13.58,13.76,13.58,13.57
155.00,13.93,14.09,13.92,13.92
156.00,14.27,14.45,14.27,14.27
157.00,14.62,14.82,14.61,14.61
158.00,14.96,15.21,14.95,14.95
159.00,15.29,15.60,15.29,15.29
160.00,15.61,15.99,15.61,15.61
161.00,15.93,16.38,15.93,15.93
162.00,16.23,16.75,16.23,16.23
163.00,16.51,17.12,16.52,16.52
164.00,16.79,17.47,16.80,16.80
165.00,17.05,17.80,17.06,17.06
166.00,17.30,18.11,17.31,17.31
167.00,17.53,18.41,17.54,17.54
168.00,17.74,18.68,17.75,17.76
169.00,17.94,18.94,17.95,17.96
170.00,18.12,19.17,18.14,18.14
171.00,18.28,19.38,18.30,18.31
172.00,18.43,19.57,18.45,18.46
173.00,18.56,19.73,18.58,18.59
174.00,18.67,19.88,18.70,18.70
175.00,18.77,20.00,18.79,18.80
176.00,18.85,20.10,18.87,18.88
177.00,18.91,20.18,18.93,18.94
178.00,18.95,20.23,18.98,18.98
179.00,18.98,20.27,19.00,19.01
180.00,18.99,20.28,19.01,19.02
