theta,reference,CI0,CI3,CI3+CSU
0,-5.15,3.90,-4.38,-4.50
1.00,-5.15,3.90,-4.38,-4.50
2.00,-5.15,3.90,-4.38,-4.50
3.00,-5.14,3.89,-4.38,-4.49
4.00,-5.13,3.88,-4.37,-4.48
5.00,-5.12,3.88,-4.37,-4.46
6.00,-5.10,3.87,-4.35,-4.44
7.00,-5.08,3.86,-4.34,-4.42
8.00,-5.06,3.84,-4.32,-4.39
9.00,-5.03,3.83,-4.30,-4.36
10.00,-5.00,3.81,-4.27,-4.33
11.00,-4.97,3.80,-4.24,-4.29
12.00,-4.94,3.78,-4.21,-4.26
13.00,-4.90,3.76,-4.17,-4.22
14.00,-4.86,3.74,-4.13,-4.17
15.00,-4.82,3.72,-4.09,-4.13
16.00,-4.79,3.70,-4.05,-4.08
17.00,-4.75,3.68,-4.01,-4.04
18.00,-4.71,3.65,-3.97,-3.99
19.00,-4.68,3.63,-3.93,-3.95
20.00,-4.65,3.60,-3.89,-3.92
21.00,-4.63,3.57,-3.86,-3.88
22.00,-4.61,3.54,-3.83,-3.86
23.00,-4.61,3.50,-3.82,-3.84
24.00,-4.61,3.46,-3.81,-3.84
25.00,-4.63,3.42,-3.81,-3.84
26.00,-4.66,3.37,-3.83,-3.86
27.00,-4.71,3.31,-3.87,-3.90
28.00,-4.78,3.25,-3.92,-3.96
29.00,-4.88,3.18,-4.00,-4.04
30.00,-5.00,3.09,-4.10,-4.14
31.00,-5.15,3.00,-4.23,-4.27
32.00,-5.33,2.89,-4.40,-4.43
33.00,-5.55,2.76,-4.59,-4.63
34.00,-5.82,2.62,-4.83,-4.87
35.00,-6.12,2.45,-5.11,-5.15
36.00,-6.48,2.26,-5.44,-5.48
37.00,-6.90,2.04,-5.82,-5.86
38.00,-7.38,1.79,-6.27,-6.31
39.00,-7.94,1.51,-6.78,-6.82
40.00,-8.57,1.20,-7.36,-7.40
41.00,-9.30,0.84,-8.04,-8.07
42.00,-10.13,0.44,-8.80,-8.83
43.00,-11.08,-0.01,-9.67,-9.69
44.00,-12.15,-0.52,-10.66,-10.67
45.00,-13.34,-1.08,-11.76,-11.76
46.00,-14.64,-1.72,-12.96,-12.95
47.00,-15.95,-2.43,-14.23,-14.19
48.00,-17.07,-3.22,-15.43,-15.36
49.00,-17.72,-4.11,-16.34,-16.23
50.00,-17.66,-5.09,-16.71,-16.56
51.00,-16.99,-6.17,-16.45,-16.29
52.00,-16.04,-7.35,-15.74,-15.58
53.00,-15.04,-8.61,-14.85,-14.70
54.00,-14.16,-9.86,-13.98,-13.83
55.00,-13.43,-10.99,-13.23,-13.09
56.00,-12.88,-11.79,-12.64,-12.50
57.00,-12.52,-12.10,-12.24,-12.09
58.00,-12.36,-11.91,-12.03,-11.86
59.00,-12.42,-11.39,-12.03,-11.85
60.00,-12.71,-10.73,-12.26,-12.05
61.00,-13.27,-10.08,-12.75,-12.51
62.00,-14.16,-9.51,-13.55,-13.26
63.00,-15.46,-9.05,-14.75,-14.39
64.00,-17.27,-8.70,-16.41,-15.97
65.00,-19.49,-8.45,-18.51,-18.00
66.00,-20.84,-8.26,-20.12,-19.76
67.00,-19.05,-8.10,-18.96,-19.10
68.00,-15.72,-7.89,-15.83,-16.16
69.00,-12.65,-7.58,-12.73,-13.04
70.00,-10.09,-7.10,-10.11,-10.37
71.00,-7.94,-6.42,-7.90,-8.12
72.00,-6.12,-5.56,-6.03,-6.22
73.00,-4.54,-4.57,-4.42,-4.58
74.00,-3.16,-3.51,-3.02,-3.15
75.00,-1.95,-2.43,-1.78,-1.89
76.00,-0.87,-1.36,-0.69,-0.78
77.00,0.08,-0.35,0.28,0.20
78.00,0.93,0.60,1.15,1.07
79.00,1.68,1.49,1.91,1.84
80.00,2.35,2.30,2.58,2.53
81.00,2.93,3.04,3.18,3.13
82.00,3.44,3.70,3.70,3.65
83.00,3.88,4.29,4.14,4.10
84.00,4.25,4.82,4.52,4.48
85.00,4.56,5.27,4.83,4.80
86.00,4.81,5.66,5.08,5.05
87.00,4.99,5.98,5.27,5.25
88.00,5.12,6.24,5.40,5.38
89.00,5.18,6.44,5.47,5.45
90.00,5.19,6.57,5.48,5.46
91.00,5.14,6.64,5.43,5.41
92.00,5.03,6.65,5.32,5.30
93.00,4.87,6.59,5.16,5.14
94.00,4.64,6.46,4.93,4.91
95.00,4.35,6.27,4.63,4.61
96.00,3.99,6.01,4.27,4.25
97.00,3.57,5.68,3.85,3.82
98.00,3.08,5.27,3.34,3.32
99.00,2.51,4.77,2.77,2.74
100.00,1.87,4.19,2.10,2.08
101.00,1.14,3.51,1.35,1.33
102.00,0.32,2.72,0.50,0.47
103.00,-0.60,1.80,-0.45,-0.48
104.00,-1.62,0.73,-1.53,-1.56
105.00,-2.74,-0.51,-2.73,-2.76
106.00,-3.96,-1.98,-4.06,-4.08
107.00,-5.26,-3.72,-5.51,-5.52
108.00,-6.57,-5.83,-7.03,-7.01
109.00,-7.77,-8.43,-8.46,-8.41
110.00,-8.64,-11.62,-9.53,-9.44
111.00,-9.01,-14.69,-9.94,-9.81
112.00,-8.84,-14.75,-9.62,-9.48
113.00,-8.29,-12.10,-8.83,-8.71
114.00,-7.56,-9.52,-7.89,-7.79
115.00,-6.81,-7.52,-6.98,-6.90
116.00,-6.13,-6.01,-6.17,-6.11
117.00,-5.53,-4.85,-5.50,-5.45
118.00,-5.04,-3.97,-4.95,-4.91
119.00,-4.65,-3.31,-4.53,-4.49
120.00,-4.35,-2.82,-4.21,-4.18
121.00,-4.14,-2.49,-3.99,-3.96
122.00,-4.01,-2.28,-3.86,-3.83
123.00,-3.95,-2.19,-3.80,-3.78
124.00,-3.95,-2.19,-3.82,-3.79
125.00,-4.00,-2.29,-3.90,-3.87
126.00,-4.10,-2.46,-4.02,-3.99
127.00,-4.23,-2.70,-4.20,-4.15
128.00,-4.39,-3.00,-4.40,-4.34
129.00,-4.57,-3.33,-4.62,-4.55
130.00,-4.75,-3.68,-4.84,-4.76
131.00,-4.92,-4.02,-5.06,-4.96
132.00,-5.06,-4.32,-5.25,-5.13
133.00,-5.17,-4.54,-5.39,-5.26
134.00,-5.24,-4.66,-5.48,-5.34
135.00,-5.25,-4.65,-5.51,-5.36
136.00,-5.22,-4.51,-5.47,-5.31
137.00,-5.13,-4.26,-5.37,-5.21
138.00,-5.00,-3.91,-5.21,-5.05
139.00,-4.83,-3.51,-5.00,-4.85
140.00,-4.63,-3.06,-4.77,-4.62
141.00,-4.42,-2.61,-4.50,-4.36
142.00,-4.20,-2.16,-4.23,-4.10
