theta,reference,CI0,CI3,CI3+CSU
0.00,-5.15,3.90,-4.40,-4.50
1.00,-5.15,3.90,-4.40,-4.50
2.00,-5.13,3.89,-4.39,-4.48
3.00,-5.11,3.89,-4.37,-4.46
4.00,-5.07,3.88,-4.35,-4.43
5.00,-5.03,3.87,-4.31,-4.39
6.00,-4.97,3.86,-4.27,-4.34
7.00,-4.91,3.84,-4.22,-4.28
8.00,-4.84,3.82,-4.16,-4.21
9.00,-4.76,3.80,-4.09,-4.13
10.00,-4.67,3.78,-4.02,-4.05
11.00,-4.58,3.75,-3.93,-3.96
12.00,-4.48,3.72,-3.85,-3.86
13.00,-4.37,3.68,-3.76,-3.76
14.00,-4.27,3.64,-3.66,-3.66
15.00,-4.16,3.60,-3.57,-3.56
16.00,-4.06,3.54,-3.48,-3.46
17.00,-3.96,3.49,-3.39,-3.37
18.00,-3.87,3.42,-3.31,-3.28
19.00,-3.78,3.34,-3.23,-3.20
20.00,-3.71,3.26,-3.17,-3.13
21.00,-3.66,3.16,-3.12,-3.07
22.00,-3.62,3.05,-3.09,-3.03
23.00,-3.60,2.92,-3.07,-3.02
24.00,-3.61,2.77,-3.08,-3.02
25.00,-3.65,2.60,-3.12,-3.06
26.00,-3.71,2.41,-3.19,-3.12
27.00,-3.82,2.19,-3.29,-3.22
28.00,-3.96,1.94,-3.44,-3.36
29.00,-4.14,1.65,-3.62,-3.55
30.00,-4.38,1.33,-3.86,-3.78
31.00,-4.67,0.96,-4.15,-4.07
32.00,-5.02,0.54,-4.50,-4.42
33.00,-5.44,0.06,-4.92,-4.84
34.00,-5.94,-0.48,-5.43,-5.34
35.00,-6.54,-1.10,-6.02,-5.93
36.00,-7.23,-1.81,-6.73,-6.64
37.00,-8.05,-2.63,-7.56,-7.47
38.00,-9.00,-3.57,-8.54,-8.45
39.00,-10.13,-4.68,-9.71,-9.62
40.00,-11.44,-5.97,-11.10,-11.02
41.00,-12.96,-7.53,-12.77,-12.70
42.00,-14.67,-9.45,-14.76,-14.74
43.00,-16.40,-11.90,-16.98,-17.11
44.00,-17.65,-15.20,-18.89,-19.32
45.00,-17.73,-19.88,-19.20,-19.92
46.00,-16.66,-24.02,-17.70,-18.35
47.00,-15.14,-20.06,-15.68,-16.15
48.00,-13.67,-15.85,-13.86,-14.20
49.00,-12.42,-13.02,-12.37,-12.63
50.00,-11.41,-11.05,-11.21,-11.42
51.00,-10.63,-9.62,-10.33,-10.50
