kx/k0,Exact,CI0,CI3,CI3+CSU,CI3*+CSU
0,-2.602029024,-2.602029024,-2.630068961,-5.1039353,-2.6298971
0.01,-2.602370608,-2.602029024,-2.630411375,-5.10355285,-2.63023826
0.02,-2.603395862,-2.602029024,-2.631439122,-5.10240555,-2.63126223
0.03,-2.605106292,-2.602029024,-2.633153715,-5.10049357,-2.63297052
0.04,-2.607504419,-2.602029024,-2.635557682,-5.09781717,-2.63536565
0.05,-2.61059378,-2.602029024,-2.638654574,-5.09437673,-2.63845116
0.06,-2.614378948,-2.602029024,-2.642448981,-5.09017273,-2.64223162
0.07,-2.618865546,-2.602029024,-2.646946547,-5.08520578,-2.64671266
0.08,-2.624060269,-2.602029024,-2.652153991,-5.07947656,-2.65190096
0.09,-2.629970907,-2.602029024,-2.658079134,-5.07298588,-2.65780433
0.1,-2.636606379,-2.602029024,-2.664730926,-5.06573466,-2.66443168
0.11,-2.643976763,-2.602029024,-2.672119483,-5.05772392,-2.67179308
0.12,-2.652093336,-2.602029024,-2.680256123,-5.04895477,-2.67989983
0.13,-2.660968617,-2.602029024,-2.689153413,-5.03942845,-2.68876442
0.14,-2.670616421,-2.602029024,-2.698825218,-5.02914629,-2.69840069
0.15,-2.681051908,-2.602029024,-2.709286755,-5.01810974,-2.70882379
0.16,-2.692291649,-2.602029024,-2.720554654,-5.00632034,-2.72005029
0.17,-2.70435369,-2.602029024,-2.732647031,-4.99377973,-2.73209824
0.18,-2.717257632,-2.602029024,-2.745583557,-4.98048967,-2.74498725
0.19,-2.731024709,-2.602029024,-2.759385547,-4.96645202,-2.75873854
0.2,-2.745677886,-2.602029024,-2.774076048,-4.95166871,-2.77337508
0.21,-2.761241952,-2.602029024,-2.789679943,-4.93614182,-2.78892167
0.22,-2.777743637,-2.602029024,-2.80622406,-4.9198735,-2.80540503
0.23,-2.795211733,-2.602029024,-2.823737296,-4.902866,-2.82285395
0.24,-2.813677227,-2.602029024,-2.842250754,-4.88512168,-2.84129943
0.25,-2.833173448,-2.602029024,-2.861797885,-4.86664299,-2.8607748
0.26,-2.853736233,-2.602029024,-2.882414659,-4.84743248,-2.88131589
0.27,-2.875404104,-2.602029024,-2.904139739,-4.8274928,-2.90296122
0.28,-2.898218463,-2.602029024,-2.927014681,-4.8068267,-2.9257522
0.29,-2.922223815,-2.602029024,-2.951084152,-4.785437,-2.94973334
0.3,-2.947468003,-2.602029024,-2.976396171,-4.76332663,-2.97495248
